Jupiter,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428952.712,-800,4,5,5.08873,352.99915,-1.09849,10.1991,274.13703,-0.5667,259.29535,-9.44753
AR,1429127.272,-800,9,26,18.52228,7.09496,-2.05784,178.08294,268.51195,-0.5667,94.73622,-6.2756
CS,1429141.735,-800,10,11,5.64705,5.18281,-2.04204,192.63999,90.60628,-0.5667,271.65446,-7.09244
EF,1429321.285,-799,4,8,18.84765,21.12781,-0.92974,13.399,99.15409,-0.5667,101.32324,-8.04479
MF,1429354.687,-799,5,12,4.49181,28.97125,-0.90776,45.26283,257.40244,-0.5667,243.72071,-9.56024
AR,1429527.249,-799,10,31,17.98367,42.53964,-1.38116,213.24536,252.54962,-0.5667,78.87335,-6.39302
CS,1429541.757,-799,11,15,6.16391,40.64162,-1.34563,228.10487,106.78814,-0.5667,286.27573,-6.99897
EF,1429723.308,-798,5,15,19.38156,56.0685,-0.44183,48.46182,112.96312,-0.5667,115.95869,-7.5766
MF,1429752.672,-798,6,14,4.11629,62.77424,-0.40189,76.25879,245.22677,-0.5667,235.26129,-9.71519
AR,1429925.235,-798,12,3,17.63034,76.17355,-0.2669,246.84379,242.59702,-0.5667,68.48469,-6.6856
CS,1429939.771,-798,12,18,6.5001,74.29513,-0.2237,261.78469,117.20028,-0.5667,293.90949,-6.16771
EF,1430122.321,-797,6,18,19.71041,88.85763,0.16834,80.42924,118.815,-0.5667,123.46536,-7.60783
MF,1430148.672,-797,7,15,4.1279,94.70927,0.20972,105.48224,241.23281,-0.5667,235.51513,-9.71777
AR,1430322.231,-796,1,4,17.5519,107.92109,0.85069,279.41398,241.84755,-0.5667,66.47001,-6.63123
CS,1430338.765,-796,1,21,6.35737,105.8068,0.89341,296.22644,118.53356,-0.5667,290.90834,-6.60632
EF,1430519.318,-796,7,19,19.62453,119.96753,0.7129,110.64523,115.40308,-0.5667,121.72472,-7.47259
MF,1430544.686,-796,8,14,4.4696,125.48866,0.74517,135.10359,246.11168,-0.5667,243.6126,-9.88428
AR,1430718.241,-795,2,3,17.79093,138.40586,1.6815,310.56881,249.43897,-0.5667,73.04744,-6.59298
CS,1430736.75,-795,2,22,5.9929,136.05396,1.70919,329.01887,111.46672,-0.5667,280.28594,-6.24549
EF,1430914.303,-795,8,18,19.27516,149.94954,1.04769,139.35544,105.20908,-0.5667,113.13203,-7.70506
MF,1430939.708,-795,9,13,4.99106,155.44097,1.06355,164.32923,257.15105,-0.5667,256.64501,-9.50368
AR,1431114.258,-794,3,6,18.19649,168.41673,2.04737,341.10848,262.0039,-0.5667,85.05191,-6.38488
CS,1431134.728,-794,3,27,5.46652,165.82321,2.04533,1.06177,99.20236,-0.5667,265.52822,-6.50856
EF,1431310.281,-794,9,18,18.75029,180.12669,1.09943,169.62321,91.45949,-0.5667,99.50077,-7.44058
MF,1431334.729,-794,10,13,5.49878,185.45415,1.09532,194.17128,271.06034,-0.5667,271.00424,-9.35167
AR,1431510.28,-793,4,6,18.73133,198.95038,1.8557,11.00937,276.48131,-0.5667,99.52206,-7.00151
CS,1431530.708,-793,4,27,4.99862,196.3498,1.82561,30.56728,84.6638,-0.5667,252.03746,-6.25679
EF,1431706.261,-793,10,19,18.25886,210.95732,0.84414,200.54311,77.20265,-0.5667,85.00229,-7.54574
MF,1431730.746,-793,11,13,5.9152,216.4066,0.81979,225.54942,285.03274,-0.5667,283.8392,-9.66874
AR,1431909.299,-792,5,9,19.17826,230.53532,1.11172,43.2564,289.77364,-0.5667,112.97426,-6.06678
CS,1431926.691,-792,5,27,4.59463,228.29344,1.06596,59.735,70.90545,-0.5667,241.56641,-6.15048
EF,1432104.242,-792,11,20,17.81566,243.42624,0.31839,234.01953,65.73011,-0.5667,72.15022,-7.46755
MF,1432128.757,-792,12,15,6.16603,249.04313,0.2799,259.22352,295.49497,-0.5667,291.44598,-9.9207
AR,1432309.315,-791,6,13,19.54877,264.02121,-0.03254,76.17959,297.70904,-0.5667,121.79907,-6.12823
CS,1432324.683,-791,6,29,4.38921,262.01161,-0.08145,90.75111,62.3624,-0.5667,237.06272,-6.39074
EF,1432503.236,-791,12,24,17.6617,277.56289,-0.3327,268.69728,62.02832,-0.5667,66.90013,-7.99235
MF,1432529.755,-790,1,20,6.12363,283.81228,-0.37491,295.73058,297.40383,-0.5667,289.35776,-9.40214
AR,1432710.315,-790,7,19,19.55858,299.4265,-1.25296,110.18306,295.41799,-0.5667,121.23422,-6.73487
CS,1432725.691,-790,8,4,4.58429,297.39398,-1.29193,124.96054,64.02878,-0.5667,242.35234,-6.92426
EF,1432905.243,-789,1,30,17.82561,313.615,-0.87919,306.06887,69.34249,-0.5667,72.24873,-7.5895
MF,1432935.735,-789,3,2,5.63397,320.91774,-0.91385,336.43112,288.01005,-0.5667,275.20459,-9.46006
AR,1433113.294,-789,8,26,19.05443,335.83137,-2.02658,146.69225,283.02276,-0.5667,109.24875,-6.43207
CS,1433127.715,-789,9,10,5.15674,333.91651,-2.03693,160.88829,76.12345,-0.5667,256.90374,-6.65327
EF,1433307.264,-788,3,7,18.33161,350.135,-1.08962,342.6053,84.52819,-0.5667,86.62739,-7.88108
MF,1433341.707,-788,4,11,4.97164,358.35599,-1.09816,16.00008,271.60839,-0.5667,256.37817,-9.67029
AR,1433515.268,-788,10,1,18.44152,12.22512,-2.00492,183.13658,266.06274,-0.5667,92.34697,-6.30662
CS,1433529.739,-788,10,16,5.72994,10.31422,-1.98573,197.74689,93.07047,-0.5667,274.02092,-7.06655
EF,1433710.287,-787,4,14,18.89994,26.37075,-0.87626,19.19657,101.51854,-0.5667,103.66779,-7.469
MF,1433742.684,-787,5,17,4.41107,33.9509,-0.85177,50.03779,255.27401,-0.5667,241.90968,-9.66043
AR,1433915.246,-787,11,5,17.89928,47.40858,-1.24258,218.39591,250.6766,-0.5667,76.74052,-6.22458
CS,1433928.762,-787,11,19,6.2833,45.64176,-1.20828,232.25863,108.75442,-0.5667,288.1218,-6.12939
EF,1434111.31,-786,5,20,19.44463,60.87791,-0.3597,53.23947,114.35741,-0.5667,117.53302,-7.52749
MF,1434139.671,-786,6,18,4.11465,67.32943,-0.31939,80.08516,244.12386,-0.5667,234.97836,-9.5103
AR,1434313.232,-786,12,8,17.56207,80.74438,-0.10012,252.02384,241.90663,-0.5667,67.30839,-6.28795
CS,1434327.77,-786,12,23,6.484,78.86809,-0.05662,266.95547,117.96821,-0.5667,293.98424,-6.47596
EF,1434509.323,-785,6,22,19.75552,93.25032,0.25151,84.26029,118.87276,-0.5667,124.03415,-7.94419
MF,1434535.674,-785,7,19,4.17743,99.08264,0.29218,109.34639,241.41547,-0.5667,236.35583,-9.51543
AR,1434709.233,-784,1,8,17.60198,112.37836,0.98677,283.53707,242.50488,-0.5667,67.13932,-7.03306
CS,1434725.765,-784,1,25,6.36953,110.26653,1.02853,300.31196,117.95538,-0.5667,290.28395,-6.01394
EF,1434906.317,-784,7,23,19.60243,124.2287,0.77389,114.5164,114.29484,-0.5667,121.0223,-7.63445
MF,1434931.69,-784,8,18,4.55072,129.74118,0.80399,139.03702,247.37922,-0.5667,245.30828,-9.66657
AR,1435105.244,-783,2,7,17.86683,142.73878,1.76209,314.61966,251.02907,-0.5667,74.60944,-6.93285
CS,1435124.746,-783,2,27,5.89987,140.26421,1.78728,333.99714,109.97021,-0.5667,278.03252,-6.48886
EF,1435301.301,-783,8,22,19.22135,154.16682,1.07303,143.29495,103.41913,-0.5667,111.62151,-7.81284
MF,1435326.711,-783,9,17,5.07503,159.66086,1.08582,168.3461,259.01129,-0.5667,258.68522,-9.31301
AR,1435501.262,-782,3,10,18.28939,172.76292,2.05446,345.07246,264.03757,-0.5667,87.09953,-6.78201
CS,1435521.726,-782,3,31,5.42462,170.16838,2.04968,4.96683,97.17794,-0.5667,263.84602,-6.21592
EF,1435697.279,-782,9,22,18.69343,184.3953,1.08262,173.64946,89.42495,-0.5667,97.66588,-7.57719
MF,1435722.73,-782,10,18,5.53112,189.9526,1.07572,199.2805,273.19029,-0.5667,272.99068,-9.95378
AR,1435898.282,-781,4,11,18.77322,203.32016,1.78411,15.85459,278.50177,-0.5667,101.48758,-6.50579
CS,1435917.706,-781,5,1,4.95559,200.842,1.75178,34.41311,82.55921,-0.5667,250.55685,-6.03778
EF,1436093.259,-781,10,23,18.21626,215.36211,0.78633,204.64863,75.34411,-0.5667,83.32656,-7.7843
MF,1436117.75,-781,11,17,5.98818,220.83261,0.7589,229.69889,286.80086,-0.5667,285.40693,-9.35634
AR,1436296.304,-780,5,13,19.30315,235.28709,0.97254,47.09359,291.38063,-0.5667,114.95771,-6.87199
CS,1436314.688,-780,6,1,4.50881,232.91599,0.92239,64.5009,69.266,-0.5667,240.05502,-6.54299
EF,1436491.242,-780,11,24,17.81058,248.02162,0.23167,238.17194,64.64358,-0.5667,71.244,-7.90166
MF,1436515.76,-780,12,19,6.2289,253.66247,0.1918,263.37447,296.37648,-0.5667,292.12676,-9.31135
AR,1436697.316,-779,6,18,19.57739,268.94575,-0.2102,80.9546,298.08541,-0.5667,122.37414,-6.1842
CS,1436712.682,-779,7,4,4.37904,266.93298,-0.25883,95.54148,61.89453,-0.5667,237.06732,-6.57228
EF,1436891.236,-779,12,29,17.66545,282.58148,-0.42037,273.85867,62.39169,-0.5667,66.97168,-8.01208
MF,1436918.752,-778,1,26,6.05025,289.08604,-0.46336,301.83287,296.71694,-0.5667,287.72381,-9.65694
AR,1437099.311,-778,7,25,19.45431,304.46121,-1.4007,115.96933,294.20337,-0.5667,119.55608,-6.17941
CS,1437113.694,-778,8,9,4.66299,302.55652,-1.43374,129.83562,65.21186,-0.5667,244.05281,-6.76079
EF,1437293.245,-777,2,4,17.89171,318.75318,-0.93261,311.13475,71.14443,-0.5667,73.90814,-7.73029
MF,1437324.731,-777,3,8,5.53839,326.29889,-0.96519,342.36368,285.92627,-0.5667,272.49469,-9.53078
AR,1437501.291,-777,8,31,18.98682,341.06806,-2.07389,151.63429,280.72242,-0.5667,107.22562,-6.5844
CS,1437515.719,-777,9,15,5.25919,339.15235,-2.08074,165.88867,78.40236,-0.5667,259.38823,-6.41322
EF,1437695.268,-776,3,12,18.42387,355.25967,-1.08499,347.54249,86.94277,-0.5667,89.02507,-8.07802
