Jupiter,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428955.708,-800,4,8,4.98808,353.70364,-1.10371,13.08104,274.15505,0,257.49085,-10.09226
AR,1429129.268,-800,9,28,18.4327,6.83163,-2.05841,180.0839,268.97974,0,93.33738,-5.55156
CS,1429139.739,-800,10,9,5.74642,5.44285,-2.04695,190.62324,90.37989,0,271.7335,-5.40261
EF,1429317.29,-799,4,4,18.96581,20.19267,-0.93717,9.5554,98.37942,0,100.98717,-10.35826
MF,1429357.683,-799,5,15,4.38093,29.66177,-0.90915,48.10317,257.4648,0,242.07729,-10.32912
AR,1429529.245,-799,11,2,17.88496,42.28032,-1.37812,215.28526,253.00145,0,77.52852,-5.51268
CS,1429539.761,-799,11,13,6.27434,40.90017,-1.35234,226.05719,106.51788,0,286.58542,-5.3305
EF,1429718.315,-798,5,10,19.55759,54.93116,-0.45128,43.72691,112.24891,0,116.36389,-10.43989
MF,1429754.669,-798,6,16,4.05544,63.22362,-0.40003,78.15039,245.49759,0,234.56641,-10.23478
AR,1429927.23,-798,12,5,17.51704,75.91892,-0.26133,248.89583,243.01057,0,67.37319,-5.51526
CS,1429938.772,-798,12,17,6.53467,74.42343,-0.22684,260.75936,116.8279,0,294.10119,-5.72583
EF,1430117.33,-797,6,13,19.91969,87.75261,0.16136,75.70187,118.39613,0,124.99629,-10.10629
MF,1430150.67,-797,7,17,4.07379,95.14763,0.21327,107.39117,241.64138,0,235.2084,-10.44153
AR,1430324.226,-796,1,6,17.4344,107.66933,0.85706,281.45,242.18912,0,65.75852,-5.16775
CS,1430336.769,-796,1,19,6.46657,106.05975,0.88952,294.20516,118.09989,0,292.02059,-5.5036
EF,1430513.33,-796,7,13,19.90832,118.66997,0.7097,104.9196,115.35036,0,124.83532,-10.02616
MF,1430545.686,-796,8,15,4.47067,125.70416,0.74709,136.07546,246.55047,0,243.8599,-10.04745
AR,1430719.24,-795,2,4,17.76068,138.28088,1.68444,311.57049,249.75606,0,73.06581,-6.07786
CS,1430734.754,-795,2,20,6.08557,136.30353,1.70897,327.04067,111.00556,0,281.57975,-5.44006
EF,1430907.317,-795,8,11,19.60726,148.45038,1.05116,132.56434,105.48737,0,117.67366,-10.3224
MF,1430941.706,-795,9,15,4.94772,155.86902,1.06673,166.31281,257.68908,0,256.9488,-10.47168
AR,1431115.257,-794,3,7,18.1706,168.29158,2.04922,342.08872,262.29055,0,85.18106,-5.85938
CS,1431131.734,-794,3,24,5.61598,166.19332,2.05087,358.16039,98.68836,0,267.70788,-5.20745
EF,1431302.297,-794,9,10,19.11844,178.40219,1.11017,161.69504,91.94296,0,105.17283,-10.35436
MF,1431336.727,-794,10,15,5.45167,185.88641,1.09689,196.19445,271.60561,0,271.3327,-10.36205
AR,1431512.277,-793,4,8,18.63842,198.6989,1.8561,12.92926,276.71307,0,99.42735,-5.42004
CS,1431528.712,-793,4,25,5.08653,196.59731,1.83183,28.66389,84.21296,0,253.33032,-5.55412
EF,1431699.274,-793,10,12,18.57702,209.4175,0.85719,193.46127,77.51064,0,89.85489,-10.2256
MF,1431732.744,-793,11,15,5.85921,216.84872,0.81921,227.59917,285.56267,0,283.95998,-10.66286
AR,1431910.298,-792,5,10,19.15245,230.40767,1.10997,44.2043,290.09914,0,112.9985,-5.59728
CS,1431924.696,-792,5,25,4.69236,228.5458,1.07281,57.84591,70.46635,0,242.73013,-5.28715
EF,1432098.254,-792,11,14,18.10061,242.06712,0.3297,227.86951,65.69075,0,75.66133,-10.16432
MF,1432129.757,-792,12,16,6.15864,249.27124,0.27855,260.25032,295.91903,0,291.46555,-10.04924
AR,1432310.313,-791,6,14,19.52092,263.89158,-0.03575,77.12542,298.09279,0,121.63958,-5.76585
CS,1432322.687,-791,6,27,4.4956,262.26896,-0.07521,88.85618,61.96417,0,237.96724,-5.24082
EF,1432499.243,-791,12,20,17.83956,276.63023,-0.32773,264.60294,61.5843,0,68.23723,-10.04764
MF,1432532.75,-790,1,23,6.00835,284.51399,-0.38085,298.76098,297.70535,0,288.01609,-10.50203
AR,1432713.308,-790,7,22,19.38109,299.03238,-1.26307,113.04983,295.91056,0,119.36587,-5.047
CS,1432723.695,-790,8,2,4.68869,297.65414,-1.28872,123.03551,63.71468,0,242.85332,-5.46583
EF,1432900.251,-789,1,25,18.03002,312.42814,-0.87885,301.03811,68.56564,0,72.6567,-10.67485
MF,1432938.731,-789,3,5,5.53292,321.62698,-0.92041,339.37875,288.10257,0,273.45815,-10.18628
AR,1433116.287,-789,8,29,18.89413,335.43433,-2.03246,149.62691,283.55709,0,107.07443,-5.05008
CS,1433125.719,-789,9,8,5.25471,334.17785,-2.03821,158.91474,75.88323,0,257.05297,-5.02178
