Jupiter,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428957.704,-800,4,10,4.90478,354.16132,-1.10748,14.96037,274.03647,0,255.78875,-10.21534
AR,1429129.268,-800,9,28,18.4324,6.83697,-2.05841,180.04344,268.95312,0,93.55127,-5.41195
CS,1429139.74,-800,10,9,5.75043,5.44812,-2.04704,190.58269,90.39129,0,271.55195,-5.40369
EF,1429317.291,-799,4,4,18.99223,20.18351,-0.93724,9.51762,98.57413,0,101.57551,-10.28193
MF,1429358.679,-799,5,16,4.29297,29.88122,-0.9097,49.00933,257.07036,0,240.73927,-10.1381
AR,1429529.243,-799,11,2,17.83644,42.28585,-1.37819,215.24196,252.58609,0,77.36148,-5.36363
CS,1429539.764,-799,11,13,6.32739,40.90513,-1.35246,226.01809,106.92061,0,286.79459,-5.28685
EF,1429718.318,-798,5,10,19.62834,54.92267,-0.45135,43.69144,112.79991,0,117.3413,-10.29271
MF,1429755.664,-798,6,17,3.92578,63.43769,-0.39917,79.05427,244.82803,0,232.98427,-10.25988
AR,1429927.226,-798,12,5,17.43447,75.92453,-0.26145,248.85082,242.31995,0,66.94208,-5.36693
CS,1429938.776,-798,12,17,6.62331,74.42815,-0.22695,260.72174,117.51364,0,294.57262,-5.5712
EF,1430116.336,-797,6,12,20.06459,87.52446,0.15993,74.72266,119.12189,0,126.58031,-10.43553
MF,1430150.666,-797,7,17,3.98476,95.13798,0.21319,107.34908,240.90941,0,234.05952,-10.13536
AR,1430324.223,-796,1,6,17.34884,107.6749,0.85692,281.40523,241.47539,0,65.28227,-5.05819
CS,1430336.773,-796,1,19,6.55984,106.06439,0.88944,294.16823,118.82273,0,292.54757,-5.21434
EF,1430512.335,-796,7,12,20.04639,118.44682,0.7093,103.93192,116.04897,0,126.50982,-10.14365
MF,1430546.681,-796,8,16,4.35267,125.90957,0.74898,137.00392,246.0247,0,242.6748,-10.60874
AR,1430719.238,-795,2,4,17.70171,138.28625,1.68432,311.5276,249.25934,0,72.81994,-5.98929
CS,1430734.756,-795,2,20,6.15305,136.30825,1.70896,327.00347,111.52331,0,281.92561,-5.03948
EF,1430906.321,-795,8,10,19.71102,148.22944,1.05196,131.55989,105.95752,0,119.1819,-10.29353
MF,1430941.705,-795,9,15,4.91276,155.86009,1.06666,166.2713,257.39018,0,256.25715,-10.40428
AR,1431115.256,-794,3,7,18.15069,168.29675,2.04915,342.04835,262.11021,0,85.22519,-5.79265
CS,1431132.732,-794,3,25,5.57968,166.07399,2.04929,359.08958,98.94981,0,266.90142,-5.3661
EF,1431301.299,-794,9,9,19.17841,178.17969,1.11191,160.66789,92.09839,0,106.39179,-10.28431
