Jupiter,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428954.709,-800,4,7,5.00568,353.45964,-1.10183,12.0815,273.99528,-0.5667,257.61464,-9.64018
AR,1429127.272,-800,9,26,18.52057,7.10027,-2.05782,178.04248,268.45313,-0.5667,94.96386,-6.06643
CS,1429141.735,-800,10,11,5.65176,5.18801,-2.04215,192.59942,90.64412,-0.5667,271.41562,-7.08077
EF,1429321.287,-799,4,8,18.87644,21.11863,-0.92981,13.3614,99.38898,-0.5667,101.84331,-7.98642
MF,1429355.684,-799,5,13,4.40412,29.1921,-0.90814,46.16957,256.98327,-0.5667,242.4048,-9.42989
AR,1429527.247,-799,10,31,17.93364,42.54513,-1.38121,213.20203,252.10033,-0.5667,78.72722,-6.17307
CS,1429541.759,-799,11,15,6.21786,40.64652,-1.34576,228.06579,107.21995,-0.5667,286.42727,-6.93136
EF,1429723.311,-798,5,15,19.45486,56.05999,-0.4419,48.42649,113.55713,-0.5667,116.84278,-7.47576
MF,1429753.666,-798,6,15,3.9858,62.98913,-0.40099,77.16239,244.52482,-0.5667,233.68578,-9.77365
AR,1429925.231,-798,12,3,17.54616,76.17911,-0.26702,246.79871,241.87,-0.5667,68.08902,-6.47162
CS,1429940.771,-798,12,19,6.50609,74.17236,-0.22066,262.77015,117.90606,-0.5667,293.78021,-6.98484
EF,1430122.325,-797,6,18,19.80545,88.84956,0.16829,80.39478,119.58486,-0.5667,124.54487,-7.42665
MF,1430148.668,-797,7,15,4.03726,94.69958,0.20965,105.44012,240.46394,-0.5667,234.38182,-9.4418
AR,1430322.228,-796,1,4,17.465,107.9266,0.85055,279.36912,241.09925,-0.5667,66.04448,-6.47526
CS,1430338.769,-796,1,21,6.45232,105.81139,0.89334,296.18962,119.29401,-0.5667,291.40376,-6.25005
EF,1430518.323,-796,7,18,19.76233,119.74272,0.71223,109.65488,116.1293,-0.5667,123.30667,-7.71432
MF,1430544.683,-796,8,14,4.39676,125.47931,0.74509,135.06147,245.48604,-0.5667,242.62054,-9.74498
AR,1430718.239,-795,2,3,17.73087,138.4112,1.68137,310.52585,248.91104,-0.5667,72.81355,-6.49151
CS,1430737.75,-795,2,23,5.99251,135.93516,1.70906,329.9689,112.06612,-0.5667,279.76405,-6.43725
EF,1430914.305,-795,8,18,19.32313,149.94128,1.0477,139.3181,105.60217,-0.5667,113.8154,-7.41419
MF,1430939.706,-795,9,13,4.9544,155.43199,1.06349,164.28771,256.81707,-0.5667,255.97653,-9.44624
AR,1431114.257,-794,3,6,18.17569,168.42187,2.04728,341.06805,261.79531,-0.5667,85.1087,-6.31148
CS,1431135.726,-794,3,28,5.43202,165.70662,2.04319,1.98928,99.49576,-0.5667,264.68845,-6.56197
EF,1431309.284,-794,9,17,18.80833,179.90146,1.10056,168.59009,91.62536,-0.5667,100.6034,-7.56994
MF,1431334.729,-794,10,13,5.50368,185.44546,1.0953,194.13068,271.06002,-0.5667,270.68233,-9.31211
AR,1431510.281,-793,4,6,18.75316,198.95532,1.85569,10.97144,276.61578,-0.5667,99.94447,-6.92552
CS,1431531.705,-793,4,28,4.91956,196.23265,1.82239,31.47862,84.60998,-0.5667,250.87969,-6.35241
EF,1431705.261,-793,10,18,18.27528,210.72723,0.84591,199.48756,77.01752,-0.5667,85.76256,-7.71234
MF,1431730.748,-793,11,13,5.96242,216.3981,0.8198,225.51007,285.37041,-0.5667,283.83493,-9.58668
AR,1431908.305,-792,5,8,19.3142,230.66679,1.11341,42.27434,290.27848,-0.5667,114.11759,-6.98266
CS,1431927.686,-792,5,28,4.46704,228.17404,1.06256,60.63818,70.49652,-0.5667,240.09855,-6.41651
EF,1432103.242,-792,11,19,17.79814,243.18914,0.3203,232.94983,65.20206,-0.5667,72.52339,-7.75674
MF,1432128.76,-792,12,15,6.2487,249.03471,0.27995,259.18564,296.11557,-0.5667,291.69842,-9.72129
AR,1432308.322,-791,6,12,19.71793,264.1546,-0.02922,75.20128,298.40015,-0.5667,123.4057,-6.86419
CS,1432324.679,-791,6,29,4.30411,262.01724,-0.08131,90.70944,61.67661,-0.5667,236.12217,-6.12785
EF,1432503.232,-791,12,24,17.57439,277.55259,-0.33264,268.65222,61.33202,-0.5667,66.53141,-7.81056
MF,1432530.757,-790,1,21,6.15802,284.03772,-0.37678,296.70357,298.0549,-0.5667,289.11376,-9.58972
AR,1432710.318,-790,7,19,19.64167,299.43132,-1.25283,110.14778,296.03661,-0.5667,122.17721,-6.5173
CS,1432725.688,-790,8,4,4.50533,297.39963,-1.29187,124.91845,63.39413,-0.5667,241.43019,-6.80565
EF,1432905.24,-789,1,30,17.76409,313.60477,-0.87918,306.02572,68.85142,-0.5667,72.04468,-7.50043
MF,1432936.735,-789,3,3,5.64113,321.14538,-0.91589,337.37635,288.33949,-0.5667,274.60389,-9.36389
AR,1433113.296,-789,8,26,19.09606,335.83646,-2.02649,146.65445,283.31121,-0.5667,109.83339,-6.21527
CS,1433127.713,-789,9,10,5.11812,333.92197,-2.03697,160.8468,75.81376,-0.5667,256.3282,-6.63182
EF,1433307.263,-788,3,7,18.31721,350.12525,-1.08966,342.56517,84.41533,-0.5667,86.79111,-7.82817
MF,1433342.705,-788,4,12,4.92942,358.58098,-1.09966,16.91912,271.51791,-0.5667,255.37165,-9.47154
AR,1433515.268,-788,10,1,18.43261,12.23045,-2.00491,183.09568,265.94602,-0.5667,92.51857,-6.09519
