Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1428955.714,-800,4,8,5.1375,352.26926,-1.21856,9.90003,274.60031,-0.5667,259.3435,-9.61361
AR,1429128.269,-800,9,27,18.44972,6.14436,-1.68328,176.79647,268.56553,-0.5667,95.27718,-6.16416
CS,1429142.73,-800,10,12,5.51222,4.18548,-1.66754,191.37693,90.53129,-0.5667,271.24011,-6.7806
EL,1429324.285,-799,4,11,18.83722,20.28146,-0.94031,13.09681,98.73876,-0.5667,100.8189,-7.50922
MF,1429356.683,-799,5,14,4.38722,27.7939,-0.90602,44.05034,257.93569,-0.5667,244.26828,-9.51704
AR,1429528.241,-799,11,1,17.7875,41.277,-0.97529,211.95545,252.60673,-0.5667,79.2416,-6.06376
CS,1429542.749,-799,11,16,5.975,39.31268,-0.94238,226.75199,106.69112,-0.5667,285.83733,-6.88318
EL,1429725.301,-798,5,17,19.22194,54.75952,-0.33635,47.26374,112.64175,-0.5667,115.44174,-7.53147
MF,1429753.668,-798,6,15,4.03417,61.15601,-0.28841,74.26647,245.55711,-0.5667,235.86466,-9.45105
AR,1429926.23,-798,12,4,17.5225,74.61127,0.02152,245.376,242.53653,-0.5667,68.65961,-6.35719
CS,1429940.771,-798,12,19,6.495,72.66594,0.05877,260.20471,117.21727,-0.5667,293.73201,-6.12149
EL,1430123.317,-797,6,19,19.61861,87.15138,0.35147,78.46906,118.92453,-0.5667,123.47717,-7.97771
MF,1430149.671,-797,7,16,4.10944,92.95225,0.39528,103.71965,241.02492,-0.5667,235.33032,-9.73156
AR,1430323.237,-796,1,5,17.69167,106.19181,0.95851,277.69528,241.52298,-0.5667,66.33839,-6.50484
CS,1430339.776,-796,1,22,6.62444,104.02446,0.99207,294.37079,118.82122,-0.5667,291.2587,-6.57895
EL,1430520.319,-796,7,20,19.65917,118.209,0.91314,108.92367,116.01805,-0.5667,122.11132,-7.64868
MF,1430544.688,-796,8,14,4.52222,123.50459,0.94085,132.60746,245.36594,-0.5667,243.08942,-9.43277
AR,1430719.254,-795,2,4,18.09944,136.70518,1.59153,308.60696,248.95842,-0.5667,72.62555,-6.82981
CS,1430737.764,-795,2,23,6.32889,134.33087,1.60879,326.94202,111.91961,-0.5667,281.13209,-6.18852
EL,1430915.306,-795,8,19,19.34639,148.26638,1.21005,137.87833,106.05899,-0.5667,113.686,-7.74804
MF,1430940.705,-795,9,14,4.91722,153.78936,1.21869,163.00375,256.28836,-0.5667,255.80922,-9.84841
AR,1431115.27,-794,3,7,18.46806,166.90455,1.78684,338.97328,261.59441,-0.5667,84.50226,-7.02679
CS,1431135.736,-794,3,28,5.65417,164.32349,1.77836,358.8703,99.58975,-0.5667,266.65788,-6.36918
EL,1431310.282,-794,9,18,18.77889,178.38033,1.17647,167.3275,92.36666,-0.5667,100.81719,-7.81924
MF,1431335.721,-794,10,14,5.31306,183.99358,1.16215,192.92295,270.29484,-0.5667,270.27366,-9.57075
AR,1431512.282,-793,4,8,18.75861,197.57977,1.49307,9.77582,276.23125,-0.5667,98.87661,-6.92667
CS,1431532.705,-793,4,29,4.93,195.01881,1.45994,29.33815,84.8977,-0.5667,252.38434,-6.58765
EL,1431707.254,-793,10,20,18.10306,209.60874,0.80607,199.29002,77.76157,-0.5667,85.52544,-7.43751
MF,1431731.738,-793,11,14,5.72,215.14974,0.77327,224.22301,284.5426,-0.5667,283.36515,-9.5969
AR,1431911.294,-792,5,11,19.05222,229.44212,0.74271,42.0575,289.78411,-0.5667,112.62536,-6.29175
CS,1431928.685,-792,5,29,4.44556,227.24089,0.70018,58.60954,70.89928,-0.5667,241.81559,-6.32718
