Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428962.702,-800,4,15,4.8489,353.50912,-2.31787,16.61087,275.54086,0,255.0787,-11.201
AR,1429129.268,-800,9,28,18.42222,6.01114,-1.6831,177.79983,268.97143,0,94.74886,-6.08159
CS,1429140.734,-800,10,10,5.61972,4.45457,-1.67138,189.35839,90.3102,0,271.32526,-5.08
EL,1429319.293,-799,4,6,19.03028,19.12212,-0.94825,8.29666,97.86238,0,100.49138,-10.5473
MF,1429359.678,-799,5,17,4.26806,28.474,-0.90427,46.90081,257.99635,0,242.60374,-10.29425
AR,1429530.237,-799,11,3,17.68861,41.00962,-0.97172,213.98946,253.06247,0,77.89393,-5.19067
CS,1429540.753,-799,11,14,6.08111,39.5812,-0.94784,224.71528,106.42787,0,286.13849,-5.2126
EL,1429720.309,-798,5,12,19.41222,53.63612,-0.34563,42.51221,111.92368,0,115.82759,-10.43014
MF,1429756.664,-798,6,18,3.92528,61.82204,-0.28373,77.12305,245.76529,0,234.55947,-10.48995
AR,1429928.226,-798,12,6,17.42333,74.34748,0.02666,247.41277,242.95563,0,67.53966,-5.20917
CS,1429939.772,-798,12,18,6.52139,72.79863,0.05624,259.18717,116.84805,0,293.91208,-5.6767
EL,1430118.326,-797,6,14,19.81472,86.05874,0.34399,73.70747,118.48751,0,124.97632,-10.53764
MF,1430151.669,-797,7,18,4.06083,93.38836,0.39895,105.64507,241.42683,0,234.98798,-10.45881
AR,1430325.233,-796,1,7,17.59028,105.93188,0.9636,279.71518,241.86995,0,65.60624,-5.06446
CS,1430337.78,-796,1,20,6.7225,104.28179,0.98908,292.36625,118.39103,0,292.34434,-5.46615
EL,1430514.33,-796,7,14,19.925,116.91986,0.90886,103.15134,115.94247,0,125.20908,-10.26816
MF,1430546.686,-796,8,16,4.47389,123.93642,0.94389,134.56298,245.8649,0,243.13453,-10.3165
AR,1430721.25,-795,2,6,17.995,136.45019,1.59527,310.59299,249.22945,0,72.29762,-5.23978
CS,1430735.768,-795,2,21,6.42583,134.58058,1.60881,324.974,111.46012,0,282.40836,-5.37489
EL,1430908.32,-795,8,12,19.68611,146.76658,1.21194,131.03257,106.32381,0,118.24143,-10.41798
MF,1430941.705,-795,9,15,4.91417,154.00608,1.21954,164.00113,256.7357,0,256.14559,-10.05129
AR,1431117.265,-794,3,9,18.36194,166.65277,1.78834,340.92386,261.82354,0,84.41165,-5.41568
CS,1431132.743,-794,3,25,5.82278,164.68861,1.78284,355.97565,99.07793,0,268.82458,-5.06735
EL,1431303.297,-794,9,11,19.12639,176.86192,1.18465,160.36146,92.74759,0,105.74985,-10.31539
MF,1431337.719,-794,10,16,5.26,184.433,1.16206,194.94569,270.84509,0,270.60779,-10.57337
AR,1431514.277,-793,4,10,18.6525,197.32958,1.49175,11.69379,276.46473,0,98.78674,-5.34829
CS,1431529.712,-793,4,26,5.09944,195.38268,1.46745,26.47845,84.39477,0,254.50826,-5.27029
EL,1431700.268,-793,10,13,18.44278,208.04903,0.81835,192.21052,78.08339,0,90.37769,-10.09622
MF,1431733.736,-793,11,16,5.67,215.60035,0.77125,226.26288,285.07862,0,283.50467,-10.57489
AR,1431912.293,-792,5,12,19.02389,229.31643,0.7407,43.00864,290.10973,0,112.65519,-5.82044
CS,1431926.689,-792,5,27,4.54361,227.48802,0.70583,56.71111,70.45905,0,242.99003,-5.47201
EL,1432099.247,-792,11,15,17.93167,240.86793,0.1864,226.53876,65.88748,0,76.11877,-10.08792
MF,1432131.756,-792,12,18,6.13667,248.4237,0.12772,259.72153,295.86435,0,291.19606,-10.30046
AR,1432313.306,-791,6,17,19.34417,262.90199,-0.30058,77.06366,298.27331,0,121.06793,-5.13685
CS,1432324.684,-791,6,29,4.41556,261.43453,-0.33111,87.9294,61.79674,0,238.02074,-5.29859
EL,1432500.246,-791,12,21,17.89306,275.57015,-0.53388,263.01816,61.35278,0,68.55891,-10.31833
MF,1432534.763,-790,1,25,6.30278,283.78167,-0.59165,297.90485,297.97847,0,288.26253,-10.31658
AR,1432715.309,-790,7,24,19.40694,298.30204,-1.28895,112.34381,296.05786,0,119.45353,-5.06511
CS,1432725.697,-790,8,4,4.71722,296.93268,-1.30926,122.4185,63.58433,0,242.66904,-5.56489
EL,1432902.263,-789,1,27,18.30833,311.6694,-1.07713,300.16538,68.13536,0,72.51262,-10.7028
MF,1432941.741,-789,3,8,5.78111,321.11846,-1.11554,339.22838,288.47407,0,273.44408,-10.28165
AR,1433117.29,-789,8,30,18.96111,334.79486,-1.80381,148.23987,283.56019,0,107.80371,-5.31523
CS,1433127.717,-789,9,10,5.21472,333.39239,-1.8076,158.57435,75.82298,0,256.66624,-5.42239
EL,1433305.28,-788,3,5,18.72722,348.362,-1.20767,337.56312,83.24122,0,85.95625,-10.52467
MF,1433346.705,-788,4,16,4.91333,358.15408,-1.20152,17.65742,272.15643,0,255.33528,-10.08777
