Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428960.5,1428960.582,1428960.705,-800,4,13,4.92111,353.41471,-1.22245,14.65595,274.51534,0,255.83961,-10.37699
AR,1429129.5,1429129.144,1429129.268,-800,9,28,18.42222,6.01653,-1.68311,177.75931,268.9446,0,94.98091,-5.88951
CS,1429139.5,1429140.611,1429140.734,-800,10,10,5.62389,4.46001,-1.67145,189.31779,90.32005,0,271.15442,-5.0686
EL,1429318.5,1429319.171,1429319.294,-799,4,6,19.05528,19.11301,-0.94831,8.25885,98.04468,0,101.07401,-10.47029
MF,1429360.5,1429360.551,1429360.674,-799,5,18,4.17944,28.69013,-0.90376,47.81037,257.61466,0,241.2744,-10.10723
AR,1429529.5,1429530.112,1429530.235,-799,11,3,17.64028,41.01532,-0.97179,213.9463,252.6486,0,77.71566,-5.03005
CS,1429539.5,1429540.632,1429540.756,-799,11,14,6.13389,39.58635,-0.94794,224.67637,106.8284,0,286.35014,-5.15523
EL,1429719.5,1429720.188,1429720.312,-798,5,12,19.48194,53.62773,-0.34571,42.47659,112.46566,0,116.79479,-10.29207
MF,1429756.5,1429756.537,1429756.66,-798,6,18,3.85139,61.81241,-0.2838,77.08165,245.15831,0,233.56392,-10.00859
AR,1429927.5,1429928.099,1429928.223,-798,12,6,17.34028,74.3533,0.02655,247.36809,242.26324,0,67.09418,-5.05137
CS,1429938.5,1429939.652,1429939.775,-798,12,18,6.60972,72.80351,0.05615,259.14983,117.53452,0,294.38595,-5.51327
EL,1430117.5,1430118.206,1430118.33,-797,6,14,19.90833,86.05079,0.34393,73.67274,119.2227,0,126.1666,-10.27782
MF,1430151.5,1430151.542,1430151.665,-797,7,18,3.97083,93.37875,0.39886,105.60258,240.68842,0,233.8317,-10.15172
AR,1430323.5,1430324.109,1430324.232,-796,1,6,17.57889,106.06774,0.96098,278.66203,241.16927,0,65.70495,-5.93837
CS,1430336.5,1430337.661,1430337.784,-796,1,20,6.81639,104.28652,0.98902,292.32966,119.1229,0,292.8807,-5.17735
EL,1430512.5,1430513.212,1430513.336,-796,7,13,20.06194,116.69837,0.90821,102.1558,116.65458,0,126.91241,-10.40344
MF,1430546.5,1430546.56,1430546.683,-796,8,16,4.40028,123.92705,0.94382,134.52048,245.25558,0,242.11772,-10.16655
AR,1430720.5,1430721.124,1430721.247,-795,2,6,17.93417,136.45569,1.59519,310.55036,248.71844,0,72.00568,-5.1606
CS,1430735.5,1430736.644,1430736.768,-795,2,22,6.42278,134.46007,1.60886,325.92042,112.0361,0,281.92699,-5.65973
EL,1430906.5,1430907.201,1430907.325,-795,8,11,19.79278,146.54591,1.21238,130.02009,106.81321,0,119.77979,-10.4047
MF,1430942.5,1430942.578,1430942.701,-795,9,16,4.82806,154.21307,1.22039,164.9554,256.50859,0,255.37756,-10.75199
AR,1431116.5,1431117.141,1431117.264,-794,3,9,18.34083,166.658,1.78831,340.88361,261.63193,0,84.42855,-5.36027
CS,1431132.5,1431133.617,1431133.741,-794,3,26,5.78167,164.57078,1.78152,356.90265,99.34791,0,268.03579,-5.25311
EL,1431301.5,1431302.176,1431302.3,-794,9,10,19.19306,176.63818,1.18602,159.32893,92.92187,0,106.98975,-10.25648
MF,1431337.5,1431337.596,1431337.719,-794,10,16,5.26444,184.42418,1.16206,194.90504,270.86077,0,270.23478,-10.52597
AR,1431513.5,1431514.155,1431514.278,-793,4,10,18.67472,197.33454,1.49178,11.65594,276.62007,0,99.14753,-5.30045
