Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428956.5,1428956.589,1428956.712,-800,4,9,5.09778,352.49191,-1.21924,10.82098,274.58164,-0.5667,258.40726,-9.41552
AR,1429127.5,1429127.148,1429127.272,-800,9,26,18.51972,6.28184,-1.68334,175.75497,268.44462,-0.5667,96.39905,-6.54651
CS,1429141.5,1429142.606,1429142.73,-800,10,12,5.51667,4.19087,-1.66763,191.33631,90.56747,-0.5667,271.01155,-6.75638
EL,1429323.5,1429324.163,1429324.286,-799,4,11,18.865,20.27235,-0.94036,13.0592,98.9636,-0.5667,101.30833,-7.45474
MF,1429357.5,1429357.556,1429357.679,-799,5,15,4.29861,28.01146,-0.90543,44.96035,257.5295,-0.5667,242.96172,-9.39134
AR,1429526.5,1429527.119,1429527.242,-799,10,31,17.81,41.41501,-0.97703,210.89653,252.11036,-0.5667,79.95874,-6.52066
CS,1429541.5,1429542.628,1429542.751,-799,11,16,6.02861,39.31779,-0.94249,226.71311,107.12055,-0.5667,285.99117,-6.80244
EL,1429724.5,1429725.18,1429725.304,-798,5,17,19.29417,54.7511,-0.33642,47.22823,113.22669,-0.5667,116.31437,-7.43914
MF,1429754.5,1429754.539,1429754.663,-798,6,16,3.90694,61.36857,-0.28691,75.17632,244.86202,-0.5667,234.29697,-9.52276
AR,1429925.5,1429926.103,1429926.227,-798,12,4,17.43778,74.61704,0.02141,245.33124,241.80754,-0.5667,68.24836,-6.13313
CS,1429940.5,1429941.648,1429941.771,-798,12,20,6.50917,72.53903,0.0612,261.18263,117.92034,-0.5667,293.61605,-6.93478
EL,1430122.5,1430123.198,1430123.321,-797,6,19,19.71389,87.1434,0.35141,78.43437,119.69769,-0.5667,124.57623,-7.80053
MF,1430149.5,1430149.544,1430149.667,-797,7,16,4.01778,92.9426,0.3952,103.67712,240.24971,-0.5667,234.18993,-9.45595
AR,1430322.5,1430323.11,1430323.233,-796,1,5,17.60333,106.19751,0.9584,277.65072,240.76453,-0.5667,65.89861,-6.33978
CS,1430338.5,1430339.657,1430339.78,-796,1,22,6.72028,104.02912,0.99202,294.33432,119.59074,-0.5667,291.76285,-6.22421
EL,1430519.5,1430520.199,1430520.323,-796,7,20,19.74361,118.20105,0.91311,108.88814,116.7049,-0.5667,123.10507,-7.41082
MF,1430544.5,1430544.562,1430544.685,-796,8,14,4.44667,123.49518,0.94079,132.56493,244.71894,-0.5667,242.09294,-9.30208
AR,1430718.5,1430719.128,1430719.252,-795,2,4,18.03778,136.71063,1.59144,308.56425,248.41732,-0.5667,72.38931,-6.72503
CS,1430737.5,1430738.64,1430738.764,-795,2,24,6.3275,134.21221,1.60862,327.88733,112.53013,-0.5667,280.63147,-6.39838
EL,1430914.5,1430915.185,1430915.308,-795,8,19,19.39722,148.25813,1.21006,137.84081,106.47377,-0.5667,114.39435,-7.46728
MF,1430940.5,1430940.58,1430940.703,-795,9,14,4.87806,153.78027,1.21866,162.96192,255.93275,-0.5667,255.10466,-9.79147
AR,1431114.5,1431115.145,1431115.269,-794,3,7,18.44611,166.90973,1.78681,338.93295,261.37588,-0.5667,84.57395,-6.95792
CS,1431135.5,1431136.611,1431136.734,-794,3,29,5.61444,164.20864,1.77671,359.79591,99.89182,-0.5667,265.83541,-6.44975
EL,1431309.5,1431310.159,1431310.283,-794,9,18,18.78806,178.3716,1.17651,167.2876,92.44792,-0.5667,101.18552,-7.5202
MF,1431335.5,1431335.598,1431335.721,-794,10,14,5.31583,183.98473,1.16216,192.88226,270.27638,-0.5667,269.92535,-9.5324
AR,1431511.5,1431512.159,1431512.282,-793,4,8,18.78,197.58469,1.49309,9.7379,276.35972,-0.5667,99.29037,-6.86544
CS,1431531.5,1431532.581,1431532.705,-793,4,29,4.91806,195.02371,1.46005,29.29916,84.79615,-0.5667,252.06812,-6.09931
EL,1431705.5,1431706.132,1431706.255,-793,10,19,18.12417,209.37543,0.80781,198.23519,77.59246,-0.5667,86.2946,-7.60256
MF,1431731.5,1431731.617,1431731.74,-793,11,14,5.76556,215.14106,0.77331,224.18378,284.86779,-0.5667,283.35179,-9.51589
AR,1431910.5,1431911.173,1431911.296,-792,5,11,19.11583,229.44685,0.74278,42.02162,290.24966,-0.5667,113.37214,-6.21326
CS,1431928.5,1431929.556,1431929.68,-792,5,30,4.31806,227.12399,0.69741,59.51725,70.4908,-0.5667,240.33494,-6.59931
EL,1432103.5,1432104.112,1432104.235,-792,11,20,17.64722,242.00769,0.17707,231.59236,65.3896,-0.5667,72.98555,-7.72137
MF,1432130.5,1432130.636,1432130.759,-792,12,17,6.21722,248.18349,0.12952,258.66534,296.05664,-0.5667,291.40657,-9.97385
AR,1432310.5,1432311.191,1432311.314,-791,6,15,19.53639,263.16107,-0.29483,75.12609,298.58864,-0.5667,122.80929,-6.28158
CS,1432325.5,1432326.553,1432326.676,-791,7,1,4.23056,261.18587,-0.33603,89.79798,61.50792,-0.5667,236.15128,-6.1927
EL,1432504.5,1432505.111,1432505.234,-791,12,26,17.61528,276.74204,-0.54085,268.0496,61.09825,-0.5667,66.40506,-7.48479
MF,1432532.5,1432532.645,1432532.768,-790,1,23,6.4425,283.30181,-0.58762,295.8638,298.33247,-0.5667,289.35083,-9.41248
AR,1432711.5,1432712.196,1432712.319,-790,7,21,19.66083,298.69576,-1.281,109.41494,296.19432,-0.5667,122.28074,-6.56529
CS,1432726.5,1432727.566,1432727.689,-790,8,6,4.535,296.67823,-1.31186,124.31728,63.26269,-0.5667,241.22188,-6.91124
EL,1432906.5,1432907.129,1432907.253,-789,2,1,18.06056,312.85437,-1.07901,305.1121,68.40589,-0.5667,71.88093,-7.57385
MF,1432939.5,1432939.622,1432939.746,-789,3,6,5.89944,320.64002,-1.11222,337.23744,288.71859,-0.5667,274.58532,-9.44719
AR,1433113.5,1433114.175,1433114.299,-789,8,27,19.1725,335.19555,-1.7998,145.24894,283.31858,-0.5667,110.58527,-6.47205
CS,1433128.5,1433129.588,1433129.711,-789,9,12,5.06972,333.13195,-1.80657,160.51842,75.75087,-0.5667,255.91209,-7.03459
EL,1433308.5,1433309.15,1433309.274,-788,3,9,18.56722,349.29948,-1.20433,341.42894,83.90649,-0.5667,86.46692,-8.10845
MF,1433345.5,1433345.582,1433345.706,-788,4,15,4.93222,357.91414,-1.20091,16.66102,271.94959,-0.5667,255.40909,-9.62207
AR,1433514.5,1433515.144,1433515.267,-788,10,1,18.4075,11.48071,-1.61407,180.85426,265.88676,-0.5667,93.93245,-6.57655
CS,1433529.5,1433530.61,1433530.733,-788,10,17,5.59167,9.38778,-1.59512,196.47637,93.1386,-0.5667,273.48208,-6.69016
EL,1433711.5,1433712.165,1433712.289,-787,4,16,18.93222,25.32343,-0.86965,17.94124,101.32643,-0.5667,103.75387,-7.59477
MF,1433745.5,1433745.551,1433745.675,-787,5,20,4.19583,33.02661,-0.83047,49.80099,255.29846,-0.5667,241.02653,-9.53165
AR,1433914.5,1433915.115,1433915.238,-787,11,5,17.71778,46.30193,-0.84406,216.0652,250.15666,-0.5667,77.73383,-6.38318
CS,1433929.5,1433930.63,1433930.754,-787,11,21,6.09028,44.20541,-0.80775,231.90358,109.12978,-0.5667,287.57272,-7.01599
