Modern Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-800,12,7,8.57716,-799,12,1,20.35537,-798,1,11,20.14252,-798,2,20,17.4447,1429198.77428,1429558.26504,1429599.25617,1429639.14376,248.09729,253.71238,248.55924,248.09729,112.84032,82.11082,242.68616,242.42805,102.83081,103.59306,284.35294,282.83081,93.37059,124.49696,324.17438,322.14587
-797,2,24,1.85765,-796,1,7,8.14643,-796,2,16,9.60555,-796,3,27,5.98038,1430007.4943,1430324.75633,1430364.81713,1430404.66608,325.20924,317.53855,327.24076,325.20924,146.79693,123.80617,279.31708,277.91741,137.40319,144.80084,319.42231,317.40319,127.98127,165.68449,358.38773,356.68017
-795,4,21,12.12813,-794,2,19,17.65353,-794,3,28,21.82063,-794,5,6,3.76933,1430794.92224,1431099.15246,1431136.32609,1431174.57395,21.33473,10.20617,22.43813,21.33473,185.84495,169.6442,323.22301,321.19814,177.8382,189.1258,359.52116,357.8382,169.10988,209.17037,36.19599,35.53706
-793,6,2,0.49438,-792,4,22,23.17694,-792,5,24,12.42059,-792,6,26,23.56211,1431566.4375,1431892.3826,1431923.93442,1431957.39865,61.77594,54.53443,61.54018,61.77594,239.6734,225.35259,24.09901,23.04255,234.14149,241.88796,54.16942,54.14149,227.74102,259.42557,86.05755,87.12539
-791,7,6,14.36735,-790,7,11,12.03739,-790,8,11,6.16354,-790,9,11,20.29974,1432332.01554,1432701.91846,1432732.67371,1432764.26272,96.36516,95.75116,95.03514,96.36516,316.90305,289.60631,99.5152,100.95863,311.27243,305.72423,129.29565,131.27243,305.5453,322.27909,160.43352,162.40803
-789,8,10,16.69851,-788,9,4,15.27112,-788,10,11,12.5254,-788,11,16,0.52905,1433097.11267,1433488.05319,1433524.93879,1433560.43894,130.48037,136.71587,128.51074,130.48037,20.91416,341.5962,153.78789,155.80948,12.16563,0.92685,190.73707,192.16563,4.28664,19.53143,226.8455,227.15623
-787,9,18,9.89912,-786,10,15,7.54565,-786,11,24,3.90864,-785,1,1,7.96908,1433866.82936,1434258.7313,1434298.57976,1434336.74894,169.14884,180.10156,167.2613,169.14883,64.63903,25.48574,194.08902,195.42556,54.70205,46.36913,234.66756,234.70205,45.75427,66.37247,273.56156,272.32337
-785,11,10,15.98428,-784,11,18,11.11795,-784,12,29,10.01509,-783,2,7,0.43365,1434650.08291,1435023.88015,1435064.83419,1435104.43497,221.15985,230.58151,220.63993,221.15985,100.06001,66.47755,229.37981,229.59174,89.95795,87.94035,271.12989,269.95795,80.57442,108.69394,310.95003,308.99031
-782,1,25,9.9397,-782,12,23,15.02378,-781,2,2,5.92641,-781,3,14,6.08387,1435456.83105,1435789.04289,1435829.66383,1435869.67039,296.32823,293.37427,298.12238,296.32823,133.51573,107.47664,264.75515,263.77163,123.80951,128.76487,305.71638,303.80951,114.32504,149.73113,345.16498,343.24183
-780,4,1,19.13857,-779,1,31,22.96229,-779,3,11,13.6929,-779,4,19,16.9008,1436254.21434,1436559.37366,1436597.98744,1436637.1211,2.26618,351.2592,3.87246,2.26618,169.7795,151.18415,304.94296,303.04536,161.10488,171.42048,343.0517,341.10489,151.97498,191.92928,20.84194,19.67684
