Almagest Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-797,2,21,14.43668,-796,1,7,23.23604,-796,2,16,18.74233,-796,3,28,7.48856,1430005.10153,1430325.46817,1430365.28093,1430405.81202,325.50793,318.78194,327.87475,325.50793,149.7493,126.67319,282.71629,281.27259,140.51345,147.53745,322.84331,320.51345,130.73785,168.77816,2.58847,0.46233
-795,4,21,16.56084,-794,2,20,4.47623,-794,3,28,14.14487,-794,5,6,9.01449,1430795.19003,1431099.68651,1431136.08937,1431174.8756,24.24703,12.83549,25.77337,24.24703,187.93933,172.40983,326.72951,324.3695,180.24944,191.4871,2.37954,0.24944,171.27321,211.8134,39.52461,38.47852
-793,6,3,6.48489,-792,4,21,17.88535,-792,5,22,18.77032,-792,6,26,3.27136,1431567.7702,1431891.24522,1431922.2821,1431956.63631,65.7293,57.71363,65.72057,65.7293,240.96291,227.23386,26.07436,24.55769,235.14873,243.49903,55.56123,55.14873,227.93537,261.50269,88.09268,89.00945
-791,7,7,17.61292,-790,7,7,12.17405,-790,8,8,9.41343,-790,9,7,6.66437,1432333.23387,1432698.00725,1432729.89223,1432759.77768,100.1973,98.8623,98.88395,100.1973,317.42953,290.02533,98.43319,99.73081,311.15776,306.73497,129.02059,131.15776,305.67415,322.39673,158.2286,160.61392
-789,8,11,5.68991,-788,9,3,15.84658,-788,10,11,7.04343,-788,11,14,19.62726,1433097.73708,1433487.16027,1433524.79348,1433559.3178,133.71863,139.50763,131.53674,133.71863,23.13673,343.58864,155.1599,157.54787,14.64048,3.31068,192.73927,194.64048,7.66451,21.40349,227.94848,228.66887
-787,9,18,7.83886,-786,10,16,5.27538,-786,11,25,6.87616,-785,1,3,3.7724,1433866.82662,1434259.71981,1434299.78651,1434338.65718,171.76041,182.55647,169.44268,171.76041,68.05682,28.45597,197.2275,199.0098,58.50095,49.45331,238.19702,238.50095,49.73605,69.82386,278.09917,276.81326
-785,11,9,11.73866,-784,11,19,14.89056,-784,12,30,13.8821,-783,2,9,8.00897,1434648.98911,1435025.12044,1435066.07842,1435106.83371,222.68736,232.45632,221.72443,222.68736,103.7407,69.5716,232.89419,233.41566,93.78529,91.03603,274.95906,273.7853,84.01264,112.39423,316.20885,313.95514
-782,1,22,9.97012,-782,12,24,8.95746,-781,2,2,20.63457,-781,3,15,17.08014,1435453.91542,1435789.87323,1435830.35977,1435871.21167,296.05113,294.28577,297.94375,296.05113,136.69654,110.34773,268.10004,267.18299,127.08796,131.56509,309.22899,307.08796,117.16907,152.97393,349.66848,347.35303
-780,4,1,3.23646,-779,2,1,11.84061,-779,3,11,12.93331,-779,4,20,4.64619,1436253.63485,1436559.99336,1436598.03889,1436637.69359,4.28281,353.38651,6.33339,4.28281,172.12409,153.93666,308.36541,306.24056,163.73958,173.87479,346.087,343.73958,154.37627,194.65622,24.39473,22.82465
-778,5,18,23.70868,-777,3,27,1.64589,-777,4,29,4.95211,-777,6,4,18.98914,1437031.48786,1437343.56858,1437376.70634,1437413.29121,50.96218,41.02793,51.53862,50.96218,217.71319,204.57686,0.7204,358.55994,211.22169,221.94303,32.52166,31.22169,203.1427,241.11569,67.21024,67.28103
-776,6,24,8.39516,-775,6,8,1.84594,-775,7,8,2.46323,-775,8,7,14.8617,1437798.8498,1438147.57691,1438177.60263,1438208.11924,87.30117,83.17141,86.44805,87.30117,286.1805,265.92524,70.79891,71.01892,280.61333,281.66051,99.28602,100.61333,274.85704,297.65303,128.56298,130.69157
-774,7,28,14.54372,-773,8,15,6.20755,-773,9,20,2.32077,-773,10,22,9.89539,1438563.10599,1438945.75865,1438981.5967,1439013.91231,120.57904,123.68729,118.66815,120.57904,0.84534,324.22013,135.49135,137.735,353.05824,343.00141,170.75429,173.05824,346.83935,359.93672,203.30566,204.90965
-772,9,2,3.57854,-771,9,30,22.61984,-771,11,9,7.4258,-771,12,16,19.04455,1439329.64911,1439723.44249,1439762.80941,1439800.29352,156.11097,165.40165,153.72412,156.11097,52.28104,11.7729,182.11253,184.24763,43.04905,32.40351,222.10048,223.04905,34.91094,52.04743,260.61687,259.99472
