Mars,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429301.706,-799,3,20,4.95539,330.6692,-0.14291,354.47528,283.19954,-0.5667,263.68892,-14.5187
AR,1429592.23,-798,1,4,17.52314,109.76757,4.29244,279.91638,238.00349,-0.5667,66.29504,-6.27378
CS,1429608.765,-798,1,21,6.3568,103.27394,4.28401,296.72577,123.01831,-0.5667,290.82188,-6.56173
EF,1429926.257,-798,12,4,18.17045,263.87401,-0.11147,247.8954,62.20392,-0.5667,72.07159,-13.20662
MF,1430097.661,-797,5,25,3.86091,33.65746,0.01197,57.08741,254.43476,-0.5667,235.42161,-14.55386
AR,1430357.245,-796,2,8,17.883,143.56492,3.69738,314.82709,249.19037,-0.5667,74.78176,-7.10136
CS,1430374.748,-796,2,26,5.94032,136.89307,3.34826,332.22814,113.0228,-0.5667,278.89708,-6.3119
EF,1430736.273,-795,2,21,18.55333,341.46141,-0.04291,328.54676,81.65261,-0.5667,83.68169,-13.32407
MF,1430861.649,-795,6,27,3.58025,69.36756,0.15765,88.80731,243.15725,-0.5667,229.63734,-14.68524
AR,1431129.267,-794,3,21,18.40487,182.63409,1.43408,355.76522,269.36786,-0.5667,91.67525,-6.06069
CS,1431144.721,-794,4,6,5.30996,177.15458,0.86176,10.70855,92.61102,-0.5667,260.96503,-6.45756
EF,1431521.309,-793,4,17,19.42042,34.67907,0.09405,21.59186,106.07195,-0.5667,108.83668,-13.36456
MF,1431620.657,-793,7,26,3.76732,99.85112,0.21186,116.01386,241.58105,-0.5667,233.38483,-14.55276
AR,1431917.305,-792,5,17,19.3111,236.69243,-4.16169,50.84712,297.76404,-0.5667,115.87986,-6.35358
CS,1431925.692,-792,5,26,4.61403,234.0545,-4.66364,58.78933,62.44655,-0.5667,241.90007,-6.05305
EF,1432291.335,-791,5,26,20.04454,73.3766,0.18164,59.16438,117.55235,-0.5667,124.04203,-13.24305
MF,1432381.677,-791,8,25,4.24554,131.05801,0.20676,145.59215,248.50184,-0.5667,244.34813,-14.50998
AR,1432729.305,-790,8,7,19.31511,311.33698,-6.48403,128.45228,297.87928,-0.5667,116.06844,-6.29345
CS,1432735.699,-790,8,14,4.76979,309.43867,-6.21768,134.64949,61.7744,-0.5667,246.07878,-6.30692
EF,1433051.346,-789,6,25,20.29335,104.04145,0.20659,87.11451,117.94727,-0.5667,129.06731,-13.4229
MF,1433147.702,-789,9,30,4.85762,166.48723,0.13629,180.8073,263.16288,-0.5667,261.21295,-14.75712
AR,1433518.266,-788,10,4,18.38276,16.91015,-0.63026,186.15228,262.42709,-0.5667,90.84175,-6.18388
CS,1433531.741,-788,10,18,5.78306,12.32332,0.15835,199.77837,96.30894,-0.5667,275.10416,-6.79247
EF,1433810.339,-787,7,23,20.13181,134.20624,0.17377,114.28813,110.38081,-0.5667,125.86572,-13.27474
MF,1433920.729,-787,11,11,5.49559,209.61541,-0.00584,224.01359,283.16938,-0.5667,280.40889,-14.70395
AR,1434290.243,-786,11,15,17.82925,62.07866,2.62625,228.39166,241.80666,-0.5667,73.58254,-6.92024
CS,1434306.763,-786,12,2,6.31743,55.90495,3.07676,245.37164,117.03158,-0.5667,290.86716,-7.25552
EF,1434574.318,-785,8,26,19.62685,169.20446,0.0596,146.72866,95.49114,-0.5667,114.19322,-13.29541
MF,1434723.737,-784,1,23,5.68239,280.14808,-0.10881,298.26197,297.489,-0.5667,285.84402,-14.55139
AR,1435057.231,-784,12,21,17.54817,97.24451,4.11615,265.89676,236.58372,-0.5667,66.20703,-6.7325
CS,1435073.769,-783,1,7,6.44961,90.77478,4.24919,282.81201,123.83735,-0.5667,293.23578,-6.55679
EF,1435365.275,-783,10,25,18.61129,227.14789,-0.09129,207.20447,69.97514,-0.5667,85.47399,-13.2975
MF,1435559.671,-782,5,8,4.11124,16.36577,-0.0504,41.26815,262.04969,-0.5667,241.26636,-14.641
AR,1435822.238,-781,1,25,17.71677,130.23378,4.10651,301.05185,243.72332,-0.5667,70.45086,-6.91463
CS,1435839.755,-781,2,12,6.11399,123.44314,3.88504,318.63307,118.17654,-0.5667,284.18655,-6.54242
EF,1436188.26,-780,1,26,18.25102,315.06641,-0.0815,301.83459,70.75802,-0.5667,74.36499,-13.30729
MF,1436328.651,-780,6,15,3.6214,56.71677,0.11465,77.71654,246.20292,-0.5667,230.47098,-14.68018
AR,1436590.259,-779,3,3,18.21061,166.55679,2.55189,338.45608,260.59254,-0.5667,84.28029,-7.08542
CS,1436607.731,-779,3,21,5.5429,160.16842,2.0091,355.53599,101.76158,-0.5667,268.04541,-6.69708
EF,1436981.296,-778,3,29,19.09486,16.45049,0.03471,3.59759,98.08104,-0.5667,99.99338,-13.27928
MF,1437088.652,-778,7,15,3.64527,88.41907,0.19937,105.76232,241.1528,-0.5667,230.98276,-14.70074
AR,1437370.289,-777,4,22,18.94529,213.2995,-1.37812,26.40298,286.21868,-0.5667,106.2798,-6.46526
CS,1437382.702,-777,5,5,4.8515,209.19489,-2.20946,38.22583,74.58801,-0.5667,248.62746,-6.57577
EF,1437756.327,-776,5,12,19.84684,59.76597,0.15701,46.17947,114.67903,-0.5667,119.56584,-13.2625
MF,1437848.668,-776,8,13,4.02967,119.04013,0.21674,134.17933,244.9429,-0.5667,239.38201,-14.67429
AR,1438176.316,-775,7,6,19.5948,280.99851,-7.07994,98.06105,305.91182,-0.5667,122.57445,-6.33359
CS,1438181.684,-775,7,12,4.42466,279.39649,-7.09572,103.17746,53.90406,-0.5667,237.89399,-6.4128
EF,1438519.343,-774,6,14,20.24205,92.7086,0.20277,76.97079,118.82856,-0.5667,128.11411,-13.33901
MF,1438611.692,-774,9,15,4.61654,151.92357,0.1727,166.1203,256.59651,-0.5667,254.07154,-14.54325
AR,1438977.281,-773,9,15,18.73683,354.49171,-3.09178,166.45972,275.5676,-0.5667,100.42456,-6.5406
CS,1438988.726,-773,9,27,5.43289,350.81124,-2.31961,177.87722,83.52599,-0.5667,264.87502,-6.74557
EF,1439278.343,-772,7,12,20.22256,122.65713,0.19304,104.05378,114.065,-0.5667,127.8426,-13.20931
MF,1439381.719,-772,10,24,5.25305,191.56893,0.05434,205.91085,275.03922,-0.5667,273.08578,-14.77817
AR,1439754.249,-771,10,31,17.97633,46.18422,1.64212,213.3404,247.80479,-0.5667,78.78988,-6.31759
CS,1439769.756,-771,11,16,6.15269,40.55622,2.16003,229.22678,110.70708,-0.5667,286.46426,-7.30081
EF,1440038.328,-770,8,11,19.88018,154.22544,0.11821,132.41374,102.34813,-0.5667,120.18581,-13.35962
MF,1440165.741,-770,12,17,5.78205,245.49073,-0.06341,260.823,295.1833,-0.5667,288.93866,-14.60126
AR,1440522.234,-769,12,8,17.61037,84.29067,3.71744,251.82712,236.97928,-0.5667,67.67948,-6.84623
CS,1440538.769,-769,12,25,6.45674,77.89843,3.98119,268.80639,122.79022,-0.5667,293.81485,-6.81134
EF,1440814.295,-768,9,25,19.08399,199.39098,-0.04018,177.21182,81.27004,-0.5667,99.60645,-13.29694
MF,1441012.69,-767,4,12,4.56413,351.71229,-0.11812,16.77054,273.69134,-0.5667,252.65169,-14.54082
AR,1441287.235,-766,1,11,17.64138,117.55099,4.28051,287.16359,239.73754,-0.5667,67.78455,-7.28119
CS,1441304.762,-766,1,29,6.27757,110.69587,4.20326,304.90671,121.70973,-0.5667,288.70439,-6.56047
EF,1441635.254,-766,12,25,18.10455,284.04722,-0.10725,269.57015,62.9476,-0.5667,69.94725,-13.27579
MF,1441794.656,-765,6,3,3.73259,43.0286,0.05557,65.70038,250.74638,-0.5667,232.80561,-14.69307
AR,1442054.247,-764,2,17,17.9382,151.56608,3.35234,323.9104,252.94209,-0.5667,77.68898,-6.31308
