Mars,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429271.735,-799,2,18,5.6307,307.39242,-0.10555,325.02372,292.19135,0,278.7858,-11.55935
AR,1429592.232,-798,1,4,17.57491,109.76676,4.29247,279.91858,238.40916,0,66.66699,-6.88238
CS,1429607.767,-798,1,20,6.40236,103.65128,4.29913,295.71533,122.57716,0,291.31754,-6.11999
EF,1429933.25,-798,12,11,17.99968,269.34942,-0.10206,255.0856,61.65416,0,70.00017,-11.60896
MF,1430082.682,-797,5,10,4.35893,23.11661,-0.0126,42.89182,259.31354,0,243.12823,-11.51746
AR,1430358.243,-796,2,9,17.83476,143.20115,3.69028,315.8251,249.41927,0,74.68485,-6.35108
CS,1430373.749,-796,2,25,5.97636,137.25905,3.37985,331.24128,112.54777,0,279.47732,-6.04129
EF,1430741.27,-795,2,26,18.48486,345.19042,-0.03499,333.48827,83.01932,0,84.7584,-11.57403
MF,1430851.663,-795,6,17,3.91125,62.79198,0.12772,79.33819,244.97749,0,233.15596,-11.66125
AR,1431129.269,-794,3,21,18.44888,182.63348,1.43402,355.76701,269.71115,0,92.02017,-6.62475
CS,1431143.723,-794,4,5,5.34274,177.50315,0.90152,9.74709,92.14487,0,261.55442,-6.24519
EF,1431525.306,-793,4,21,19.35104,37.39718,0.09649,25.41322,106.79939,0,109.43384,-11.69533
MF,1431612.666,-793,7,18,3.97712,94.76472,0.19043,108.35626,241.65131,0,234.41837,-11.53949
AR,1431918.303,-792,5,18,19.27428,236.39178,-4.23022,51.79304,298.1434,0,115.77762,-5.78159
CS,1431924.694,-792,5,25,4.65101,234.37551,-4.61334,57.84428,62.01868,0,242.38534,-5.75806
EF,1432295.33,-791,5,30,19.93141,75.94566,0.17709,62.94525,117.52048,0,123.59513,-11.5169
MF,1432374.683,-791,8,18,4.38032,126.60053,0.19454,138.76387,247.46214,0,243.73624,-11.58843
AR,1432730.303,-790,8,8,19.28088,311.03259,-6.45132,129.41848,298.33605,0,115.57037,-6.04925
CS,1432735.697,-790,8,14,4.71974,309.43926,-6.21779,134.64746,61.38544,0,245.65878,-6.8925
EF,1433056.338,-789,6,30,20.10681,107.20915,0.19512,91.85458,117.08978,0,127.30294,-11.52848
MF,1433139.707,-789,9,22,4.97673,161.17329,0.13557,172.80603,261.07484,0,259.40245,-11.51432
AR,1433519.264,-788,10,5,18.34598,16.56604,-0.56603,187.15809,262.86156,0,90.20718,-5.92125
CS,1433530.743,-788,10,17,5.82554,12.64089,0.11853,198.76527,96.06782,0,275.09293,-6.04774
EF,1433815.33,-787,7,28,19.91796,137.44529,0.1594,119.08226,108.83271,0,123.14236,-11.6315
MF,1433912.734,-787,11,3,5.62446,203.86725,0.0035,215.82634,281.02788,0,278.99214,-11.78704
AR,1434291.241,-786,11,16,17.78626,61.7194,2.66183,229.41645,242.24533,0,73.01977,-6.53879
