Mars,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429278.731,-799,2,25,5.55261,312.82816,-0.1146,331.91543,290.92844,0,275.63123,-11.55544
AR,1429592.228,-798,1,4,17.47542,109.78351,4.2918,279.87319,237.57883,0,66.15536,-6.57393
CS,1429608.767,-798,1,21,6.41633,103.28814,4.28462,296.68747,123.47499,0,291.04583,-6.61585
EF,1429931.248,-798,12,9,17.94311,267.74876,-0.10479,252.98574,60.94199,0,70.22864,-11.52755
MF,1430086.675,-797,5,14,4.2064,25.91851,-0.00827,46.64223,257.79417,0,240.44777,-11.51797
AR,1430358.241,-796,2,9,17.77546,143.21687,3.69061,315.78232,248.91738,0,74.44475,-6.19547
CS,1430374.749,-796,2,26,5.96615,136.90735,3.34952,332.18937,113.20968,0,278.87932,-6.32222
EF,1430741.269,-795,2,26,18.46436,345.15976,-0.03505,333.44762,82.83939,0,85.01568,-11.511
MF,1430853.657,-795,6,19,3.77541,64.08413,0.13319,81.18954,244.02803,0,231.40264,-11.63686
AR,1431129.269,-794,3,21,18.45145,182.64686,1.43534,355.72793,269.70937,0,92.27207,-6.5866
CS,1431143.723,-794,4,5,5.35212,177.51718,0.9031,9.70864,92.1904,0,261.42345,-5.82305
EF,1431525.308,-793,4,21,19.40218,37.37125,0.09647,25.37674,107.19714,0,110.28765,-11.59556
MF,1431613.661,-793,7,19,3.86612,95.37379,0.19284,109.26987,240.94682,0,233.10919,-11.51255
AR,1431918.307,-792,5,18,19.36795,236.40284,-4.22775,51.75853,298.86877,0,116.7688,-5.91694
CS,1431925.687,-792,5,26,4.4784,234.06927,-4.66138,58.74582,61.33911,0,240.52511,-6.54909
EF,1432294.335,-791,5,29,20.03607,75.2798,0.17824,61.96495,118.13706,0,124.79396,-11.55879
MF,1432375.679,-791,8,19,4.2985,127.2098,0.19613,139.69551,247.09099,0,242.83129,-11.74907
AR,1432730.307,-790,8,8,19.37517,311.04366,-6.45258,129.38326,299.06445,0,116.59336,-6.18858
CS,1432734.697,-790,8,13,4.71851,309.73657,-6.27005,133.63738,60.68774,0,245.19153,-5.85282
EF,1433054.344,-789,6,28,20.25036,105.91766,0.19967,89.92222,117.99006,0,129.03434,-11.64496
MF,1433140.706,-789,9,23,4.9422,161.80863,0.13568,173.76268,261.1578,0,259.00776,-11.76266
AR,1433518.267,-788,10,4,18.40911,16.92361,-0.63277,186.11278,262.59901,0,91.30138,-6.47002
CS,1433530.744,-788,10,17,5.84692,12.65356,0.11695,198.72526,96.2157,0,275.02719,-5.95581
EF,1433813.335,-787,7,26,20.04512,136.12287,0.16511,117.126,109.79568,0,125.00784,-11.5168
MF,1433912.736,-787,11,3,5.65768,203.83937,0.00357,215.78652,281.27856,0,278.79903,-11.69068
AR,1434291.238,-786,11,16,17.70132,61.73531,2.66028,229.37141,241.52996,0,72.60946,-6.12755
CS,1434305.769,-786,12,1,6.45771,56.2772,3.0585,244.30769,117.41596,0,291.51542,-6.25331
EF,1434577.313,-785,8,29,19.50028,171.23084,0.05184,149.62521,94.28906,0,112.64054,-11.6051
MF,1434707.754,-784,1,7,6.08753,267.61994,-0.07993,281.9874,299.02403,0,290.41941,-11.54979
AR,1435058.225,-784,12,22,17.39043,96.8865,4.13716,266.87423,236.06199,0,65.22231,-5.79328
CS,1435073.771,-783,1,7,6.51228,90.78896,4.24947,282.77357,124.31924,0,293.47936,-6.66734
EF,1435370.266,-783,10,30,18.3821,230.89849,-0.08918,212.25417,67.83012,0,82.57031,-11.54587
MF,1435545.689,-782,4,24,4.54667,6.18416,-0.05949,27.92346,267.07611,0,248.53715,-11.5592
AR,1435823.233,-781,1,26,17.58751,129.87825,4.10846,302.01487,243.32375,0,69.88734,-5.97339
CS,1435839.757,-781,2,12,6.15651,123.45734,3.88609,318.59461,118.49715,0,284.2873,-6.54589
EF,1436193.255,-780,1,31,18.11006,318.88865,-0.07212,306.82492,71.35741,0,74.86573,-11.54979
MF,1436319.661,-780,6,6,3.87453,50.64793,0.08808,69.16889,247.91423,0,233.36579,-11.58804
AR,1436591.256,-779,3,4,18.14393,166.22574,2.53012,339.3969,260.59189,0,84.30895,-6.26441
CS,1436606.734,-779,3,20,5.6126,160.53561,2.04837,354.52752,101.55594,0,268.71751,-5.97156
EF,1436985.294,-778,4,2,19.06049,19.23398,0.04045,7.41933,99.22067,0,101.4692,-11.60177
MF,1437081.657,-778,7,8,3.76785,83.90247,0.17871,99.05172,241.00453,0,231.33957,-11.72302
AR,1437371.29,-777,4,23,18.96107,213.00211,-1.44717,27.31968,286.93091,0,106.91029,-5.8632
CS,1437381.702,-777,5,4,4.84271,209.54487,-2.14724,37.23657,73.76711,0,248.60264,-6.09707
EF,1437759.327,-776,5,15,19.84323,61.70075,0.15539,48.98525,115.41556,0,120.56154,-11.64442
MF,1437841.671,-776,8,6,4.1013,114.57874,0.20118,127.36197,243.63762,0,238.16852,-11.57358
AR,1438177.32,-775,7,7,19.68802,280.71007,-7.09046,98.9787,307.38134,0,123.54,-6.20958
CS,1438180.681,-775,7,11,4.34101,279.70482,-7.1008,102.18172,52.4975,0,236.89016,-6.10759
EF,1438522.342,-774,6,17,20.21472,94.58707,0.19706,79.773,119.09629,0,128.39633,-11.58394
MF,1438605.695,-774,9,9,4.67809,147.99446,0.1677,160.13621,254.94424,0,252.19198,-11.83144
AR,1438978.28,-773,9,16,18.7225,354.17287,-3.03562,167.4129,276.14508,0,100.22106,-6.19036
CS,1438987.727,-773,9,26,5.45515,351.12115,-2.39699,176.83661,83.08308,0,264.46441,-6.04086
EF,1439280.341,-772,7,14,20.18462,123.91073,0.18759,105.92359,113.91074,0,127.68565,-11.68203
MF,1439373.724,-772,10,16,5.38209,185.98486,0.06379,197.74539,272.82312,0,270.89202,-11.60328
AR,1439754.248,-771,10,31,17.9599,46.19873,1.64054,213.29851,247.6311,0,78.90836,-6.51418
CS,1439768.761,-771,11,15,6.26785,40.91408,2.13176,228.16373,110.94843,0,286.84155,-6.34667
EF,1440041.324,-770,8,14,19.76918,156.19858,0.1096,135.28219,101.38774,0,118.89201,-11.63428
MF,1440155.752,-770,12,7,6.03974,237.86886,-0.04671,250.51529,294.25613,0,289.29172,-11.646
AR,1440523.227,-769,12,9,17.45711,83.93745,3.74445,252.80727,236.50803,0,66.64422,-5.94578
CS,1440537.776,-769,12,24,6.61985,78.28581,3.97836,267.747,123.28402,0,294.8027,-5.78876
EF,1440818.287,-768,9,29,18.89994,202.25694,-0.04257,181.1734,79.3879,0,97.14419,-11.55621
MF,1440993.713,-767,3,24,5.10435,337.31641,-0.10854,358.43039,280.87984,0,263.07048,-11.53079
AR,1441288.229,-766,1,12,17.49556,117.19385,4.29113,288.13347,239.25217,0,67.04333,-6.31621
CS,1441304.764,-766,1,29,6.33233,110.71007,4.20403,304.8684,122.12827,0,288.89463,-6.58916
EF,1441640.246,-766,12,30,17.90255,287.93413,-0.09891,274.63912,62.45559,0,69.03722,-11.57759
MF,1441784.668,-765,5,24,4.03897,36.11343,0.02877,56.21057,253.39022,0,236.89165,-11.63908
AR,1442054.247,-764,2,17,17.93749,151.58057,3.35285,323.87029,252.90213,0,77.90869,-6.75817
CS,1442070.744,-764,3,5,5.85624,145.35538,2.9538,340.17119,109.34328,0,275.47886,-6.04414
EF,1442442.279,-763,3,11,18.68751,358.17275,-0.01474,346.33423,89.09946,0,91.0937,-11.67172
MF,1442548.656,-763,6,26,3.75183,71.59826,0.15259,87.92788,242.46899,0,230.96478,-11.6693
AR,1442828.276,-762,4,1,18.6272,193.08536,0.68013,6.48871,275.54299,0,97.38264,-6.37229
CS,1442841.716,-762,4,15,5.1767,188.42008,0.15041,19.40848,86.10042,0,256.7697,-5.8315
EF,1443223.316,-761,5,1,19.57958,47.12971,0.12136,35.018,110.92151,0,114.68109,-11.52235
MF,1443308.664,-761,7,26,3.93572,102.60699,0.19861,116.0843,241.56327,0,234.63852,-11.59228
AR,1443623.316,-760,6,4,19.57856,251.65005,-5.65034,67.95862,304.40209,0,121.37994,-6.034
CS,1443628.681,-760,6,10,4.34427,249.99475,-5.89335,73.0361,55.60807,0,237.33723,-6.40087
EF,1443989.339,-759,6,5,20.12512,82.57101,0.18753,68.69302,118.91974,0,126.56098,-11.62104
MF,1444070.685,-759,8,26,4.43806,134.47921,0.18811,146.64393,249.57529,0,245.97717,-11.62957
AR,1444434.296,-758,8,24,19.10156,327.69952,-5.38638,145.04295,291.11742,0,110.33038,-5.95251
CS,1444440.706,-758,8,31,4.94597,325.76424,-5.01144,151.32765,68.47435,0,251.90882,-6.65165
