Mars,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429311.698,-799,3,30,4.75859,338.29236,-0.15292,4.12176,280.10582,-0.5667,258.10849,-14.5021
AR,1429591.23,-798,1,3,17.52708,110.15613,4.27583,278.85441,237.22759,-0.5667,66.48834,-7.20718
CS,1429609.766,-798,1,22,6.37313,102.91655,4.26783,297.69744,123.9525,-0.5667,290.54635,-7.00905
EF,1429922.256,-798,11,30,18.15429,260.71618,-0.11695,243.73932,61.73971,-0.5667,73.09573,-13.28261
MF,1430101.654,-797,5,29,3.68691,36.40419,0.02272,60.82823,252.88822,-0.5667,232.61954,-14.53054
AR,1430357.243,-796,2,8,17.82289,143.58039,3.69765,314.78424,248.6596,-0.5667,74.56495,-6.93141
CS,1430375.747,-796,2,27,5.9322,136.54726,3.31682,333.17564,113.71708,-0.5667,278.30346,-6.54463
EF,1430736.272,-795,2,21,18.52879,341.43049,-0.04298,328.5058,81.46134,-0.5667,83.97635,-13.24905
MF,1430863.643,-795,6,29,3.43985,70.64595,0.16409,90.66257,242.20088,-0.5667,227.78717,-14.62611
AR,1431129.267,-794,3,21,18.4064,182.64748,1.4354,355.72611,269.33684,-0.5667,91.89776,-6.02266
CS,1431145.719,-794,4,7,5.24442,176.82513,0.8235,11.62938,92.8113,-0.5667,259.87417,-6.72518
EF,1431521.311,-793,4,17,19.46924,34.65299,0.09403,21.55523,106.47267,-0.5667,109.73682,-13.2594
MF,1431622.652,-793,7,28,3.63931,101.09168,0.21756,117.89134,240.94119,-0.5667,231.93627,-14.81715
AR,1431917.308,-792,5,17,19.40325,236.7033,-4.15914,50.81256,298.45359,-0.5667,116.88184,-6.46733
CS,1431926.685,-792,5,27,4.44316,233.7489,-4.70906,59.69087,61.80753,-0.5667,240.04468,-6.80273
EF,1432290.34,-791,5,25,20.14811,72.70991,0.18287,58.18382,118.17804,-0.5667,125.29154,-13.27052
MF,1432382.674,-791,8,26,4.1683,131.66778,0.20853,146.52846,248.15425,-0.5667,243.38313,-14.66059
AR,1432729.309,-790,8,7,19.40761,311.34812,-6.48516,128.417,298.56943,-0.5667,117.08554,-6.39165
CS,1432735.695,-790,8,14,4.68286,309.4511,-6.21995,134.60681,61.07269,-0.5667,245.10634,-6.43024
EF,1433050.35,-789,6,24,20.41119,103.38511,0.2091,86.13216,118.77939,-0.5667,130.60441,-13.23511
MF,1433147.702,-789,9,30,4.83772,166.4598,0.13629,180.766,262.96659,-0.5667,260.48078,-14.66092
AR,1433517.269,-788,10,3,18.44429,17.26454,-0.69614,185.10757,262.13353,-0.5667,91.93339,-6.68833
CS,1433531.742,-788,10,18,5.80516,12.33573,0.15678,199.73837,96.48376,-0.5667,275.01638,-6.69135
EF,1433807.346,-787,7,20,20.29854,132.24476,0.18311,111.38048,111.6148,-0.5667,128.26658,-13.34761
MF,1433920.731,-787,11,11,5.53543,209.5875,-0.0058,223.97394,283.45174,-0.5667,280.15038,-14.578
AR,1434290.239,-786,11,15,17.74258,62.09434,2.62467,228.34656,241.05387,-0.5667,73.1737,-6.46487
CS,1434306.767,-786,12,2,6.40748,55.91801,3.07614,245.33403,117.75001,-0.5667,291.2859,-6.9462
EF,1434570.324,-785,8,22,19.77796,166.44979,0.07085,142.78328,96.96599,-0.5667,117.1251,-13.27085
MF,1434728.737,-784,1,28,5.68538,284.03608,-0.11869,303.26947,297.73603,-0.5667,284.34508,-14.51808
AR,1435057.227,-784,12,21,17.44098,97.2612,4.11513,265.85082,235.66484,-0.5667,65.6347,-6.3531
CS,1435073.774,-783,1,7,6.56696,90.78811,4.24945,282.77589,124.77368,-0.5667,293.89912,-6.03984
EF,1435360.278,-783,10,20,18.67294,223.34974,-0.09295,202.07753,70.87839,-0.5667,88.14237,-13.21752
MF,1435564.664,-782,5,13,3.93509,19.91798,-0.04518,45.96769,260.17964,-0.5667,237.95921,-14.56905
AR,1435822.235,-781,1,25,17.63764,130.2499,4.10638,301.00782,243.03658,-0.5667,70.08634,-6.68874
CS,1435840.755,-781,2,13,6.11967,123.09281,3.85826,319.59047,119.00018,-0.5667,283.732,-6.81912
EF,1436187.258,-780,1,25,18.19992,314.2606,-0.08356,300.78245,70.01443,-0.5667,74.26825,-13.36969
MF,1436331.644,-780,6,18,3.45642,58.687,0.12423,80.51365,245.01022,-0.5667,228.2022,-14.72425
AR,1436590.258,-779,3,3,18.18629,166.57096,2.55281,338.41543,260.35297,-0.5667,84.33569,-6.99614
CS,1436607.733,-779,3,21,5.58105,160.18202,2.01058,355.49835,102.05989,-0.5667,268.12804,-6.15086
EF,1436981.297,-778,3,29,19.11895,16.42278,0.03465,3.55958,98.28117,-0.5667,100.67562,-13.20933
MF,1437089.647,-778,7,16,3.5306,89.03024,0.20236,106.67468,240.37044,-0.5667,229.47924,-14.54578
AR,1437370.292,-777,4,22,18.99751,213.31119,-1.37537,26.36655,286.5917,-0.5667,106.93892,-6.50368
CS,1437382.7,-777,5,5,4.80845,209.209,-2.20698,38.1858,74.23391,-0.5667,248.04871,-6.31075
EF,1437755.331,-776,5,11,19.93496,59.08752,0.15758,45.19625,115.14066,-0.5667,120.61053,-13.3589
MF,1437849.664,-776,8,14,3.93773,119.6457,0.21899,135.10765,244.44291,-0.5667,238.22734,-14.75747
AR,1438176.322,-775,7,6,19.72076,281.00899,-7.0795,98.02765,306.86793,-0.5667,123.88255,-6.51039
CS,1438181.679,-775,7,12,4.30519,279.4098,-7.09602,103.13424,52.94041,-0.5667,236.63868,-6.54185
EF,1438518.348,-774,6,13,20.35867,92.05127,0.20484,75.99031,119.6168,-0.5667,129.58295,-13.23659
MF,1438612.69,-774,9,16,4.56774,152.54782,0.17351,167.07182,256.52686,-0.5667,253.42159,-14.76374
AR,1438977.282,-773,9,15,18.75636,354.50483,-3.09405,166.42047,275.67417,-0.5667,100.83464,-6.38581
CS,1438988.726,-773,9,27,5.41721,350.82331,-2.32267,177.83618,83.39643,-0.5667,264.48431,-6.73877
EF,1439275.35,-772,7,9,20.39637,120.71866,0.20185,101.16044,115.24727,-0.5667,130.15411,-13.39669
MF,1439381.72,-772,10,24,5.26824,191.54124,0.05439,205.87043,275.12385,-0.5667,272.63671,-14.68351
AR,1439753.25,-771,10,30,17.9973,46.54906,1.60178,212.27865,247.14499,-0.5667,79.50696,-6.7818
CS,1439769.759,-771,11,16,6.22019,40.56907,2.15903,229.18827,111.24511,-0.5667,286.70949,-7.07803
EF,1440035.334,-770,8,8,20.02256,152.20632,0.12749,129.47389,103.572,-0.5667,122.60975,-13.26215
MF,1440166.744,-770,12,18,5.84857,246.22534,-0.06519,261.81125,295.9604,-0.5667,288.94023,-14.5218
AR,1440522.229,-769,12,8,17.50472,84.3071,3.71614,251.78113,236.07222,-0.5667,67.12539,-6.41812
CS,1440538.774,-769,12,25,6.5697,77.91168,3.98112,268.76988,123.69163,-0.5667,294.42879,-6.36763
EF,1440809.3,-768,9,20,19.20363,195.75991,-0.03631,172.17989,82.78051,-0.5667,102.85301,-13.24316
MF,1441020.682,-767,4,20,4.35887,357.64641,-0.11916,24.38298,270.89677,-0.5667,247.84359,-14.54754
AR,1441287.231,-766,1,11,17.54716,117.56742,4.27998,287.11858,238.92649,-0.5667,67.32652,-6.98691
CS,1441305.762,-766,1,30,6.29164,110.34056,4.18283,305.87341,122.61886,-0.5667,288.37058,-6.93279
EF,1441633.252,-766,12,23,18.04616,282.44338,-0.11077,267.47644,62.07409,-0.5667,70.02959,-13.29156
MF,1441797.649,-765,6,6,3.579,45.04806,0.06438,68.49485,249.49273,-0.5667,230.47582,-14.57817
AR,1442054.245,-764,2,17,17.89032,151.58128,3.35288,323.86834,252.51117,-0.5667,77.53353,-6.18081
CS,1442071.743,-764,3,6,5.82345,144.99666,2.91912,341.1518,109.85132,-0.5667,274.89516,-6.24603
EF,1442438.281,-763,3,7,18.74476,355.2523,-0.01974,342.41919,88.05506,-0.5667,90.24404,-13.21527
MF,1442557.644,-763,7,5,3.46032,77.44745,0.18019,96.4689,241.15344,-0.5667,228.11245,-14.55281
AR,1442827.278,-762,3,31,18.66541,193.40612,0.71729,5.52503,275.27975,-0.5667,97.38095,-7.06406
CS,1442842.714,-762,4,16,5.14496,188.07538,0.11015,20.36493,86.59503,-0.5667,256.1948,-6.00932
EF,1443219.319,-761,4,27,19.65454,44.45551,0.12071,31.21244,110.35566,-0.5667,114.33411,-13.21025
MF,1443316.656,-761,8,3,3.7455,107.67619,0.21924,123.77514,241.84055,-0.5667,233.97951,-14.66769
AR,1443622.317,-760,6,3,19.61305,251.94901,-5.59545,67.01375,303.93858,-0.5667,121.56686,-6.50334
CS,1443629.68,-760,6,11,4.3086,249.68422,-5.9285,73.98127,56.07461,-0.5667,236.9238,-6.70157
EF,1443985.344,-759,6,1,20.24909,80.01765,0.1934,64.913,119.14098,-0.5667,127.31666,-13.31847
MF,1444077.68,-759,9,2,4.31639,138.96283,0.19831,153.51127,250.84519,-0.5667,246.80488,-14.55735
AR,1444433.297,-758,8,23,19.13439,328.01291,-5.4343,144.0664,290.63735,-0.5667,110.88438,-6.14143
CS,1444440.708,-758,8,31,4.99434,325.76367,-5.0113,151.32963,68.87329,-0.5667,252.32889,-6.07512
EF,1444744.351,-757,6,30,20.41605,109.96098,0.20846,91.92986,117.74223,-0.5667,130.68316,-13.2487
MF,1444844.708,-757,10,9,4.99405,175.53487,0.11008,189.93836,267.34648,-0.5667,264.99992,-14.78266
AR,1445216.258,-756,10,14,18.1966,28.5573,0.38859,196.31338,255.79818,-0.5667,86.14083,-6.02524
CS,1445230.75,-756,10,29,5.99468,23.49063,0.94918,211.05337,102.56644,-0.5667,280.07047,-6.63653
EF,1445502.342,-755,7,27,20.19754,139.65719,0.16597,118.19567,108.84784,-0.5667,126.34963,-13.21735
MF,1445620.736,-755,11,23,5.67321,221.73286,-0.02643,236.41122,288.43561,-0.5667,284.18525,-14.63081
