Mars,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1429315.703,-799,4,3,4.86812,338.99425,-1.08346,4.83788,280.56231,-0.5667,258.55407,-14.55268
AR,1429590.239,-798,1,2,17.72826,106.38536,4.33349,275.15186,237.44511,-0.5667,66.63028,-7.22936
CS,1429607.776,-798,1,20,6.62547,99.56684,4.48893,292.84767,123.60514,-0.5667,291.5526,-6.60973
EL,1429920.254,-798,11,28,18.10717,256.82533,-0.99614,239.27578,61.8474,-0.5667,74.11579,-13.26553
MF,1430099.655,-797,5,27,3.7281,32.00456,-0.2422,55.93329,255.43607,-0.5667,235.82942,-14.6015
AR,1430357.255,-796,2,8,18.11675,140.31629,4.5283,311.83928,246.99999,-0.5667,73.48217,-6.5301
CS,1430375.76,-796,2,27,6.23963,133.33744,4.2827,330.13097,115.34168,-0.5667,279.55851,-6.62756
EL,1430739.285,-795,2,24,18.84332,341.3559,-0.69276,328.4405,80.92524,-0.5667,83.61715,-13.22244
MF,1430860.646,-795,6,26,3.50273,65.37815,0.50652,85.00095,243.62599,-0.5667,229.84839,-14.70335
AR,1431129.274,-794,3,21,18.58027,180.35161,2.84549,352.61504,266.7769,-0.5667,90.60356,-6.73543
CS,1431146.725,-794,4,8,5.40194,174.1834,2.16463,9.46571,95.40414,-0.5667,261.60587,-6.39469
EL,1431522.308,-793,4,18,19.38326,32.52297,0.26109,19.3947,105.33524,-0.5667,107.82774,-13.46343
MF,1431618.655,-793,7,24,3.72676,95.27468,1.00692,111.44119,240.36874,-0.5667,232.25919,-14.64058
AR,1431918.299,-792,5,18,19.18581,235.77772,-2.49112,48.72764,295.4786,-0.5667,115.50127,-6.90842
CS,1431929.684,-792,5,30,4.41918,232.48169,-3.23101,59.55961,64.66879,-0.5667,241.42074,-6.50261
EL,1432292.328,-791,5,27,19.87925,71.01324,0.92577,57.0847,117.987,-0.5667,123.48383,-13.42003
MF,1432379.675,-791,8,23,4.20067,126.75647,1.19258,141.20893,246.03895,-0.5667,242.39335,-14.6122
AR,1432732.306,-790,8,10,19.34099,311.40361,-6.53671,128.85556,297.86209,-0.5667,115.75067,-6.12288
CS,1432738.7,-790,8,17,4.79759,309.56792,-6.33972,135.10795,61.73316,-0.5667,246.05092,-6.65777
EL,1433054.342,-789,6,28,20.19652,103.04362,1.18718,87.14559,119.18494,-0.5667,128.86178,-13.30426
MF,1433145.696,-789,9,28,4.71515,162.50033,0.95773,176.54114,260.46128,-0.5667,259.21524,-14.58546
AR,1433519.262,-788,10,5,18.29908,14.32015,-1.86396,184.92147,264.96221,-0.5667,91.558,-6.3932
CS,1433531.731,-788,10,18,5.54446,9.72145,-1.22306,197.5288,93.60037,-0.5667,273.7407,-7.33405
EL,1433813.339,-787,7,26,20.14771,133.37833,1.06684,114.57939,111.63821,-0.5667,125.68903,-13.24626
