Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429286.739,-799,3,5,5.73506,316.92947,-1.13418,336.71011,290.07461,0,273.83757,-11.50828
AR,1429591.237,-798,1,3,17.68362,106.01009,4.3565,276.16305,237.76721,0,66.29196,-6.5883
CS,1429606.778,-798,1,19,6.66467,99.93676,4.49457,291.84408,123.16361,0,292.01936,-6.16279
EL,1429929.248,-798,12,7,17.95431,263.90928,-1.03649,248.45573,60.77173,0,71.12015,-11.58609
MF,1430085.677,-797,5,13,4.23972,22.35027,-0.38356,42.62945,260.08457,0,243.28073,-11.52642
AR,1430358.253,-796,2,9,18.06893,139.94759,4.53078,312.83139,247.22677,0,73.36687,-5.78706
CS,1430374.762,-796,2,26,6.27717,133.68752,4.31086,329.14911,114.86824,0,280.11993,-6.37018
EL,1430743.282,-795,2,28,18.76674,344.3105,-0.65553,332.36979,81.96481,0,84.39162,-11.71311
MF,1430850.659,-795,6,16,3.8204,58.85826,0.40997,75.4637,245.71157,0,233.77548,-11.63631
AR,1431130.272,-794,3,22,18.53301,180.01265,2.81713,353.58276,266.99147,0,90.61954,-6.01097
CS,1431145.727,-794,4,7,5.4413,174.51949,2.21251,8.50501,94.95203,0,262.19316,-6.1837
EL,1431526.304,-793,4,22,19.28815,35.2096,0.29877,23.21903,106.11248,0,108.43569,-11.77032
MF,1431610.664,-793,7,16,3.92633,90.18693,0.95689,103.73139,240.69464,0,233.65469,-11.63935
AR,1431919.298,-792,5,19,19.14872,235.50107,-2.5607,49.67805,295.85791,0,115.41792,-6.34424
CS,1431928.686,-792,5,29,4.45601,232.77078,-3.17214,58.60996,64.26621,0,241.90308,-6.20976
EL,1432296.324,-791,5,31,19.76851,73.56626,0.94563,60.88605,118.03521,0,123.09856,-11.67844
MF,1432372.681,-791,8,16,4.34729,122.27063,1.18368,134.34672,245.11174,0,241.95034,-11.71997
AR,1432733.304,-790,8,11,19.30794,311.11308,-6.51411,129.83033,298.32554,0,115.25808,-5.89032
CS,1432737.701,-790,8,16,4.83533,309.84764,-6.37843,134.12987,61.39431,0,246.12373,-6.05491
EL,1433058.336,-789,7,2,20.05332,105.57412,1.1857,90.96698,118.45296,0,127.36608,-11.67927
MF,1433138.702,-789,9,21,4.85205,157.80835,0.99092,169.53205,258.65892,0,257.68282,-11.72493
AR,1433520.261,-788,10,6,18.25793,13.95047,-1.8158,185.92856,265.42489,0,90.92024,-6.12724
CS,1433530.733,-788,10,17,5.59232,10.07195,-1.27622,196.51726,93.36217,0,273.74476,-6.55882
EL,1433818.331,-787,7,31,19.94301,136.62467,1.03812,119.41851,110.07834,0,122.93261,-11.5814
MF,1433911.725,-787,11,2,5.39807,200.75737,0.29549,212.52721,279.3037,0,277.6936,-11.66442
AR,1434291.232,-786,11,16,17.57605,57.64342,1.89753,227.08092,244.29755,0,73.37139,-5.75055
CS,1434303.76,-786,11,29,6.23179,52.70066,2.32781,239.87333,114.73366,0,290.24021,-6.05984
EL,1434582.308,-785,9,3,19.39838,171.97345,0.46894,152.25291,94.27958,0,110.37372,-11.55993
MF,1434711.759,-784,1,11,6.2054,268.73092,-0.86739,283.36068,299.1927,0,290.14195,-11.5745
