Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429295.5,1429295.608,1429295.731,-799,3,14,5.55253,323.81361,-1.12909,345.45457,287.85405,0,269.39173,-11.54762
AR,1429590.5,1429591.109,1429591.233,-798,1,3,17.58117,106.02697,4.35551,276.11788,236.91544,0,65.74897,-6.26509
CS,1429606.5,1429607.655,1429607.779,-798,1,20,6.68688,99.58072,4.48918,292.80971,124.07897,0,291.7895,-6.66731
EL,1429924.5,1429925.123,1429925.246,-798,12,3,17.90361,260.72275,-1.01951,244.33044,60.27152,0,71.98435,-11.59358
MF,1430089.5,1430089.546,1430089.67,-797,5,17,4.07348,25.0985,-0.34428,46.39383,258.56811,0,240.56237,-11.56913
AR,1430356.5,1430357.131,1430357.254,-796,2,8,18.09821,140.33136,4.52816,311.79841,246.81591,0,73.57082,-6.91059
CS,1430374.5,1430375.638,1430375.761,-796,2,27,6.27285,133.35096,4.28383,330.09269,115.58762,0,279.58616,-6.57224
EL,1430742.5,1430743.158,1430743.281,-795,2,28,18.74323,344.28003,-0.65591,332.32924,81.75936,0,84.62957,-11.62414
MF,1430852.5,1430852.53,1430852.654,-795,6,18,3.68903,60.13877,0.42894,77.3281,244.73126,0,231.96802,-11.61885
AR,1431129.5,1431130.149,1431130.272,-794,3,22,18.52789,180.02652,2.81831,353.54346,266.92589,0,90.78385,-5.92522
CS,1431145.5,1431146.601,1431146.724,-794,4,8,5.37596,174.19721,2.16664,9.42587,95.17409,0,261.16867,-6.41619
EL,1431525.5,1431526.182,1431526.306,-793,4,22,19.33734,35.18391,0.29842,23.18242,106.49206,0,109.27344,-11.6831
MF,1431611.5,1431611.535,1431611.659,-793,7,17,3.81306,90.7955,0.96297,104.65088,239.92892,0,232.26265,-11.6154
AR,1431918.5,1431919.178,1431919.301,-792,5,19,19.23384,235.51135,-2.55815,49.64304,296.51444,0,116.35658,-6.39792
