Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1429324.5,1429324.569,1429324.692,-799,4,12,4.60788,345.67978,-1.04833,13.44906,277.6396,-0.5667,253.34461,-14.5414
AR,1429589.5,1429590.111,1429590.234,-798,1,2,17.6244,106.40201,4.33242,275.10661,236.55732,-0.5667,66.10415,-6.87476
CS,1429606.5,1429607.657,1429607.781,-798,1,20,6.74141,99.57988,4.48916,292.812,124.53216,-0.5667,292.21009,-6.03358
EL,1429914.5,1429915.13,1429915.254,-798,11,23,18.08753,252.86432,-0.9695,234.12675,61.74824,-0.5667,75.70036,-13.25501
MF,1430103.5,1430103.525,1430103.648,-797,5,31,3.55109,34.70208,-0.20105,59.69213,253.88718,-0.5667,232.97483,-14.6094
AR,1430356.5,1430357.129,1430357.252,-796,2,8,18.04914,140.33211,4.52815,311.79638,246.40891,-0.5667,73.18629,-6.32167
CS,1430375.5,1430376.636,1430376.76,-796,2,28,6.23733,133.00794,4.25426,331.07413,116.09366,-0.5667,279.03018,-6.78062
EL,1430737.5,1430738.161,1430738.284,-795,2,23,18.82339,340.58404,-0.70237,327.41521,80.36312,-0.5667,83.62105,-13.35301
MF,1430862.5,1430862.517,1430862.64,-795,6,28,3.36704,66.64676,0.52531,86.86956,242.62751,-0.5667,227.92843,-14.6413
AR,1431128.5,1431129.151,1431129.274,-794,3,21,18.57447,180.36527,2.84661,352.57569,266.68501,-0.5667,90.78931,-6.64129
CS,1431146.5,1431147.599,1431147.722,-794,4,9,5.33818,173.86733,2.11802,10.38629,95.6544,-0.5667,260.58742,-6.58517
EL,1431521.5,1431522.186,1431522.31,-793,4,18,19.43001,32.49712,0.26072,19.35795,105.7166,-0.5667,108.71143,-13.36928
MF,1431619.5,1431619.527,1431619.651,-793,7,25,3.61337,95.88186,1.01277,112.36478,239.59862,-0.5667,230.76867,-14.58371
AR,1431917.5,1431918.179,1431918.303,-792,5,18,19.26949,235.78782,-2.48854,48.69257,296.10037,-0.5667,116.45049,-6.94207
CS,1431928.5,1431929.558,1431929.681,-792,5,30,4.34293,232.49422,-3.22847,59.51824,64.05017,-0.5667,240.55657,-6.3288
EL,1432290.5,1432291.209,1432291.333,-791,5,26,19.9842,70.35095,0.92049,56.09933,118.60423,-0.5667,124.7416,-13.48955
MF,1432380.5,1432380.548,1432380.671,-791,8,24,4.11291,127.37043,1.19363,142.14935,245.60905,-0.5667,241.32417,-14.77494
AR,1432731.5,1432732.186,1432732.31,-790,8,10,19.43338,311.41422,-6.53748,128.81997,298.55148,-0.5667,116.75993,-6.23341
CS,1432737.5,1432738.573,1432738.696,-790,8,17,4.71055,309.58014,-6.34148,135.06488,61.03074,-0.5667,245.06239,-6.78107
EL,1433051.5,1433052.224,1433052.347,-789,6,26,20.33787,101.75633,1.18763,85.20103,120.1213,-0.5667,130.68984,-13.44719
MF,1433145.5,1433145.572,1433145.695,-789,9,28,4.68728,162.47242,0.95793,176.49949,260.19951,-0.5667,258.42004,-14.51525
AR,1433518.5,1433519.139,1433519.262,-788,10,5,18.28766,14.33519,-1.86591,184.88032,264.81698,-0.5667,91.71149,-6.17716
CS,1433530.5,1433531.608,1433531.732,-788,10,18,5.55877,9.73528,-1.22518,197.48853,93.71083,-0.5667,273.56907,-7.28089
EL,1433809.5,1433810.223,1433810.346,-787,7,23,20.31135,131.4132,1.0838,111.64373,112.91049,-0.5667,128.15133,-13.37753
MF,1433920.5,1433920.598,1433920.721,-787,11,11,5.30983,207.26073,0.20279,221.65736,282.16889,-0.5667,279.18851,-14.66006
AR,1434288.5,1434289.111,1434289.235,-786,11,14,17.62835,58.41855,1.81472,225.00037,243.1059,-0.5667,74.54792,-6.70754
CS,1434303.5,1434304.638,1434304.761,-786,11,30,6.26725,52.33498,2.35398,240.85516,115.68412,-0.5667,290.4277,-6.54488
EL,1434571.5,1434572.202,1434572.326,-785,8,24,19.81947,165.07463,0.57183,142.35487,98.15194,-0.5667,117.21505,-13.2116
MF,1434744.5,1434744.62,1434744.744,-784,2,13,5.84963,294.577,-1.08773,316.34061,296.95735,-0.5667,280.02461,-14.51315
AR,1435054.5,1435055.107,1435055.231,-784,12,19,17.54156,93.76936,3.88453,261.24634,235.84692,-0.5667,66.49163,-7.10826
CS,1435071.5,1435072.655,1435072.779,-783,1,6,6.68446,86.91229,4.17349,279.05345,124.54735,-0.5667,293.85396,-6.55201
EL,1435352.5,1435353.155,1435353.279,-783,10,13,18.6874,215.49798,-0.45669,192.77307,73.58506,-0.5667,92.60887,-13.27693
MF,1435568.5,1435568.534,1435568.658,-782,5,17,3.7817,19.92568,-0.52895,46.73746,260.73871,-0.5667,237.64398,-14.63839
AR,1435820.5,1435821.122,1435821.246,-781,1,24,17.90004,127.09997,4.62313,297.17258,241.40465,-0.5667,69.36472,-6.95915
CS,1435839.5,1435840.646,1435840.77,-781,2,13,6.47455,119.66318,4.5276,316.63976,120.74388,-0.5667,284.78531,-6.81849
EL,1436188.5,1436189.146,1436189.269,-780,1,27,18.46756,313.66205,-1.01689,299.9598,68.76791,-0.5667,74.05841,-13.26712
MF,1436330.5,1436330.518,1436330.641,-780,6,17,3.38756,54.80223,0.26492,76.7215,246.04073,-0.5667,228.97749,-14.56507
AR,1436589.5,1436590.144,1436590.268,-779,3,3,18.42131,163.97475,3.80271,335.38428,257.75278,-0.5667,83.10349,-7.15706
CS,1436608.5,1436609.616,1436609.74,-779,3,23,5.75776,156.88369,3.25543,354.35767,104.94779,-0.5667,268.54906,-6.34005
EL,1436981.5,1436982.177,1436982.301,-778,3,30,19.21695,14.53093,-0.09896,1.43826,97.22362,-0.5667,99.75101,-13.41824
MF,1437087.5,1437087.522,1437087.645,-778,7,14,3.48357,84.46471,0.85337,102.11598,239.78295,-0.5667,228.83982,-14.53847
AR,1437370.5,1437371.165,1437371.288,-777,4,23,18.91625,211.53923,0.15714,24.25025,284.0645,-0.5667,105.92071,-6.48467
CS,1437384.5,1437385.573,1437385.696,-777,5,8,4.71388,206.90571,-0.6831,38.00577,76.99725,-0.5667,248.20729,-6.26645
EL,1437755.5,1437756.201,1437756.324,-776,5,12,19.78034,56.82879,0.71172,43.12739,115.09794,-0.5667,119.79658,-13.47305
MF,1437846.5,1437846.539,1437846.663,-776,8,11,3.90874,114.65593,1.16602,129.75801,242.13126,-0.5667,236.32088,-14.58103
AR,1438178.5,1438179.196,1438179.319,-775,7,9,19.65702,281.29186,-6.56405,98.21366,306.08694,-0.5667,123.51704,-6.2112
CS,1438183.5,1438184.557,1438184.681,-775,7,15,4.34021,279.86774,-6.66909,103.37097,53.62303,-0.5667,237.14583,-6.09112
EL,1438519.5,1438520.22,1438520.343,-774,6,15,20.23349,90.43456,1.12974,75.05014,120.71447,-0.5667,129.44308,-13.34094
