Almagest Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west
-800,3,15,14.88007,-800,4,21,20.59604,-800,5,1,12.8026,-800,5,13,18.70367,-800,5,24,6.1681,-800,6,2,19.86004,1428932.12,1428969.35817,1428979.03344,1428991.27932,1429001.757,1429011.3275,347.93948,347.93948,350.24889,347.93948,49.30689,24.64273,26.15675,24.64273,54.49664,34.17902,35.37759,34.17902,46.24901,46.24899,47.0067,46.24899,39.82933,56.57617,56.93229,56.57617,44.95827,66.00919,65.98926,66.00919,,24.664160000000003,-21.050920000000005
-800,7,6,12.47772,-800,8,12,14.16132,-800,8,24,20.71314,-800,9,5,18.73627,-800,9,15,12.49326,-800,9,28,11.92972,1429045.01991,1429082.09006,1429094.36305,1429106.28068,1429116.02055,1429128.99707,99.21761,99.21761,97.93739,99.21761,158.12902,135.75526,133.54075,135.75526,164.59178,147.85195,145.50031,147.85195,159.59839,159.59839,157.21142,159.59839,156.00752,169.19835,166.85703,169.19835,162.91373,181.98847,179.81215,181.98847,,22.373760000000004,-19.07474000000002
-800,11,3,7.35571,-800,12,7,14.97669,-800,12,17,16.28031,-800,12,27,7.44049,-799,1,9,13.6814,-799,1,19,0.86552,1429164.80649,1429199.12403,1429209.17835,1429218.81002,1429232.07006,1429241.53606,217.2835,217.28349,216.11148,217.28349,270.57324,251.10807,251.35098,251.10807,276.00675,261.01796,261.68289,261.01796,270.51129,270.51128,271.55969,270.51128,261.14321,283.58084,285.10248,283.58084,266.20555,292.91087,294.71856,292.91087,,19.46517,-26.705319999999972
-799,2,26,22.1662,-799,4,4,1.22374,-799,4,13,23.38776,-799,4,25,19.11914,-799,5,6,14.48194,-799,5,16,8.33784,1429280.42359,1429316.55099,1429326.47449,1429338.29663,1429349.10341,1429358.84741,331.23979,331.23979,333.62651,331.23979,30.41734,6.84822,8.84324,6.84822,35.73228,16.62918,18.37917,16.62918,28.2815,28.2815,29.6792,28.2815,21.80857,38.93304,39.96269,38.93304,27.01229,48.53707,49.20728,48.53707,,23.569119999999998,-21.52478
-799,6,19,3.76849,-799,7,26,21.28799,-799,8,7,6.67944,-799,8,20,1.00635,-799,8,29,9.59651,-799,9,10,19.43648,1429392.65702,1429430.387,1429441.77831,1429454.54193,1429463.89985,1429476.30985,81.86102,81.86101,81.21484,81.86101,143.0865,119.04901,117.17607,119.04901,149.10222,130.27669,128.15584,130.27669,142.85697,142.85696,140.54995,142.85696,139.11129,152.08046,149.70471,152.08046,145.77047,164.3122,161.9392,164.3122,,24.037490000000005,-18.54173
-799,10,16,6.18787,-799,11,19,22.94217,-799,11,30,16.10341,-799,12,10,1.41852,-799,12,23,11.61023,-798,1,2,7.58445,1429511.75783,1429546.45592,1429557.17098,1429566.5591,1429579.98376,1429589.81602,199.25097,199.25097,197.47557,199.25097,252.31101,233.45064,232.93065,233.45064,258.10835,244.01177,243.94659,244.01177,253.26505,253.26504,253.60101,253.26504,244.46424,266.49686,267.38638,266.49686,249.70204,276.18788,277.45094,276.18788,,18.860370000000017,-26.485839999999996
-798,2,10,3.10126,-798,3,17,5.01555,-798,3,27,5.94872,-798,4,7,16.77594,-798,4,18,19.54793,-798,4,28,18.37894,1429628.62922,1429663.70898,1429673.74786,1429685.199,1429696.3145,1429706.26579,314.44354,314.44354,316.70399,314.44354,11.69937,349.01939,351.31706,349.01939,17.06272,358.91406,1.06831,358.91406,10.20071,10.20071,12.11749,10.20071,3.64707,21.15654,22.77679,21.15654,8.95723,30.96488,32.27351,30.96488,,22.67998,-22.00765
-798,6,2,0.32062,-798,7,10,9.00087,-798,7,20,21.58607,-798,8,3,4.30334,-798,8,12,10.69152,-798,8,24,0.8324,1429740.51336,1429778.87504,1429789.39942,1429802.67931,1429811.94548,1429823.53468,64.7205,64.72049,64.75212,64.72049,128.02672,102.53112,101.14027,102.53112,133.60711,112.90432,111.19592,112.90432,125.99345,125.99344,123.95863,125.99344,121.80495,135.12651,132.92179,135.12651,128.05957,146.54924,144.20757,146.54924,,25.49560000000001,-18.48966999999999
-798,9,28,3.11353,-798,11,2,4.9587,-798,11,13,17.93949,-798,11,23,0.37848,-798,12,6,7.50093,-798,12,16,19.15738,1429858.62973,1429893.70661,1429905.24748,1429914.51577,1429927.81254,1429938.29822,181.14016,181.14016,178.94928,181.14016,234.21232,215.71317,214.48249,215.71317,240.44186,227.08825,226.30279,227.08825,236.22341,236.22341,235.8216,236.22341,228.53945,249.32917,249.49504,249.32917,234.10202,259.66423,260.27252,259.66423,,18.499150000000014,-25.562209999999965
-797,1,24,4.47931,-797,2,27,11.36172,-797,3,9,10.30658,-797,3,20,13.43811,-797,3,31,23.84081,-797,4,11,0.81096,1429976.68664,1430010.9734,1430020.92944,1430032.05992,1430043.49337,1430053.53379,297.50121,297.50121,299.43099,297.50121,353.33209,331.29546,333.68225,331.29546,358.64153,341.10848,343.47346,341.10848,352.07907,352.07907,354.33924,352.07907,345.24045,3.34828,5.41815,3.34828,350.60498,13.24447,15.08495,13.24447,,22.036630000000002,-22.639489999999967
-797,5,16,1.47675,-797,6,23,20.56664,-797,7,3,17.26436,-797,7,17,3.51031,-797,7,26,12.54154,-797,8,6,6.66862,1430088.56153,1430127.35694,1430137.21935,1430150.64626,1430160.02256,1430170.77786,47.76905,47.76905,48.46874,47.76905,112.46028,86.00718,85.20272,86.00718,117.71461,95.72791,94.56835,95.72791,108.96197,108.96195,107.36873,108.96195,104.15433,118.20357,116.35212,118.20357,109.97109,128.80436,126.71186,128.80436,,26.453099999999992,-18.83327
-797,9,9,23.9881,-797,10,15,10.40586,-797,10,27,19.17319,-797,11,6,3.48212,-797,11,18,22.69948,-797,11,30,6.868,1430205.4995,1430240.93358,1430253.29888,1430262.64509,1430275.44581,1430286.78617,163.02724,163.02724,160.64883,163.02724,216.47945,197.95231,196.14017,197.95231,223.115,210.14,208.70974,210.14,219.35195,219.35195,218.2587,219.35195,213.03322,231.96879,231.38618,231.96879,219.02231,243.14624,243.04346,243.14624,,18.527140000000003,-24.12393
-796,1,7,1.29932,-796,2,9,20.99943,-796,2,19,15.20981,-796,3,1,10.99438,-796,3,13,6.19663,-796,3,23,4.6036,1430324.55414,1430358.37498,1430368.13374,1430378.9581,1430390.75819,1430400.69182,280.37169,280.37169,281.78426,280.37169,335.256,313.7067,315.95691,313.7067,340.46898,323.32528,325.6782,323.32528,333.99415,333.99415,336.38189,333.99415,326.58183,345.62474,347.95661,345.62474,331.90068,355.41567,357.62788,355.41567,,21.54929999999996,-23.514989999999955
-796,4,28,6.24976,-796,6,6,3.72352,-796,6,15,15.15984,-796,6,28,21.77161,-796,7,8,12.51519,-796,7,18,14.55811,1430436.76041,1430475.65515,1430485.13166,1430498.40715,1430508.02147,1430518.10659,30.96615,30.96615,32.27474,30.96615,96.01454,69.30217,69.15063,69.30217,101.08181,78.64256,78.12136,78.64256,91.72737,91.72735,90.71083,91.72735,86.26511,101.20356,99.85655,101.20356,91.71458,111.14381,109.48596,111.14381,,26.712369999999993,-19.429230000000004
-796,8,21,22.67377,-796,9,26,17.49536,-796,10,9,16.5643,-796,10,19,9.62366,-796,10,31,8.90044,-796,11,12,14.3772,1430552.44474,1430588.22897,1430601.19018,1430610.90099,1430622.87085,1430635.09905,144.98871,144.98871,142.66054,144.98871,199.29223,180.25891,178.05344,180.25891,206.19557,193.03393,191.09196,193.03393,202.60525,202.60524,200.92928,202.60524,197.55221,214.40317,213.12433,214.40317,203.99234,226.45571,225.64439,226.45571,,19.033320000000003,-22.463369999999998
-796,12,19,16.88269,-795,1,22,9.58459,-795,1,31,23.29865,-795,2,11,11.22125,-795,2,23,16.57183,-795,3,5,9.00011,1430672.20345,1430705.89936,1430715.47078,1430725.96755,1430738.19049,1430747.875,263.02711,263.02711,263.77532,263.02711,317.31719,296.23899,298.13651,296.23899,322.44388,305.67292,307.78665,305.67292,316.01892,316.01891,318.29993,316.01891,307.81596,328.06627,330.44495,328.06627,313.00892,337.61167,339.99238,337.61167,,21.07819999999998,-24.602750000000015
-795,4,11,13.44232,-795,5,20,2.97995,-795,5,29,12.20613,-795,6,11,10.61792,-795,6,21,8.9123,-795,7,1,1.1845,1430785.0601,1430823.62416,1430833.00859,1430845.94241,1430855.87135,1430865.54935,14.26261,14.26261,16.07648,14.26261,78.53751,52.27271,52.79809,52.27271,83.5678,61.52233,61.68177,61.52233,74.27038,74.27037,73.9212,74.27037,68.26681,84.05667,83.32626,84.05667,73.48513,93.59566,92.51175,93.59566,,26.2648,-20.110529999999997
-795,8,4,0.80621,-795,9,9,5.48022,-795,9,22,7.76713,-795,10,2,17.53766,-795,10,13,17.17366,-795,10,26,14.74545,1430899.53359,1430935.72834,1430948.82363,1430959.23074,1430970.21557,1430983.11439,127.09172,127.09172,125.03381,127.09172,182.79679,162.76655,160.38718,162.76655,189.7215,175.67372,173.40124,175.67372,185.93135,185.93133,183.82924,185.93133,181.79298,196.75837,194.91335,196.75837,188.59279,209.47191,208.01869,209.47191,,20.030239999999992,-20.87912
-795,12,2,2.99872,-794,1,4,22.57716,-794,1,14,12.10784,-794,1,24,15.56543,-794,2,6,7.62675,-794,2,15,18.47257,1431019.62495,1431053.44071,1431063.00449,1431073.14856,1431085.81778,1431095.26969,245.458,245.458,245.45569,245.458,299.3064,278.78801,280.14493,278.78801,304.44978,288.21441,289.88417,288.21441,298.21276,298.21276,300.1603,298.21276,289.24054,310.69999,312.90443,310.69999,294.31123,320.01613,322.3413,320.01613,,20.51839000000001,-25.704899999999952
-794,3,25,21.74121,-794,5,2,17.336,-794,5,12,5.9571,-794,5,24,18.0813,-794,6,4,0.74623,-794,6,13,13.54984,1431133.40588,1431171.22233,1431180.74821,1431193.25339,1431203.53109,1431213.06458,357.60451,357.6045,359.78135,357.6045,60.19192,34.87773,36.05191,34.87773,65.3028,44.26677,45.09941,44.26677,56.59233,56.59232,56.9478,56.59232,50.2615,66.72238,66.67394,66.72238,55.37995,76.11892,75.69675,76.11892,,25.314190000000004,-20.738970000000002
-794,7,17,7.60199,-794,8,23,0.71821,-794,9,4,17.47505,-794,9,16,1.88104,-794,9,26,4.57255,-794,10,9,7.16592,1431246.81675,1431283.52993,1431296.22813,1431307.57838,1431317.69052,1431330.79858,109.38626,109.38625,107.7803,109.38625,167.01168,145.57206,143.23864,145.57206,173.70172,158.08785,155.69985,158.08785,169.27506,169.27506,166.93437,169.27506,165.60719,179.24195,177.02032,179.24195,172.55472,192.16171,190.1983,192.16171,,21.43962000000002,-19.606989999999996
-794,11,14,7.95978,-794,12,18,10.64162,-794,12,28,5.59072,-793,1,7,0.98163,-793,1,20,2.84167,-793,1,29,11.86426,1431366.83166,1431400.9434,1431410.73295,1431420.5409,1431433.6184,1431442.99434,227.67718,227.67718,226.91589,227.67718,281.15745,261.29892,261.97555,261.29892,286.43958,270.94784,272.0132,270.94784,280.61491,280.61491,282.03592,280.61491,271.22254,293.50455,295.32877,293.50455,276.24184,302.74581,304.79873,302.74581,,19.858529999999973,-26.50396999999998
-793,3,9,5.78778,-793,4,15,0.37306,-793,4,24,19.27724,-793,5,6,20.76196,-793,5,17,11.63578,-793,5,27,2.82956,1431481.74116,1431518.51554,1431528.30322,1431540.36508,1431550.98482,1431560.6179,340.93604,340.93604,343.302,340.93604,41.36663,17.18217,18.91684,17.18217,46.61484,26.82925,28.27401,26.82925,38.71785,38.71785,39.75528,38.71785,32.26654,49.18504,49.83029,49.18504,37.42085,58.67974,58.95242,58.67974,,24.18446,-21.25889
-793,6,29,19.73511,-793,8,6,3.97901,-793,8,18,1.91565,-793,8,30,9.29315,-793,9,8,22.19029,-793,9,21,17.04161,1431594.3223,1431631.66579,1431643.57982,1431655.88721,1431665.4246,1431678.21007,91.89999,91.89998,90.8772,91.89998,151.79107,128.70705,126.61646,128.70705,158.0711,140.44993,138.17051,140.44993,152.58054,152.58054,150.20277,152.58054,148.96533,161.98092,159.59898,161.98092,155.79507,174.58273,172.29651,174.58273,,23.08401999999998,-18.78765999999999
-793,10,27,8.64935,-793,11,30,20.05338,-793,12,11,3.42506,-793,12,20,15.85657,-792,1,3,0.50938,-792,1,12,14.40151,1431713.86039,1431748.33556,1431758.64271,1431768.16069,1431781.52122,1431791.10006,209.72095,209.72094,208.27626,209.72094,262.89078,243.70088,243.62219,243.70088,268.46688,253.85998,254.22152,253.85998,263.24125,263.24123,263.99826,263.24123,254.03381,276.40985,277.68104,276.40985,259.14789,285.85109,287.44673,285.85109,,19.189899999999994,-26.70319999999998
-792,2,20,12.23364,-792,3,27,4.15709,-792,4,6,4.03369,-792,4,17,19.81018,-792,4,28,18.36348,-792,5,8,14.39504,1431830.00974,1431865.67321,1431875.66807,1431887.32542,1431898.26515,1431908.09979,324.20184,324.20184,326.56076,324.20184,22.51414,359.35302,1.49944,359.35302,27.86132,9.2043,11.14499,9.2043,20.69421,20.6942,22.32814,20.6942,14.20174,31.47678,32.76812,31.47678,19.44992,41.17015,42.11805,41.17015,,23.161119999999983,-21.72023
