Mercury,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1428946.288,-800,3,29,18.92219,14.44062,0.77576,4.00303,97.95555,-0.5667,98.7143,-11.00558
EL,1428985.317,-800,5,7,19.61856,52.00413,2.92175,41.34994,115.64087,-0.5667,116.31083,-11.58974
MF,1429001.665,-800,5,24,3.97061,39.82987,3.33425,56.84561,248.24683,-0.5667,236.5149,-13.42478
ML,1429030.671,-800,6,22,4.09375,73.18875,1.19073,84.30526,241.25897,-0.5667,234.59387,-9.56631
EF,1429061.329,-800,7,22,19.90665,128.55776,0.6044,113.51826,112.77338,-0.5667,123.86668,-10.81517
EL,1429094.311,-800,8,24,19.45697,164.59165,-0.61563,145.4491,96.90108,-0.5667,113.0454,-11.03497
MF,1429118.699,-800,9,18,4.78624,156.32651,-2.27812,169.52181,261.18585,-0.5667,256.6816,-13.18814
ML,1429148.731,-800,10,18,5.53335,189.88853,-2.24482,199.7272,276.72207,-0.5667,273.15805,-10.01255
EF,1429186.253,-800,11,24,18.06027,253.64699,-1.77527,238.11409,61.267,-0.5667,73.03395,-10.94299
EL,1429208.25,-800,12,16,17.98867,275.95378,-3.08652,260.72915,58.58057,-0.5667,69.45808,-11.72526
MF,1429227.742,-799,1,5,5.79687,262.35566,-3.30446,280.69004,301.57485,-0.5667,288.93398,-14.36565
ML,1429266.742,-799,2,13,5.81916,305.35921,-0.56364,320.05681,292.96758,-0.5667,281.62128,-9.99976
EF,1429295.278,-799,3,13,18.67854,358.87108,0.56181,348.21065,90.41048,-0.5667,91.23869,-11.21001
EL,1429331.306,-799,4,18,19.33493,34.30116,1.96228,23.00419,107.99794,-0.5667,108.54119,-12.01796
MF,1429348.678,-799,5,6,4.27499,21.81984,3.0312,39.55867,256.2261,-0.5667,243.22275,-13.11976
ML,1429378.675,-799,6,5,4.1942,56.16177,1.57956,67.97689,244.64927,-0.5667,236.83098,-9.59664
EF,1429405.334,-799,7,1,20.00891,105.35237,1.48245,93.24457,119.31274,-0.5667,126.37408,-10.54153
EL,1429445.321,-799,8,10,19.71537,148.48646,0.97098,131.58623,105.74103,-0.5667,118.86247,-11.37195
MF,1429467.687,-799,9,2,4.4791,139.79031,-1.54576,153.42641,253.59895,-0.5667,248.7652,-13.42633
ML,1429494.718,-799,9,29,5.23386,170.62077,-2.12518,180.28791,267.51507,-0.5667,264.09282,-9.85853
EF,1429536.259,-799,11,9,18.20643,239.60013,-2.14492,222.46519,63.78973,-0.5667,77.85405,-10.70111
EL,1429554.252,-799,11,27,18.04507,257.62657,-3.27223,240.94453,58.91863,-0.5667,72.37443,-11.05557
MF,1429574.745,-799,12,18,5.87744,246.11868,-3.77096,262.01131,299.7264,-0.5667,289.64987,-13.4841
ML,1429615.751,-798,1,28,6.01281,290.06887,-1.03176,303.78077,297.22051,-0.5667,287.05872,-9.88816
EF,1429643.266,-798,2,24,18.39545,341.60372,0.25003,331.25195,82.03368,-0.5667,83.36395,-10.83673
EL,1429677.293,-798,3,30,19.0395,16.3061,0.95591,4.49733,99.00996,-0.5667,99.84896,-12.38429
MF,1429696.689,-798,4,19,4.53971,3.65549,2.42379,23.13506,265.33378,-0.5667,250.37546,-13.43775
ML,1429726.683,-798,5,19,4.3958,39.10269,1.69069,51.66047,250.38431,-0.5667,241.42383,-9.56757
EF,1429752.332,-798,6,13,19.97327,86.96341,1.73608,75.93753,120.69428,-0.5667,125.50482,-10.65072
EL,1429795.332,-798,7,26,19.95856,131.7211,2.39118,116.88588,113.78523,-0.5667,123.86299,-11.77474
MF,1429815.674,-798,8,16,4.17308,122.52083,-0.52268,136.54308,246.73372,-0.5667,241.29345,-13.52317
ML,1429840.704,-798,9,10,4.89448,151.1348,-1.8008,161.09518,258.42874,-0.5667,254.77566,-10.01226
EF,1429887.266,-798,10,26,18.39575,226.78058,-2.45853,207.9087,67.40498,-0.5667,83.62501,-10.67205
EL,1429897.262,-798,11,5,18.28981,237.30327,-3.15442,218.11914,63.24005,-0.5667,79.69656,-11.07236
MF,1429922.743,-798,12,1,5.82134,229.9414,-3.86108,244.28076,295.28898,-0.5667,287.24934,-13.08693
ML,1429964.757,-797,1,12,6.16961,275.04136,-1.41979,287.33518,299.43738,-0.5667,290.85814,-9.5245
EF,1429991.257,-797,2,7,18.16161,324.43723,-0.07779,314.0849,74.30496,-0.5667,76.61114,-10.6624
EL,1430024.279,-797,3,12,18.69143,357.96314,-0.10482,346.75191,89.26825,-0.5667,90.83224,-11.67039
MF,1430043.702,-797,4,1,4.84977,345.24306,1.54576,5.61965,274.90929,-0.5667,258.89604,-13.45188
ML,1430074.694,-797,5,2,4.65558,21.98298,1.54139,35.30199,257.77589,-0.5667,247.74562,-9.5171
EF,1430100.326,-797,5,27,19.81211,70.06281,1.68873,59.6095,118.81064,-0.5667,121.96627,-10.67886
EL,1430145.335,-797,7,11,20.03218,113.92475,3.49818,102.29692,120.18228,-0.5667,126.17818,-11.14039
MF,1430162.663,-797,7,29,3.9044,104.54755,0.77164,118.88936,241.43629,-0.5667,235.14812,-13.50876
ML,1430187.691,-797,8,23,4.5889,132.95129,-1.23831,143.1422,250.79413,-0.5667,246.73556,-10.00479
EF,1430339.249,-796,1,21,17.98158,307.33909,-0.46399,296.7167,67.74863,-0.5667,71.51198,-10.51927
EL,1430371.267,-796,2,22,18.40061,339.8587,-1.06944,328.7848,79.81721,-0.5667,82.6202,-11.33759
MF,1430389.716,-796,3,12,5.1921,326.64848,0.30775,346.9385,284.37505,-0.5667,268.23316,-13.05539
ML,1430422.706,-796,4,14,4.93476,4.77035,1.19921,18.84984,266.11809,-0.5667,255.13329,-9.51992
EF,1430449.317,-796,5,10,19.61443,54.7595,1.48887,44.20991,114.82968,-0.5667,116.98593,-11.00205
EL,1430493.338,-796,6,23,20.10557,96.91437,3.94186,85.89904,123.2236,-0.5667,127.25364,-11.5519
MF,1430508.657,-796,7,9,3.76756,86.28973,2.18158,100.46217,238.78067,-0.5667,231.77939,-13.1126
ML,1430535.681,-796,8,5,4.34907,116.14763,-0.50528,126.38017,245.09666,-0.5667,240.60136,-9.784
EF,1430688.247,-795,1,4,17.92798,292.01149,-0.81194,280.19897,63.41116,-0.5667,69.10553,-10.96758
EL,1430718.257,-795,2,3,18.16559,321.94481,-1.89892,310.58448,71.28778,-0.5667,75.74955,-11.1957
MF,1430736.725,-795,2,22,5.40108,307.95278,-0.76279,328.99445,292.40389,-0.5667,275.85536,-13.79624
ML,1430770.717,-795,3,28,5.20569,347.4515,0.75239,2.25783,274.74415,-0.5667,262.98288,-9.66911
EF,1430798.307,-795,4,24,19.35722,39.26184,1.21445,28.74777,109.14159,-0.5667,110.50354,-11.06305
EL,1430840.336,-795,6,5,20.07518,80.10168,3.89092,68.61565,122.9151,-0.5667,125.70978,-12.36423
MF,1430855.656,-795,6,21,3.74918,68.26982,2.99941,83.12231,239.95443,-0.5667,231.42355,-13.13461
ML,1430883.673,-795,7,19,4.1585,99.21601,0.23254,109.79222,241.49936,-0.5667,236.23682,-9.75909
EF,1430927.304,-795,8,31,19.30261,172.78072,-2.19091,152.07976,91.40382,-0.5667,109.77013,-10.56013
EL,1430938.298,-795,9,11,19.14936,185.1344,-2.59893,162.93118,85.13653,-0.5667,105.02698,-11.00444
MF,1430970.716,-795,10,14,5.18244,181.80385,-3.17246,195.42,273.90239,-0.5667,268.97383,-13.66117
ML,1431005.748,-795,11,18,5.94697,220.87473,-2.08287,231.18964,290.00901,-0.5667,285.46569,-10.06788
EF,1431037.247,-795,12,19,17.92557,276.63591,-1.19002,263.56677,60.92928,-0.5667,68.87255,-11.05125
EL,1431064.253,-794,1,15,18.08026,304.34772,-2.42859,291.15246,64.56749,-0.5667,71.31813,-12.18824
MF,1431082.735,-794,2,3,5.64874,289.86593,-2.0374,309.81357,298.4599,-0.5667,283.10618,-13.63705
ML,1431118.727,-794,3,11,5.44981,330.05399,0.2763,345.48843,282.99875,-0.5667,270.74548,-10.04249
EF,1431147.295,-794,4,8,19.08391,23.6667,0.93252,13.1842,102.31123,-0.5667,103.19711,-11.05327
EL,1431187.326,-794,5,18,19.83152,62.52471,3.39015,51.33505,119.21602,-0.5667,120.56588,-12.17539
MF,1431202.662,-794,6,3,3.89417,50.31035,3.41502,65.85183,244.3424,-0.5667,234.3448,-13.00713
ML,1431231.669,-794,7,2,4.06761,82.21794,0.86888,93.34195,240.61042,-0.5667,234.29381,-9.78637
EF,1431265.322,-794,8,4,19.73198,141.98434,-0.11823,125.55696,107.16122,-0.5667,120.28363,-10.55385
EL,1431292.307,-794,8,31,19.3688,173.02387,-1.56244,151.83997,91.963,-0.5667,110.41357,-11.30714
MF,1431319.706,-794,9,28,4.94203,165.78364,-2.65785,179.039,265.84684,-0.5667,261.28762,-13.30433
ML,1431351.738,-794,10,30,5.71122,201.61226,-2.21337,211.46357,282.08576,-0.5667,278.305,-9.93457
EF,1431386.249,-794,12,3,17.97425,261.20224,-1.59992,246.87224,60.58968,-0.5667,70.8701,-10.73919
EL,1431411.248,-794,12,28,17.95533,286.42259,-2.99579,272.54062,59.80619,-0.5667,68.95694,-11.47326
MF,1431429.74,-793,1,16,5.75396,272.21337,-2.90273,291.39583,301.34215,-0.5667,287.46897,-14.27014
ML,1431467.737,-793,2,23,5.69522,314.50039,-0.27264,329.50826,289.65855,-0.5667,277.88658,-9.959
EF,1431496.284,-793,3,23,18.82376,8.06668,0.68991,357.48475,94.88945,-0.5667,95.63841,-11.14471
EL,1431534.311,-793,4,30,19.46239,44.37121,2.51531,33.99858,112.5409,-0.5667,112.95035,-11.22895
MF,1431550.671,-793,5,17,4.09557,32.27283,3.26516,49.53257,251.39584,-0.5667,239.16251,-13.27074
ML,1431579.671,-793,6,15,4.10257,65.19192,1.37062,76.98422,242.56436,-0.5667,235.08,-9.8121
EF,1431608.332,-793,7,13,19.96307,117.49895,1.11901,104.21528,116.50717,-0.5667,125.39399,-10.5495
EL,1431645.315,-793,8,19,19.55732,157.92999,0.07029,139.86065,100.6617,-0.5667,115.44173,-11.10022
MF,1431668.694,-793,9,12,4.65817,149.45174,-1.9959,162.83492,257.9374,-0.5667,253.33674,-13.30455
ML,1431697.726,-793,10,11,5.43502,182.39344,-2.2004,191.89651,273.14162,-0.5667,269.72609,-9.70773
EF,1431736.254,-793,11,18,18.10764,247.27369,-1.95587,231.20336,62.19424,-0.5667,74.89493,-10.69892
EL,1431757.249,-793,12,9,17.97961,268.35073,-3.21698,252.78886,58.26285,-0.5667,70.11161,-11.23325
MF,1431776.743,-793,12,29,5.84014,255.47404,-3.56026,272.79501,301.15526,-0.5667,289.59446,-14.03717
ML,1431816.746,-792,2,7,5.90955,299.08735,-0.77788,313.34022,294.94707,-0.5667,284.08726,-9.89676
