Mercury,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1428946.287,-800,3,29,18.87746,14.43725,0.77555,4.00123,97.6067,0,98.34967,-10.43836
EL,1428985.315,-800,5,7,19.5699,52.00569,2.92181,41.34802,115.25972,0,115.877,-11.02941
MF,1428997.68,-800,5,20,4.32138,40.89885,3.486,53.07203,248.03216,0,240.46939,-10.17659
ML,1429027.668,-800,6,19,4.02537,68.02503,1.05424,81.45873,242.73141,0,234.09261,-10.38007
EF,1429061.327,-800,7,22,19.85876,128.55435,0.60464,113.51634,112.40157,0,123.43117,-10.3036
EL,1429095.306,-800,8,25,19.35519,164.5514,-0.5017,146.42379,96.69615,0,111.88539,-10.02552
MF,1429115.708,-800,9,15,4.98207,156.01186,-1.73882,166.54604,260.80907,0,257.31211,-10.0924
ML,1429147.73,-800,10,17,5.51601,188.27584,-2.29106,198.7116,276.35964,0,272.68301,-10.03577
EF,1429186.25,-800,11,24,18.0097,253.64372,-1.77545,238.11193,60.87639,0,72.67722,-10.32309
EL,1429209.244,-800,12,17,17.86045,276.00648,-3.21303,261.75049,58.02672,0,68.51456,-10.22353
MF,1429225.755,-799,1,3,6.11672,263.68742,-3.65473,278.66197,302.4977,0,291.24369,-10.58698
ML,1429265.743,-799,2,12,5.82133,303.51162,-0.48104,319.05984,293.78289,0,281.9169,-10.13143
EF,1429295.276,-799,3,13,18.63422,358.86778,0.56158,348.20884,90.06518,0,90.8914,-10.64189
EL,1429331.304,-799,4,18,19.28875,34.30228,1.96241,23.00235,107.63685,0,108.14269,-11.45587
MF,1429345.69,-799,5,3,4.54808,22.53443,2.88168,36.7181,256.42157,0,246.42164,-10.50893
ML,1429375.673,-799,6,2,4.15335,50.9408,1.49592,65.13662,246.73324,0,236.84884,-10.34788
EF,1429405.332,-799,7,1,19.95823,105.34856,1.48259,93.24256,118.91873,0,125.91066,-10.01663
EL,1429446.316,-799,8,11,19.59507,148.10381,1.11057,132.55092,105.69774,0,117.56886,-10.18149
MF,1429464.694,-799,8,30,4.6476,139.14153,-0.9041,150.48403,252.99429,0,249.35061,-10.7861
ML,1429492.715,-799,9,27,5.15799,167.46696,-2.23387,178.27977,266.51074,0,262.78221,-10.39705
EF,1429536.257,-799,11,9,18.15706,239.59716,-2.14505,222.46309,63.40829,0,77.49558,-10.08209
