Mercury,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428998.674,-800,5,21,4.16977,40.45799,3.48312,53.97489,247.66437,0,238.56122,-10.61589
AR,1429027.664,-800,6,19,3.93669,67.95062,1.05209,81.41702,242.05093,0,232.95804,-10.02983
MF,1429062.331,-800,7,23,19.94382,130.19478,0.48405,114.44019,112.27124,0,124.4126,-10.12748
ML,1429093.312,-800,8,23,19.48747,164.53731,-0.72897,144.43274,96.61056,0,113.96428,-10.33661
MF,1429116.704,-800,9,16,4.90059,156.02595,-1.92767,167.4965,260.80735,0,256.55232,-10.83284
AR,1429146.728,-800,10,16,5.4696,186.61423,-2.33836,197.65444,275.76065,0,271.5785,-10.4877
MF,1429187.248,-800,11,25,17.95005,255.11547,-1.69286,239.09608,60.00276,0,72.41428,-10.34645
ML,1429208.243,-800,12,16,17.83503,275.94833,-3.08054,260.68117,57.34417,0,68.7586,-10.65698
MF,1429225.76,-799,1,3,6.22978,263.71521,-3.66026,278.6256,303.37107,0,291.69816,-10.02768
AR,1429264.744,-799,2,11,5.84898,301.60324,-0.39426,318.02297,294.82205,0,282.03504,-10.39496
MF,1429295.276,-799,3,13,18.6311,358.79563,0.55647,348.16933,90.02621,0,91.24838,-10.57108
ML,1429331.306,-799,4,18,19.3465,34.32433,1.96487,22.96609,108.07886,0,109.04811,-11.48445
MF,1429345.688,-799,5,3,4.51097,22.55227,2.87804,36.67828,256.09098,0,245.74929,-10.09053
AR,1429374.669,-799,6,1,4.05668,49.16641,1.46261,64.14844,246.79188,0,235.77134,-10.31589
MF,1429406.337,-799,7,2,20.09472,107.08722,1.41366,94.16035,119.31197,0,127.46987,-10.15958
ML,1429445.322,-799,8,10,19.71883,148.5001,0.96534,131.54728,105.74342,0,119.25773,-10.37664
MF,1429464.692,-799,8,30,4.59815,139.13839,-0.89411,150.44241,252.56803,0,248.52703,-10.60317
AR,1429492.714,-799,9,27,5.14524,167.40339,-2.23607,178.23884,266.40074,0,262.27992,-10.27369
