Mercury,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428998.672,-800,5,21,4.12098,40.45881,3.48315,53.97296,247.2593,-0.5667,238.09776,-11.13659
AR,1429025.659,-800,6,17,3.82396,64.6067,0.94941,79.51758,242.4899,-0.5667,231.96951,-11.24562
MF,1429191.256,-800,11,29,18.1417,260.98564,-1.2535,243.21769,60.30124,-0.5667,73.0923,-13.08064
ML,1429209.242,-800,12,17,17.81184,276.00672,-3.20768,261.707,57.62707,-0.5667,68.52707,-10.42254
MF,1429225.757,-799,1,3,6.17607,263.71696,-3.6606,278.62331,302.92827,-0.5667,291.30075,-10.65379
AR,1429264.742,-799,2,11,5.79915,301.59944,-0.39408,318.0209,294.41419,-0.5667,281.64904,-11.00655
MF,1429298.288,-799,3,16,18.9178,4.09248,0.92447,351.1081,93.36584,-0.5667,94.65725,-13.52042
ML,1429332.303,-799,4,19,19.28173,33.69286,1.89549,23.91956,108.12628,-0.5667,108.75474,-10.50073
MF,1429345.686,-799,5,3,4.46452,22.5531,2.87787,36.67644,255.70577,-0.5667,245.3228,-10.62084
AR,1429373.666,-799,5,31,3.98705,47.48594,1.42841,63.19947,247.01362,-0.5667,235.24135,-11.15781
MF,1429413.349,-799,7,9,20.37096,119.29474,0.71323,100.83532,116.24958,-0.5667,129.91583,-13.13315
ML,1429447.317,-799,8,12,19.61514,147.65718,1.24422,133.48277,106.80981,-0.5667,117.86344,-9.59252
MF,1429464.69,-799,8,30,4.55081,139.13825,-0.89364,150.44047,252.17545,-0.5667,248.09406,-11.15409
AR,1429491.71,-799,9,26,5.03986,165.85057,-2.29024,177.23302,265.35386,-0.5667,261.03238,-11.35181
MF,1429646.275,-798,2,27,18.60177,346.78853,0.64705,334.18354,84.73501,-0.5667,86.35644,-13.08535
ML,1429678.29,-798,3,31,18.97195,15.84801,0.85283,5.4215,98.91582,-0.5667,100.0245,-10.96949
MF,1429693.698,-798,4,16,4.74901,4.07458,2.06492,20.23423,265.39279,-0.5667,252.71735,-10.89485
