Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EF,1428949.294,-800,4,1,19.05111,14.49993,1.04646,3.71948,98.25811,-0.5667,98.81476,-11.3831
EL,1428987.311,-800,5,9,19.45944,51.77278,-1.00035,40.1178,110.9677,-0.5667,115.56403,-11.33657
ML,1429033.667,-800,6,25,4.00194,72.38473,0.43518,84.27285,242.37214,-0.5667,234.62694,-9.62911
EF,1429059.331,-800,7,20,19.95,122.64798,1.33707,108.91603,115.34438,-0.5667,124.7044,-10.75491
EL,1429098.312,-800,8,28,19.48222,170.52835,-3.41298,146.9563,91.13368,-0.5667,112.53512,-11.28641
MF,1429120.695,-800,9,20,4.68694,155.89559,0.41577,169.20587,258.08777,-0.5667,256.15988,-13.74589
ML,1429150.724,-800,10,20,5.37944,190.31464,0.96777,199.47864,273.462,-0.5667,273.16312,-9.77642
EF,1429193.245,-800,12,1,17.8875,257.84217,-2.04903,242.82921,60.4542,-0.5667,71.78604,-10.69898
EL,1429213.252,-800,12,21,18.04306,275.66114,1.77544,263.22944,64.52891,-0.5667,69.55947,-12.08791
MF,1429225.75,-799,1,3,6.00667,262.94127,3.62778,275.91475,293.17333,-0.5667,289.65547,-13.57105
ML,1429271.756,-799,2,18,6.13778,305.96199,-2.16117,321.97586,294.57636,-0.5667,281.09654,-9.57184
EF,1429298.286,-799,3,16,18.85583,358.26864,0.55717,347.9798,90.1231,-0.5667,90.91895,-10.84006
EL,1429332.302,-799,4,19,19.255,31.98625,0.84841,20.78289,105.76505,-0.5667,107.2475,-11.70494
ML,1429380.669,-799,6,7,4.05667,52.48613,-0.50658,66.87568,248.24171,-0.5667,237.05915,-9.7065
EF,1429405.332,-799,7,1,19.96833,102.49877,1.75608,90.41417,119.94108,-0.5667,126.59705,-10.82982
EL,1429448.323,-799,8,13,19.74028,154.67462,-3.6404,131.98954,98.01481,-0.5667,118.50863,-11.18994
MF,1429469.688,-799,9,4,4.50944,139.93764,-0.47225,153.02303,252.49586,-0.5667,248.82169,-13.14427
ML,1429496.715,-799,10,1,5.15833,171.17628,1.50248,180.01585,263.89296,-0.5667,264.16888,-9.52785
EF,1429542.249,-799,11,15,17.97056,242.85291,-2.23467,226.24145,62.9248,-0.5667,76.47726,-10.53278
EL,1429562.247,-799,12,5,17.91861,259.46513,0.94896,246.66711,63.89732,-0.5667,71.21315,-11.14339
MF,1429574.742,-799,12,18,5.81306,246.09125,3.47734,259.40537,291.07221,-0.5667,288.97975,-14.1628
ML,1429620.763,-798,2,2,6.30333,291.22836,-2.00746,305.85604,298.0941,-0.5667,286.4811,-9.75575
EF,1429648.281,-798,3,1,18.75444,344.06651,0.21345,333.08713,83.136,-0.5667,84.54904,-11.45813
EL,1429677.295,-798,3,30,19.08111,12.58714,2.44734,1.32146,98.88146,-0.5667,98.08664,-12.06477
ML,1429727.678,-798,5,20,4.2825,32.78607,-1.40158,49.52661,256.39795,-0.5667,242.17955,-9.6233
EF,1429753.328,-798,6,14,19.87722,85.42254,1.88733,73.94251,120.74246,-0.5667,125.56718,-11.16569
EL,1429797.333,-798,7,28,19.98,137.98477,-3.7165,116.18933,104.57785,-0.5667,123.84256,-11.63307
