Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1428949.292,-800,4,1,19.00653,14.49613,1.04614,3.71769,97.9087,0,98.44881,-10.81517
EL,1428987.309,-800,5,9,19.41264,51.77339,-0.99981,40.11594,110.60007,0,115.14703,-10.7913
MF,1429013.668,-800,6,5,4.03126,45.54341,-3.57685,65.20104,254.37775,0,237.08455,-10.13917
ML,1429031.665,-800,6,23,3.95876,68.54156,0.05783,82.36049,243.88995,0,234.37589,-10.06896
EF,1429059.329,-800,7,20,19.90134,122.64448,1.33724,108.91407,114.96477,0,124.25899,-10.23808
EL,1429099.308,-800,8,29,19.38255,170.83873,-3.47733,147.93936,90.57684,0,111.40668,-10.32921
MF,1429118.707,-800,9,18,4.95868,157.01502,-0.20525,167.21738,259.60891,0,257.6941,-10.02501
ML,1429148.721,-800,10,18,5.30776,187.14064,1.17729,197.44683,272.09981,0,271.88328,-10.37025
EF,1429193.243,-800,12,1,17.83665,257.83885,-2.04912,242.82705,60.06047,0,71.428,-10.07844
EL,1429214.246,-800,12,22,17.89986,275.07771,2.0812,264.24013,64.48881,0,68.47543,-10.29618
MF,1429224.757,-799,1,2,6.17914,263.7813,3.68068,274.90886,293.5328,0,290.91745,-11.42146
ML,1429269.755,-799,2,16,6.12065,302.57767,-2.1286,319.99841,295.90983,0,281.51484,-10.14071
EF,1429298.284,-799,3,16,18.81152,358.26488,0.55682,347.97801,89.77747,0,90.57204,-10.27141
EL,1429332.3,-799,4,19,19.20957,31.98678,0.84889,20.78108,105.40842,0,106.85685,-11.14485
MF,1429361.677,-799,5,19,4.25158,27.26725,-3.63651,48.8029,261.50022,0,242.05538,-10.11146
ML,1429377.668,-799,6,4,4.0417,47.05922,-1.11466,64.01809,251.0689,0,237.366,-10.14964
EF,1429405.33,-799,7,1,19.91735,102.49484,1.75616,90.41213,119.54444,0,126.12821,-10.30304
EL,1429449.318,-799,8,14,19.62931,154.77262,-3.73187,132.96314,97.52589,0,117.29774,-10.10285
MF,1429468.694,-799,9,3,4.66033,140.35347,-0.79568,152.03834,253.37664,0,249.81504,-11.16407
ML,1429494.711,-799,9,29,5.07561,167.868,1.66315,178.00021,262.52192,0,262.73354,-10.26423
EF,1429543.248,-799,11,16,17.94673,244.32388,-2.22122,227.26118,62.20774,0,76.02539,-10.34814
EL,1429562.245,-799,12,5,17.86952,259.46622,0.9483,246.66502,63.51468,0,70.87098,-10.54766
MF,1429572.755,-799,12,16,6.13065,247.88858,3.43083,257.38222,291.8503,0,291.09686,-10.06131
ML,1429618.761,-798,1,31,6.26466,287.89971,-1.92706,303.85747,298.98515,0,286.67318,-10.40957
EF,1429648.28,-798,3,1,18.70988,344.06283,0.21309,333.0853,82.78819,0,84.21208,-10.88797
EL,1429678.289,-798,3,31,18.94593,12.28702,2.27208,2.2816,98.20528,0,97.37733,-10.22448
MF,1429705.694,-798,4,28,4.65677,6.08582,-3.37398,28.57884,270.7478,0,250.28406,-10.11746
ML,1429723.679,-798,5,16,4.3074,26.01061,-2.09063,45.7205,260.34702,0,243.20203,-10.08903
EF,1429753.326,-798,6,14,19.82588,85.41841,1.88732,73.94047,120.34181,0,125.09339,-10.6273
EL,1429798.327,-798,7,29,19.85985,137.96075,-3.84585,117.15399,104.08598,0,122.57646,-10.43916
MF,1429817.686,-798,8,18,4.46059,124.07123,-1.65884,136.02459,248.92589,0,243.37276,-10.72935
ML,1429841.702,-798,9,11,4.84435,149.69548,1.87773,159.74373,254.16065,0,254.02571,-10.21955
EF,1429892.256,-798,10,31,18.13773,229.46348,-2.36389,210.70171,66.27796,0,82.24109,-10.26229
EL,1429910.247,-798,11,18,17.92618,243.88535,-0.24913,229.05268,64.64826,0,75.39778,-10.28413
MF,1429922.741,-798,12,1,5.79554,230.52473,3.09208,241.81507,287.80866,0,287.40413,-11.69391
ML,1429967.763,-797,1,15,6.32099,273.46529,-1.68751,287.5589,300.14005,0,290.30739,-10.28502
EF,1429997.271,-797,2,13,18.50448,327.90125,-0.33267,317.05619,75.11697,0,77.64653,-10.55455
EL,1430024.282,-797,3,12,18.76208,353.44878,3.27926,343.60676,90.42858,0,88.49139,-10.18822
MF,1430044.719,-797,4,2,5.25009,343.84367,-1.34507,3.42341,278.99386,0,262.11381,-10.15762
ML,1430070.694,-797,4,28,4.65394,6.8278,-2.55783,28.34476,269.52627,0,250.32112,-10.21364
EF,1430101.316,-797,5,28,19.58818,67.91179,1.8359,57.51279,118.10614,0,120.87738,-10.19187
EL,1430147.332,-797,7,13,19.96127,120.38167,-3.85694,101.46702,109.51172,0,125.71728,-10.60651
MF,1430166.677,-797,8,2,4.25713,107.42866,-2.41494,120.16252,246.13844,0,238.30962,-10.35694
ML,1430189.693,-797,8,25,4.62179,132.78194,1.85962,142.66921,247.62182,0,246.58542,-10.00593
EF,1430239.268,-797,10,13,18.44022,212.13652,-2.3331,192.19417,72.88748,0,90.35546,-10.04697
EL,1430257.256,-797,10,31,18.14137,228.29961,-1.56877,210.45357,67.5843,0,82.34511,-10.26285
MF,1430271.734,-797,11,15,5.61838,214.46135,2.54049,225.22148,282.66216,0,282.87123,-11.05058
ML,1430315.76,-797,12,29,6.24672,257.65322,-1.33963,270.11443,299.05454,0,291.72915,-10.19583
EF,1430346.262,-796,1,28,18.28584,311.88865,-0.84836,300.87121,68.4736,0,72.46897,-10.3104
EL,1430371.274,-796,2,22,18.5652,335.29566,3.67715,325.71493,82.64041,0,80.66176,-10.06533
MF,1430386.739,-796,3,9,5.72437,325.03107,1.117,340.89103,284.44298,0,272.51172,-10.58426
ML,1430420.709,-796,4,12,5.0124,352.51735,-2.52518,13.76505,276.22918,0,257.23115,-10.01662
EF,1430450.307,-796,5,11,19.37532,52.10511,1.67384,42.04474,113.78478,0,115.37266,-10.07416
EL,1430496.328,-796,6,26,19.87982,101.82658,-3.74034,85.88034,113.00809,0,125.91081,-10.15792
MF,1430515.67,-796,7,16,4.08804,90.39533,-3.01836,104.44151,245.50269,0,235.17483,-10.03257
ML,1430537.682,-796,8,7,4.36233,115.46778,1.64356,125.76715,242.84876,0,240.2222,-10.09564
EF,1430583.287,-796,9,21,18.88311,191.08522,-1.82734,170.81909,82.83313,0,100.60504,-10.06735
EL,1430604.269,-796,10,12,18.44803,212.20249,-2.50692,191.94522,72.66753,0,90.49754,-10.08873
MF,1430620.728,-796,10,29,5.46156,198.59131,1.82591,208.65161,276.67304,0,276.92249,-10.21996
ML,1430661.75,-796,12,9,6.00545,238.93623,-0.74788,250.51545,294.70519,0,289.84234,-10.54754
EF,1430695.253,-795,1,11,18.0692,296.07833,-1.30095,284.53588,63.39598,0,69.15916,-10.10092
EL,1430718.268,-795,2,3,18.43194,318.15751,3.53515,307.62465,75.63728,0,74.80931,-11.0734
MF,1430730.755,-795,2,16,6.11809,308.02764,2.87231,320.02124,288.50859,0,281.49215,-10.16185
ML,1430769.723,-795,3,27,5.36163,336.8794,-2.4875,358.12836,283.38367,0,264.55596,-10.33527
EF,1430800.302,-795,4,26,19.25225,38.17962,1.51805,27.50397,108.65023,0,109.66944,-10.73409
EL,1430843.325,-795,6,8,19.79135,82.94396,-3.00689,68.47485,114.28719,0,124.3083,-10.90868
MF,1430865.664,-795,7,1,3.93214,73.20422,-3.21631,89.80126,246.99638,0,233.69052,-10.51034
ML,1430885.672,-795,7,21,4.1252,97.82008,1.21039,109.03442,240.67476,0,235.81044,-10.18805
EF,1430922.309,-795,8,26,19.42564,162.8437,-0.40787,144.76914,97.5568,0,112.61697,-10.1201
