Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1428948.5,1428949.169,1428949.293,-800,4,1,19.02604,14.41524,1.03943,3.6796,98.05077,0,98.99472,-10.74435
EL,1428986.5,1428987.188,1428987.312,-800,5,9,19.47983,51.7851,-0.98935,40.0802,111.12471,0,116.10559,-10.65117
MF,1429015.5,1429015.539,1429015.663,-800,6,7,3.90244,46.82547,-3.26778,67.06124,253.19484,0,235.29765,-10.13799
ML,1429030.5,1429030.536,1429030.66,-800,6,22,3.83785,66.60647,-0.15182,81.36213,243.88068,0,233.02593,-10.05694
EF,1429059.5,1429060.21,1429060.334,-800,7,21,20.00544,124.29963,1.25596,109.84511,115.01021,0,125.40977,-10.17188
EL,1429097.5,1429098.187,1429098.31,-800,8,28,19.44273,170.51318,-3.41,146.91488,90.81922,0,112.55965,-10.00272
MF,1429119.5,1429119.577,1429119.7,-800,9,19,4.81018,156.38876,0.10134,168.17054,258.7362,0,256.38387,-11.54825
ML,1429148.5,1429148.598,1429148.721,-800,10,18,5.31152,187.07699,1.18141,197.4061,272.1143,0,271.51175,-10.37844
EF,1429193.5,1429194.117,1429194.241,-800,12,2,17.78144,259.33347,-2.00288,243.80463,59.17138,0,71.17566,-10.12233
EL,1429213.5,1429214.119,1429214.243,-800,12,22,17.82354,275.10693,2.06801,264.1959,63.82755,0,68.28753,-10.1781
MF,1429224.5,1429224.637,1429224.761,-799,1,2,6.25755,263.815,3.68207,274.8713,294.12256,0,291.08208,-11.24746
ML,1429268.5,1429268.634,1429268.757,-799,2,15,6.16939,300.85571,-2.09991,318.97113,297.02244,0,281.79024,-10.14146
EF,1429297.5,1429298.16,1429298.284,-799,3,16,18.80692,358.18226,0.54924,347.93861,89.72405,0,90.90116,-10.19117
EL,1429331.5,1429332.179,1429332.302,-799,4,19,19.25964,31.99747,0.85847,20.74449,105.79643,0,107.67878,-11.12917
MF,1429365.5,1429365.547,1429365.671,-799,5,23,4.09538,30.59945,-3.22411,52.56296,259.40962,0,239.55563,-10.11083
ML,1429375.5,1429375.542,1429375.665,-799,6,2,3.96758,43.64063,-1.52574,62.07256,252.30621,0,236.6791,-10.01402
EF,1429405.5,1429406.213,1429406.336,-799,7,2,20.06662,104.26896,1.71554,91.33769,120.03297,0,127.8014,-10.50911
EL,1429446.5,1429447.201,1429447.324,-799,8,12,19.78437,154.46704,-3.53211,130.97432,98.06173,0,119.49018,-10.47237
MF,1429468.5,1429468.569,1429468.692,-799,9,3,4.61475,140.37489,-0.80963,151.99651,252.99733,0,249.00985,-10.95458
ML,1429494.5,1429494.587,1429494.71,-799,9,29,5.05074,167.79967,1.66626,177.95862,262.30864,0,262.13102,-10.29175
EF,1429543.5,1429544.122,1429544.245,-799,11,17,17.88144,245.71397,-2.19846,228.23811,61.19868,0,75.64866,-10.17324
EL,1429561.5,1429562.118,1429562.241,-799,12,5,17.78887,259.48938,0.93408,246.62043,62.81977,0,70.66222,-10.27742
MF,1429573.5,1429573.629,1429573.753,-799,12,17,6.06174,246.95443,3.47066,258.35664,292.15794,0,290.24814,-11.76012
