Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1428948.5,1428949.171,1428949.295,-800,4,1,19.07192,14.41916,1.03975,3.68144,98.43,-0.5667,99.39154,-11.3117
EL,1428986.5,1428987.19,1428987.314,-800,5,9,19.52817,51.78448,-0.98991,40.08212,111.52506,-0.5667,116.55647,-11.19385
ML,1429032.5,1429032.538,1429032.661,-800,6,24,3.86478,70.35567,0.2423,83.27345,242.2323,-0.5667,233.13056,-9.78311
EF,1429059.5,1429060.212,1429060.336,-800,7,21,20.05548,124.30319,1.25578,109.84713,115.42223,-0.5667,125.88915,-10.68155
EL,1429095.5,1429096.193,1429096.316,-800,8,26,19.59058,169.61229,-3.24606,144.94851,91.80005,-0.5667,114.41434,-11.23255
MF,1429120.5,1429120.571,1429120.694,-800,9,20,4.65556,155.91154,0.40355,169.16422,257.80191,-0.5667,255.37042,-13.60502
ML,1429150.5,1429150.601,1429150.724,-800,10,20,5.3873,190.25128,0.97202,199.43805,273.48769,-0.5667,272.84621,-9.78225
EF,1429193.5,1429194.12,1429194.243,-800,12,2,17.83408,259.33687,-2.00276,243.80687,59.60261,-0.5667,71.57028,-10.74754
EL,1429212.5,1429213.125,1429213.249,-800,12,21,17.96659,275.68257,1.76189,263.1852,63.89172,-0.5667,69.44287,-11.91976
MF,1429225.5,1429225.63,1429225.753,-799,1,3,6.08347,262.97044,3.63029,275.87714,293.72845,-0.5667,289.7188,-13.36382
ML,1429270.5,1429270.634,1429270.758,-799,2,17,6.18288,304.19446,-2.14804,320.94982,295.69927,-0.5667,281.36707,-9.61502
EF,1429297.5,1429298.162,1429298.286,-799,3,16,18.85233,358.18612,0.5496,347.94045,90.09903,-0.5667,91.27812,-10.75982
EL,1429331.5,1429332.181,1429332.304,-799,4,19,19.3065,31.99693,0.85798,20.74636,106.18417,-0.5667,108.1021,-11.68773
ML,1429379.5,1429379.542,1429379.665,-799,6,6,3.96643,50.54614,-0.71728,65.88128,248.55641,-0.5667,236.07672,-9.59329
EF,1429404.5,1429405.213,1429405.336,-799,7,1,20.06382,102.43154,1.75746,90.37935,120.75662,-0.5667,127.81861,-10.51759
EL,1429445.5,1429446.205,1429446.329,-799,8,11,19.88954,154.17316,-3.41777,130.00153,98.69573,-0.5667,120.6929,-11.43951
MF,1429470.5,1429470.559,1429470.682,-799,9,5,4.36773,139.70302,-0.1734,153.96867,251.61101,-0.5667,247.35756,-14.19878
ML,1429496.5,1429496.591,1429496.714,-799,10,1,5.13757,171.10832,1.50597,179.97439,263.69071,-0.5667,263.62861,-9.55854
EF,1429543.5,1429544.124,1429544.247,-799,11,17,17.933,245.71707,-2.1984,228.2403,61.62102,-0.5667,76.04377,-10.79996
EL,1429560.5,1429561.123,1429561.246,-799,12,4,17.91517,259.91519,0.61402,245.6049,62.79968,-0.5667,71.80622,-11.75762
MF,1429574.5,1429574.622,1429574.745,-799,12,18,5.88289,246.11989,3.47771,259.36728,291.57638,-0.5667,288.96384,-14.00873
ML,1429619.5,1429619.641,1429619.765,-798,2,1,6.3488,289.49214,-1.96903,304.81951,299.07912,-0.5667,286.70693,-9.9084
EF,1429647.5,1429648.157,1429648.28,-798,3,1,18.73041,343.98444,0.2055,333.04656,82.94754,-0.5667,84.77168,-11.35546
EL,1429676.5,1429677.173,1429677.296,-798,3,30,19.11117,12.59747,2.45383,1.28373,99.12608,-0.5667,98.77077,-12.13473
ML,1429725.5,1429725.553,1429725.676,-798,5,18,4.23199,29.22766,-1.76441,47.58267,257.96988,-0.5667,241.80535,-9.57921
EF,1429752.5,1429753.209,1429753.332,-798,6,14,19.97516,85.35257,1.88717,73.90796,121.57063,-0.5667,126.82444,-10.92256
EL,1429795.5,1429796.214,1429796.337,-798,7,27,20.0976,137.90703,-3.57021,115.18594,105.14879,-0.5667,125.48253,-11.55843
MF,1429819.5,1429819.55,1429819.673,-798,8,20,4.16011,123.58991,-1.03137,137.93549,247.11223,-0.5667,240.66454,-13.45331
ML,1429842.5,1429842.577,1429842.701,-798,9,12,4.82111,151.3546,1.841,160.6977,254.15519,-0.5667,253.79782,-10.08124
EF,1429892.5,1429893.132,1429893.255,-798,11,1,18.12038,230.77335,-2.37367,211.67793,65.63464,-0.5667,82.19724,-10.51755
EL,1429908.5,1429909.125,1429909.248,-798,11,17,17.96087,244.14321,-0.54751,227.99135,63.99665,-0.5667,76.32509,-11.11192
