Modern Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-800,3,20,18.80104,-800,7,21,19.53038,-800,9,26,11.68597,-800,12,3,9.92535,1428937.20027,1429060.23066,1429126.90381,1429194.83045,350.27782,355.27084,352.10261,350.27782,0.62584,359.392,109.86494,111.54228,357.25843,1.62536,175.50967,177.25843,353.70065,3.90071,244.53266,244.21007
-799,4,4,5.59321,-799,8,5,14.97282,-799,10,11,1.56979,-799,12,17,12.7119,1429316.64995,1429440.04077,1429506.48231,1429573.94656,4.28102,7.9813,5.83095,4.28102,14.78718,12.11454,123.98915,125.90073,11.38859,14.34014,189.9527,191.38859,7.83436,16.59999,258.67986,257.88449
-798,4,18,22.06675,-798,8,20,11.95163,-798,10,25,20.06387,-798,12,31,21.72257,1429696.33635,1429819.91488,1429886.25289,1429953.32201,18.51754,20.6997,19.70605,18.51753,29.13903,24.83922,138.29393,140.32227,25.70809,27.06135,204.67979,205.70809,22.16648,29.30797,273.04369,271.81452
-797,5,3,17.95434,-797,9,4,7.55312,-797,11,9,16.68954,-796,1,15,11.53464,1430076.165,1430199.73161,1430266.1123,1430332.89751,32.89426,33.42285,33.64381,32.89426,43.5772,37.56198,152.66414,154.68725,40.11513,39.78554,219.56777,220.11513,36.59475,42.02265,287.53731,285.94173
-796,5,17,14.65112,-796,9,17,22.91571,-796,11,23,12.7755,-795,1,29,4.39265,1430456.02736,1430579.37172,1430645.94921,1430712.59993,47.30423,46.14714,47.56703,47.30422,57.98913,50.27882,166.9861,168.87814,54.5,52.50897,234.46534,234.50001,51.00739,54.74158,302.04952,300.19404
-795,6,1,9.46882,-795,10,2,7.55617,-795,12,8,5.68492,-794,2,12,21.62582,1430835.81143,1430958.73174,1431025.65377,1431092.31797,61.63702,58.8688,61.40458,61.63702,72.26463,62.98628,181.14959,182.79297,68.75443,65.22797,249.23058,248.75443,65.29443,67.46103,316.4599,314.46176
-794,6,15,23.91671,-794,10,16,8.23734,-794,12,22,17.15424,-793,2,27,12.40878,1431215.41343,1431337.76012,1431405.13166,1431471.93393,75.79034,71.58437,75.07975,75.79034,86.30978,75.68263,195.07134,196.38092,82.78543,77.93938,263.73736,262.78543,79.36066,80.17706,330.65213,328.62885
-793,6,30,7.99743,-793,10,30,0.59874,-792,1,5,21.47891,-792,3,12,22.54174,1431594.75012,1431716.44185,1431784.31185,1431851.35614,89.68218,84.29105,88.53936,89.68218,100.05324,88.36737,208.71525,209.62718,96.52301,90.64081,277.88106,276.52301,93.13336,92.8866,344.52634,342.60497
-792,7,13,8.28486,-792,11,11,8.59939,-791,1,18,17.54691,-791,3,27,2.06822,1431973.7621,1432094.77521,1432163.14802,1432230.50307,103.25396,96.98685,101.74726,103.25396,113.44926,101.04044,222.05678,222.53009,109.9215,103.33073,291.59634,289.9215,106.56518,105.58693,358.02311,356.30977
-791,7,27,0.00089,-791,11,24,8.12644,-790,2,1,4.86818,-790,4,9,22.1668,1432352.41694,1432472.7555,1432541.61974,1432609.34051,116.47372,109.67069,114.69227,116.47372,126.4782,113.70168,235.05832,235.08499,122.96078,116.00843,304.85082,302.96078,119.63395,118.27688,11.13675,9.70952
-790,8,9,6.92404,-790,12,6,22.80187,-789,2,14,7.46899,-789,4,23,11.0497,1432730.7054,1432850.36698,1432919.72811,1432987.8773,129.33238,122.34225,127.37559,129.33238,139.14179,126.35057,247.68762,247.27637,135.64192,128.67396,317.64337,315.64192,132.34031,130.95676,23.88218,22.81293
-789,8,22,5.30319,-789,12,19,5.51939,-788,2,27,1.81153,-788,5,5,16.74947,1433108.63786,1433227.64687,1433297.49238,1433366.11479,141.84014,135.00189,139.79969,141.84014,151.46153,138.98835,259.9679,259.14093,147.9839,141.32797,330.00302,327.9839,144.70342,143.62662,36.28536,35.62134
-788,9,2,19.78857,-788,12,30,6.87817,-787,3,10,12.69147,-787,5,18,14.86394,1433486.24142,1433604.70349,1433674.94571,1433744.03623,154.02371,147.65052,151.99253,154.02371,163.4715,151.61865,271.97603,270.78542,160.01941,153.97156,341.96421,340.01941,156.75526,156.28589,48.35864,48.11823
-787,9,15,3.2961,-786,1,11,4.37624,-786,3,22,17.09088,-786,5,31,5.06413,1433863.55424,1433981.59924,1434052.12902,1434121.6279,165.92072,160.2894,163.9908,165.92072,175.21345,164.24357,283.7677,282.27135,171.78877,166.60611,353.58351,351.78877,168.53576,168.93412,60.11008,60.29009
-786,9,27,4.88322,-785,1,22,21.91904,-785,4,3,16.14439,-785,6,12,12.52719,1434240.62037,1434358.33019,1434429.08958,1434498.93886,177.57458,172.92002,175.82237,177.57458,186.73495,176.86296,295.3389,293.59484,183.33858,179.2332,4.91751,3.33858,180.09075,181.57294,71.60354,72.18527
-785,10,9,1.73586,-784,2,3,12.35796,-784,4,14,11.09699,-784,6,23,15.68468,1434617.48923,1434734.93181,1434805.87927,1434876.07043,189.03401,185.54404,187.5309,189.03401,198.08831,189.47802,306.70788,304.79087,194.71997,191.85456,16.01671,14.71997,191.47071,194.20576,82.9442,83.90363
-784,10,19,19.10706,-783,2,14,2.31753,-783,4,26,3.18347,-783,7,5,15.47052,1434994.21303,1435111.51346,1435182.54954,1435253.0615,200.35045,198.16319,199.1587,200.35045,209.32661,202.09242,317.97952,315.9672,205.98366,204.47192,26.95675,25.98366,202.72751,206.83387,94.18651,95.48352
-783,10,31,10.24704,-782,2,25,17.83342,-782,5,7,17.68618,-782,7,17,11.33985,1435370.84386,1435488.15996,1435559.15382,1435629.88939,211.57527,210.77923,210.73145,211.57527,220.50309,214.70898,329.23805,327.20746,217.1823,217.08707,37.80752,37.1823,213.91426,219.45651,105.32683,106.90256
-782,11,12,0.48923,-781,3,9,11.01859,-781,5,19,7.9837,-781,7,29,4.41965,1435747.43728,1435864.87601,1435935.74955,1436006.60105,222.76321,223.39402,222.3003,222.76321,231.67339,227.32788,340.4872,338.51626,228.37252,229.70194,48.61727,48.37252,225.08609,232.07526,116.40998,118.20704
-781,11,23,15.19853,-780,3,20,6.30745,-780,5,29,23.43478,-780,8,8,21.4475,1436124.05017,1436241.67971,1436312.39335,1436383.31054,233.97034,236.00946,233.91496,233.97034,242.89478,239.94971,351.74865,349.91147,239.61011,242.31841,59.45944,59.61011,236.29946,244.69393,127.55754,129.50938
-780,12,4,7.74296,-779,4,1,6.43276,-779,6,10,17.4448,-779,8,20,15.84656,1436500.73952,1436618.68493,1436689.14376,1436760.07717,245.25283,248.62746,245.60257,245.25283,254.2264,252.57829,3.12948,1.5053,250.95279,254.93846,70.41702,70.95279,247.61442,257.31452,138.83854,140.86805
-779,12,16,3.595,-778,4,13,13.58735,-778,6,22,15.48978,-778,9,1,11.77292,1436877.56669,1436995.98304,1437066.06231,1437136.90744,256.67116,261.25008,257.41288,256.67116,265.72829,265.21668,14.7273,13.38781,262.46118,267.56414,81.5539,82.46118,259.09177,269.93724,150.2549,152.28943
-778,12,28,4.1719,-777,4,26,3.78025,-777,7,4,18.9093,-777,9,13,10.06601,1437254.59073,1437373.57441,1437443.20479,1437513.83632,268.28354,273.87929,269.39664,268.28354,277.4555,277.8649,26.55367,25.55937,274.1903,280.19732,92.93419,94.1903,270.78639,282.56327,161.85025,163.80801
-776,1,9,10.71513,-776,5,8,0.93063,-776,7,16,4.87347,-776,9,24,13.16588,1437631.86336,1437751.45567,1437820.61996,1437890.96548,280.14094,286.51683,281.58352,280.14094,289.45692,290.52283,38.60891,38.01667,286.1882,292.83963,104.62578,106.1882,282.74779,295.196,173.73288,175.524
-775,1,21,0.34353,-775,5,21,5.99456,-775,7,28,22.42033,-775,10,6,23.05009,1438009.43121,1438129.66667,1438198.35108,1438268.37732,292.28933,299.16426,294.00358,292.28933,301.77522,303.1918,50.95413,50.79897,298.49751,305.49253,116.69081,118.49751,295.02153,307.83821,185.96953,187.51862
-774,2,2,21.9938,-774,6,3,20.06765,-774,8,11,0.36106,-774,10,19,15.65659,1438387.33331,1438508.25305,1438576.43194,1438646.06926,304.76716,311.82289,306.67428,304.76716,314.44413,315.87335,63.65501,63.95126,311.15154,318.15714,129.18231,131.15154,307.64354,320.48979,198.55998,199.78931
