Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-799,4,2,23.88938,-799,8,2,13.00289,-799,10,9,17.10928,-799,12,16,23.00444,1429315.49539,1429437.04179,1429505.21289,1429573.45852,5.80779,9.63419,7.82579,5.80779,16.45308,13.70461,123.58166,125.60821,12.80005,15.98756,190.85228,192.80005,9.1366,18.273,260.69046,260.06535
-798,4,17,11.48575,-798,8,17,4.7459,-798,10,24,6.78014,-798,12,31,9.83741,1429694.97857,1429816.69775,1429884.78251,1429952.90989,19.8398,22.34253,21.49878,19.8398,30.58193,26.41873,137.53908,139.81051,26.91725,28.69879,205.37829,206.91725,23.24663,30.98028,275.25033,274.06601
-797,5,2,2.73317,-797,8,31,21.62308,-797,11,7,23.07063,-796,1,15,0.67535,1430074.61388,1430196.40096,1430264.46128,1430332.52814,34.02175,35.05596,35.22579,34.02175,44.81321,39.13444,151.67673,154.0594,41.14204,41.41368,220.11825,221.14204,37.46996,43.69314,289.90142,288.23115
-796,5,15,19.50927,-796,9,14,13.38678,-796,11,21,15.7636,-795,1,28,17.41654,1430454.31289,1430576.05778,1430644.15682,1430712.22569,48.26649,47.77153,48.9471,48.26649,59.05518,51.84859,165.91381,168.26255,55.38336,54.12913,234.94562,235.38336,51.71575,56.40865,304.52144,302.47445
-795,5,30,11.55228,-795,9,29,1.86294,-795,12,6,6.60493,-794,2,12,9.81405,1430833.98135,1430955.57762,1431023.77521,1431091.90892,62.48112,60.48607,62.60227,62.48112,73.21524,64.55815,180.16039,182.3307,69.54864,66.84199,249.72402,249.54864,65.89096,69.12369,318.99304,316.70363
-794,6,14,0.66772,-794,10,13,9.13255,-794,12,20,17.50875,-793,2,26,23.68179,1431213.52782,1431334.88052,1431403.22953,1431471.48674,76.57551,73.19653,76.13536,76.57551,87.20835,77.26045,194.32451,196.18502,83.55221,79.54936,264.32202,263.55221,79.90889,81.8352,333.21502,330.82892
-793,6,28,8.92188,-793,10,27,9.69268,-792,1,3,22.72991,-792,3,12,9.08608,1431592.87175,1431713.90386,1431782.44708,1431850.87859,90.47027,85.9002,89.49964,90.47027,100.96403,89.95339,208.32058,209.76379,97.3224,92.24881,278.62679,277.3224,93.69641,94.54048,347.11013,344.77091
-792,7,11,10.78624,-792,11,9,2.53136,-791,1,16,20.97585,-791,3,26,12.47123,1431971.94943,1432092.60547,1432161.37399,1432230.01963,104.1026,98.59496,102.66075,104.1026,114.43065,102.63556,222.07595,223.02546,110.80614,104.93851,292.55359,290.80614,107.19888,107.23736,0.62781,358.4657
-791,7,25,5.21494,-791,11,22,11.14536,-790,1,30,11.45032,-790,4,9,8.73978,1432350.71729,1432470.96439,1432539.9771,1432608.86416,117.42957,111.27935,115.59813,117.42957,127.57703,115.30624,235.53581,235.94936,123.97071,117.61738,306.04978,303.97071,120.38212,119.92431,13.74382,11.86823
