Saturn,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428963.692,-800,4,16,4.61635,355.56166,-2.08493,20.73988,273.98464,-0.5667,251.81104,-13.02914
AR,1429117.286,-800,9,16,18.86,359.58921,-3.0519,168.11502,273.11449,-0.5667,100.86274,-8.44549
CS,1429135.727,-800,10,5,5.45599,358.04319,-3.04628,186.57669,86.1602,-0.5667,268.07811,-8.2864
EF,1429301.279,-799,3,19,18.68457,3.92017,-2.01352,354.05905,90.0419,-0.5667,93.32883,-10.08354
MF,1429343.681,-799,5,1,4.34657,9.50035,-2.03196,34.80767,267.35855,-0.5667,245.16122,-13.25106
AR,1429496.277,-799,9,30,18.63688,13.55404,-2.89873,181.85212,266.4105,-0.5667,94.33231,-8.53837
CS,1429514.737,-799,10,19,5.68004,11.99697,-2.8858,200.49831,92.88503,-0.5667,274.55642,-8.25168
EF,1429680.29,-798,4,2,18.95172,17.87454,-1.85398,7.38955,96.689,-0.5667,100.1283,-10.64881
MF,1429722.672,-798,5,15,4.11942,23.49851,-1.85466,47.85901,260.80142,-0.5667,239.7577,-13.30398
AR,1429876.265,-798,10,15,18.35749,27.6394,-2.57066,196.72585,259.79293,-0.5667,87.01743,-8.02166
CS,1429893.746,-798,11,2,5.89725,26.15771,-2.5509,214.52246,99.59495,-0.5667,280.62017,-8.11578
EF,1430060.3,-797,4,17,19.19043,32.09734,-1.57896,21.56994,103.16359,-0.5667,106.84904,-10.56027
MF,1430100.665,-797,5,28,3.95521,37.48558,-1.56244,59.93061,254.66032,-0.5667,235.82678,-13.13457
AR,1430255.257,-797,10,29,18.15816,41.92296,-2.08316,210.70683,253.56681,-0.5667,80.95397,-8.14307
CS,1430273.751,-797,11,17,6.02421,40.354,-2.05575,229.64567,105.88259,-0.5667,285.6305,-8.94441
EF,1430440.31,-796,5,1,19.43291,46.382,-1.2061,35.65308,109.01382,-0.5667,113.15579,-10.54652
MF,1430478.659,-796,6,9,3.81939,51.51187,-1.17582,71.99349,249.25805,-0.5667,232.89428,-13.13614
AR,1430634.249,-796,11,11,17.98278,56.22226,-1.4681,224.77276,248.18724,-0.5667,75.62043,-8.28352
CS,1430652.758,-796,11,30,6.19816,54.65353,-1.43659,243.78952,111.3968,-0.5667,289.75979,-8.53558
EF,1430820.319,-795,5,16,19.65524,60.64767,-0.7601,49.66681,113.82832,-0.5667,118.6129,-10.49287
MF,1430856.656,-795,6,22,3.73583,65.4992,-0.72076,84.06987,244.98449,-0.5667,231.25965,-13.23649
AR,1431013.243,-795,11,25,17.84203,70.43652,-0.76746,238.893,244.07022,-0.5667,71.36696,-8.43068
CS,1431032.761,-795,12,15,6.25535,68.78926,-0.73063,258.96026,115.67236,-0.5667,291.99062,-8.94782
EF,1431200.326,-794,5,31,19.82633,74.81508,-0.27175,63.64132,117.21603,-0.5667,122.74114,-10.30054
MF,1431234.655,-794,7,5,3.72535,79.37292,-0.22828,96.18156,242.18875,-0.5667,231.16671,-13.34964
AR,1431392.239,-794,12,9,17.74607,84.473,-0.0291,253.03246,241.56282,-0.5667,68.50847,-8.54269
CS,1431411.764,-794,12,29,6.34285,82.83433,0.00895,273.06891,118.38605,-0.5667,292.98002,-8.1342
EF,1431579.332,-793,6,14,19.97263,88.6826,0.22786,76.66345,118.88553,-0.5667,125.55657,-10.59393
MF,1431612.658,-793,7,18,3.79689,93.06771,0.27287,108.34907,241.09576,-0.5667,232.7127,-13.39871
AR,1431771.238,-793,12,23,17.70078,98.25464,0.68907,267.15442,240.86525,-0.5667,67.26039,-8.54764
CS,1431791.762,-792,1,13,6.29125,96.54546,0.72759,288.12006,119.30097,-0.5667,291.57416,-8.10297
EF,1431958.334,-792,6,27,20.01814,102.32659,0.70947,89.70443,118.7665,-0.5667,126.49016,-10.61068
MF,1431990.664,-792,7,30,3.94217,106.53195,0.7516,120.59074,241.74633,-0.5667,235.78974,-13.3493
AR,1432150.238,-791,1,5,17.70321,111.72499,1.35443,281.2234,241.93316,-0.5667,67.67004,-8.34419
CS,1432172.754,-791,1,28,6.10597,109.8684,1.39129,304.06011,118.465,-0.5667,287.6395,-8.75909
EF,1432337.332,-791,7,11,19.95806,115.70693,1.14204,102.79,116.95938,-0.5667,125.46015,-10.40071
MF,1432368.672,-791,8,12,4.13807,119.73008,1.179,132.92206,243.98521,-0.5667,240.10699,-13.24084
AR,1432528.243,-790,1,18,17.82195,124.92949,1.93056,294.19821,244.56106,-0.5667,70.01109,-8.88663
CS,1432552.748,-790,2,12,5.94441,122.93067,1.9629,318.84551,116.06232,-0.5667,282.87785,-8.62261
EF,1432716.325,-790,7,25,19.8066,128.80082,1.50466,115.94502,113.73632,-0.5667,122.61662,-10.02681
MF,1432746.682,-790,8,25,4.35602,132.64314,1.53556,145.35529,247.51636,-0.5667,245.28941,-13.17821
AR,1432907.245,-789,2,1,17.88619,137.69556,2.39811,308.08261,248.35902,-0.5667,73.16068,-8.10474
CS,1432931.742,-789,2,26,5.80026,135.7151,2.4198,332.4924,112.40035,-0.5667,277.7575,-8.03996
EF,1433094.319,-789,8,7,19.64712,141.47827,1.78383,128.22708,109.49337,-0.5667,118.98231,-10.03551
MF,1433124.69,-789,9,7,4.57133,145.26788,1.80838,157.8989,251.99713,-0.5667,250.97831,-13.28445
AR,1433285.252,-788,2,14,18.03634,150.18805,2.73694,320.84969,253.02701,-0.5667,77.5404,-8.05794
