Saturn,Babylon,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428962.697,-800,4,15,4.72922,355.43186,-2.08197,19.74823,274.49061,0,252.69286,-11.24221
AR,1429122.275,-800,9,21,18.59498,359.17569,-3.05671,173.04601,273.74556,0,97.27148,-5.873
CS,1429132.734,-800,10,2,5.60524,358.29468,-3.05162,183.52341,85.83325,0,267.97707,-5.66084
EF,1429299.281,-799,3,17,18.73979,3.65285,-2.01729,352.07526,89.55815,0,93.48672,-11.08215
MF,1429341.687,-799,4,29,4.49674,9.24289,-2.02692,32.8715,267.76573,0,246.65806,-11.05642
AR,1429501.265,-799,10,5,18.34971,13.13863,-2.90127,186.82878,266.87667,0,90.56821,-5.8837
CS,1429511.744,-799,10,16,5.8535,12.25029,-2.89211,197.42056,92.71389,0,274.65611,-5.59581
EF,1429678.293,-798,3,31,19.02481,17.60542,-1.85821,5.42363,96.36366,0,100.48459,-11.62103
MF,1429720.677,-798,5,13,4.25458,23.23845,-1.85084,45.92973,261.05196,0,241.06611,-11.12557
AR,1429880.255,-798,10,19,18.10895,27.30646,-2.57044,200.73279,260.05227,0,83.98763,-5.86159
CS,1429891.751,-798,10,31,6.0262,26.32839,-2.55569,212.44328,99.53597,0,280.73343,-6.51697
EF,1430058.303,-797,4,15,19.28301,31.82683,-1.58325,19.62027,102.99891,0,107.43289,-11.4923
MF,1430099.667,-797,5,27,4.01728,37.35179,-1.56128,58.94847,254.70713,0,236.2034,-11.44317
AR,1430259.245,-797,11,2,17.88016,41.5904,-2.081,214.73947,253.65843,0,77.85433,-5.80516
CS,1430270.761,-797,11,14,6.25304,40.60876,-2.06323,226.53475,105.98945,0,286.33459,-6.26422
EF,1430438.314,-796,4,29,19.54581,46.11116,-1.21022,33.71602,109.00574,0,114.01263,-11.41688
MF,1430477.661,-796,6,8,3.86674,51.37713,-1.17551,71.01078,249.16662,0,233.0867,-11.47735
AR,1430638.236,-796,11,15,17.67433,55.89102,-1.46398,228.8227,248.11797,0,72.52571,-5.72101
CS,1430649.769,-796,11,27,6.45303,54.90869,-1.44384,240.67375,111.61536,0,290.87614,-5.89653
EF,1430818.324,-795,5,14,19.7878,60.37754,-0.7638,47.73816,113.9645,0,119.76385,-11.27523
MF,1430854.66,-795,6,20,3.83124,65.23399,-0.72171,82.13944,244.80358,0,231.9054,-11.04581
AR,1431017.229,-795,11,29,17.50609,70.10735,-0.76147,242.95048,243.85809,0,68.37227,-5.61114
CS,1431029.772,-795,12,12,6.5305,69.04308,-0.73749,255.84803,115.97118,0,293.49791,-6.38411
EF,1431197.335,-794,5,28,20.03105,74.41527,-0.27636,60.77241,117.45067,0,124.56149,-11.67654
MF,1431232.659,-794,7,3,3.81065,79.10828,-0.23049,94.24418,241.90468,0,231.58081,-11.13159
AR,1431395.228,-794,12,12,17.47057,84.22946,-0.02337,256.063,241.23831,0,66.4277,-6.31434
CS,1431408.776,-794,12,26,6.62772,83.08719,0.00311,269.96783,118.7251,0,294.87976,-5.71013
EF,1431577.339,-793,6,12,20.13293,88.41691,0.22551,74.73798,119.22149,0,127.24277,-11.11903
MF,1431610.661,-793,7,16,3.87555,92.80469,0.2697,106.40174,240.74912,0,232.91685,-11.15276
AR,1431774.226,-793,12,26,17.41937,98.01306,0.69563,270.17578,240.48868,0,65.4135,-6.14354
CS,1431788.774,-792,1,10,6.57328,96.79572,0.723,285.03816,119.63288,0,293.75138,-5.8296
EF,1431955.343,-792,6,24,20.2423,101.93585,0.70734,86.82753,119.14877,0,128.92761,-11.59464
MF,1431988.667,-792,7,28,4.01882,106.27141,0.74784,118.63078,241.38474,0,235.8234,-11.07984
AR,1432153.226,-791,1,8,17.42787,111.48521,1.3615,284.22901,241.55515,0,66.12337,-5.80508
CS,1432168.769,-791,1,24,6.44859,110.19584,1.38766,299.99849,118.72992,0,290.73202,-5.85279
EF,1432334.341,-791,7,8,20.17891,115.3213,1.14131,99.90006,117.34044,0,128.05956,-11.20978
MF,1432367.673,-791,8,11,4.16293,119.5989,1.17689,131.91418,243.68582,0,239.70986,-11.7236
AR,1432531.232,-790,1,21,17.5622,124.69244,1.93797,297.18441,244.22743,0,68.82775,-6.24705
CS,1432548.761,-790,2,8,6.26186,123.25288,1.96221,314.82255,116.2347,0,286.08392,-5.9147
EF,1432712.337,-790,7,21,20.07715,128.29557,1.50557,112.08056,114.113,0,125.99439,-11.21505
MF,1432745.683,-790,8,24,4.39013,132.51377,1.53338,144.33915,247.29556,0,244.90107,-11.68347
AR,1432909.238,-789,2,3,17.72244,137.53967,2.40287,310.04383,248.13688,0,72.636,-6.46314
CS,1432927.754,-789,2,22,6.09146,136.03329,2.42194,328.50757,112.45866,0,280.99162,-5.50392
EF,1433090.329,-789,8,3,19.90041,140.98031,1.78653,124.33443,109.80019,0,122.42298,-11.08381
MF,1433123.692,-789,9,6,4.61779,145.1404,1.80622,156.87403,251.87796,0,250.62868,-11.80492
AR,1433287.246,-788,2,16,17.89312,150.03326,2.74138,322.79452,252.91031,0,77.25288,-6.41056
CS,1433307.742,-788,3,8,5.80905,148.3827,2.75184,343.03463,107.82018,0,274.1644,-6.02461
EF,1433467.322,-788,8,14,19.73279,153.26255,1.9777,135.70829,104.7991,0,118.44815,-11.31732
MF,1433500.703,-788,9,17,4.8793,157.36827,1.98668,168.53001,257.04953,0,256.70578,-11.32981
AR,1433665.253,-787,2,28,18.06414,162.19528,2.94694,335.43029,258.22338,0,82.39835,-6.08642
CS,1433685.734,-787,3,21,5.61715,160.55819,2.94851,355.47389,102.54553,0,268.43529,-5.70408
EF,1433844.314,-787,8,26,19.5334,165.28654,2.07619,147.1686,99.35335,0,113.63917,-11.44884
MF,1433877.713,-787,9,29,5.11353,169.34369,2.07527,180.28256,262.58278,0,262.70525,-11.13096
AR,1434043.26,-786,3,13,18.22967,174.06026,3.01956,347.95113,263.81807,0,87.82196,-5.51571
CS,1434063.725,-786,4,3,5.39028,172.43555,3.01157,7.80864,96.95823,0,262.37893,-5.77498
EF,1434222.303,-786,9,8,19.26084,177.19967,2.08179,159.70866,93.63489,0,107.43005,-11.05456
MF,1434254.722,-786,10,11,5.31713,181.09791,2.07421,192.12705,268.26077,0,268.46577,-11.21826
AR,1434420.269,-785,3,25,18.45159,185.75069,2.9632,359.39622,269.53311,0,93.51706,-5.7711
CS,1434440.717,-785,4,15,5.1976,184.13504,2.94903,19.09636,91.22957,0,257.04747,-5.64457
EF,1434599.293,-785,9,20,19.03894,188.80232,2.00297,171.36857,87.95009,0,101.67288,-11.03867
MF,1434631.729,-785,10,23,5.48945,192.66937,1.98846,204.05443,273.9061,0,273.83709,-11.55495
AR,1434797.278,-784,4,5,18.66275,197.23895,2.78815,10.75608,275.1659,0,99.10662,-5.85603
CS,1434817.708,-784,4,26,4.98427,195.63072,2.76802,30.31859,85.5603,0,251.77736,-5.82362
EF,1434975.286,-784,9,30,18.87318,200.14064,1.84713,182.1228,82.45491,0,96.59018,-11.43709
MF,1435007.737,-784,11,2,5.68771,203.98483,1.82411,215.03115,279.31294,0,278.81329,-11.18306
AR,1435174.286,-783,4,17,18.86403,208.58152,2.50531,22.04139,280.57434,0,104.4617,-5.82779
CS,1435193.701,-783,5,7,4.8238,207.05499,2.48245,40.54265,80.06353,0,247.56529,-5.68092
EF,1435352.277,-783,10,12,18.65767,211.49451,1.61843,193.96346,77.18125,0,90.73292,-11.34201
MF,1435384.742,-783,11,14,5.80321,215.32644,1.59119,227.07647,284.44202,0,283.00512,-11.76962
AR,1435551.294,-782,4,29,19.05552,219.83812,2.12726,33.265,285.62007,0,109.45549,-5.74893
CS,1435569.694,-782,5,18,4.66453,218.39149,2.10253,50.73602,74.91462,0,243.74951,-5.7002
EF,1435729.269,-782,10,24,18.45363,222.79684,1.32836,205.88679,72.33741,0,85.13068,-11.22956
MF,1435760.748,-782,11,25,5.95424,226.50976,1.29774,238.12978,289.04466,0,286.63594,-11.44383
AR,1435928.301,-781,5,11,19.23578,231.07032,1.66794,44.44131,290.15391,0,113.95735,-5.68283
CS,1435945.688,-781,5,29,4.51972,229.70188,1.6423,60.91154,70.26508,0,240.52229,-5.80717
EF,1436106.261,-781,11,5,18.26748,234.09863,0.98721,217.87905,68.08753,0,80.00511,-11.12607
MF,1436137.751,-781,12,7,6.02344,237.81888,0.95431,250.2198,293.04232,0,289.13362,-11.81603
