Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1428965.693,-800,4,18,4.62473,353.87439,-2.32301,19.47809,275.02982,-0.5667,252.38478,-13.10697
AR,1429118.284,-800,9,17,18.81688,357.95994,-2.88601,166.79509,273.70685,-0.5667,101.27971,-8.14486
CS,1429136.721,-800,10,6,5.29821,356.46846,-2.8879,185.30451,85.58752,-0.5667,267.29312,-8.56899
EL,1429302.287,-799,3,20,18.88331,2.40041,-2.31707,351.86583,88.99587,-0.5667,92.67746,-10.71058
MF,1429345.679,-799,5,3,4.28739,7.97633,-2.33004,33.56226,268.40143,-0.5667,245.81296,-13.17575
AR,1429497.273,-799,10,1,18.54586,12.14505,-2.82907,180.57743,267.00177,-0.5667,94.85829,-8.39963
CS,1429515.729,-799,10,20,5.48882,10.63777,-2.82324,199.23094,92.30757,-0.5667,273.91375,-8.33222
EL,1429682.292,-798,4,4,19.01705,16.66894,-2.19872,6.14141,95.74778,-0.5667,99.51364,-10.64637
MF,1429724.668,-798,5,17,4.02264,22.15083,-2.19375,46.66098,261.79239,-0.5667,240.43244,-13.11438
AR,1429877.259,-798,10,16,18.22387,26.45342,-2.59604,195.46504,260.36082,-0.5667,87.64666,-8.07314
CS,1429895.734,-798,11,4,5.62778,24.93358,-2.58086,214.24413,99.00172,-0.5667,279.9183,-9.04865
EL,1430062.299,-797,4,19,19.16998,31.06572,-1.94284,20.31771,102.29726,-0.5667,106.34483,-10.71901
MF,1430103.658,-797,5,31,3.79087,36.43471,-1.92059,59.73999,255.51559,-0.5667,235.75738,-13.36136
AR,1430256.25,-797,10,30,18.00971,40.93404,-2.19716,209.42991,254.11004,-0.5667,81.67264,-8.39426
CS,1430274.744,-797,11,18,5.85985,39.40778,-2.17541,228.29461,105.34352,-0.5667,285.34719,-8.58045
EL,1430443.304,-796,5,4,19.28637,45.62757,-1.56285,35.37106,108.29146,-0.5667,112.59919,-10.01425
MF,1430481.653,-796,6,12,3.6711,50.6094,-1.52778,71.87744,250.00919,-0.5667,232.79117,-13.36354
AR,1430635.244,-796,11,12,17.85411,55.38737,-1.66016,223.4481,248.71355,-0.5667,76.406,-8.73494
CS,1430654.751,-796,12,2,6.03489,53.7796,-1.63082,243.37322,110.84956,-0.5667,289.2996,-9.04
EL,1430823.311,-795,5,19,19.466,59.99802,-1.08823,49.43,113.20845,-0.5667,118.09021,-10.01551
MF,1430859.651,-795,6,25,3.62058,64.70463,-1.04389,84.04967,245.61405,-0.5667,231.07372,-13.52768
AR,1431015.238,-795,11,27,17.70158,69.61588,-1.02347,238.51348,244.59888,-0.5667,71.43161,-8.26024
