Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428962.702,-800,4,15,4.8489,353.50912,-2.31787,16.61087,275.54086,0,255.0787,-11.201
AR,1429123.271,-800,9,22,18.51586,357.56031,-2.89029,171.78468,274.24413,0,97.34594,-5.66511
CS,1429133.728,-800,10,3,5.4692,356.70963,-2.8902,182.28712,85.3545,0,267.49085,-5.90656
EL,1429300.29,-799,3,18,18.95045,2.14292,-2.31893,349.92728,88.52908,0,92.43315,-11.81069
MF,1429342.688,-799,4,30,4.51129,7.60808,-2.32592,30.70804,268.91266,0,248.49601,-11.28413
AR,1429502.26,-799,10,6,18.24426,11.74193,-2.83125,185.60484,267.53415,0,90.90876,-5.8567
CS,1429512.736,-799,10,17,5.66003,10.88134,-2.82677,196.1967,92.07277,0,274.14171,-5.6528
EL,1429680.295,-798,4,2,19.08383,16.40999,-2.20122,4.21668,95.28218,0,99.28274,-11.73323
MF,1429721.677,-798,5,14,4.24624,21.7788,-2.19115,43.81447,262.30097,0,243.07556,-11.19217
AR,1429881.25,-798,10,20,17.991,26.1285,-2.59577,199.51257,260.84828,0,84.59118,-6.04329
CS,1429892.742,-798,11,1,5.79865,25.17813,-2.58572,211.1963,98.75401,0,280.26135,-6.37315
EL,1430060.301,-797,4,17,19.23572,30.80631,-1.94586,18.40403,101.83483,0,106.17726,-11.78787
MF,1430100.667,-797,5,28,4.01415,36.06002,-1.91968,56.89565,256.01659,0,238.33872,-11.36999
AR,1430261.238,-797,11,4,17.70675,40.52673,-2.19429,214.51072,254.61537,0,77.87841,-5.51135
CS,1430271.751,-797,11,15,6.02992,39.65361,-2.18098,225.23898,105.0732,0,285.88153,-5.94028
EL,1430441.306,-796,5,2,19.35059,45.36825,-1.56613,33.46578,107.8354,0,112.54513,-11.05353
MF,1430478.662,-796,6,9,3.89388,50.23206,-1.52867,69.029,250.49658,0,235.27027,-11.25799
AR,1430640.231,-796,11,17,17.55032,54.98121,-1.65507,228.53916,249.19395,0,72.79532,-5.59456
CS,1430651.758,-796,11,29,6.20353,54.02481,-1.63696,240.31623,110.54707,0,290.09113,-6.48412
EL,1430821.314,-795,5,17,19.52878,59.74017,-1.09163,47.52863,112.76388,0,118.18761,-11.01099
MF,1430856.66,-795,6,22,3.84255,64.32626,-1.04634,81.19182,246.07878,0,233.41007,-11.27374
AR,1431019.228,-795,12,1,17.46734,69.29183,-1.01775,242.58711,245.03222,0,68.83359,-5.61964
CS,1431030.769,-795,12,13,6.44449,68.33865,-0.99754,254.36388,114.81267,0,293.20706,-5.89286
EL,1431200.323,-794,5,31,19.74713,73.83399,-0.55664,60.62636,116.26929,0,122.85863,-11.48521
MF,1431234.661,-794,7,5,3.86928,78.25734,-0.50701,93.3948,243.10874,0,233.00351,-11.34098
AR,1431398.228,-794,12,15,17.46266,83.35803,-0.32907,256.62556,242.46179,0,66.28972,-5.55218
CS,1431410.774,-794,12,28,6.5785,82.33026,-0.30599,269.38727,117.49803,0,294.11268,-6.20313
EL,1431579.33,-793,6,14,19.91808,87.70593,0.00341,73.73511,118.12185,0,125.93508,-11.61797
MF,1431612.665,-793,7,18,3.9702,91.95755,0.05266,105.65941,241.81165,0,234.16041,-11.40078
AR,1431776.233,-793,12,28,17.59762,97.18487,0.36184,269.60831,241.65942,0,65.92977,-6.27468
CS,1431789.78,-792,1,11,6.71415,96.08697,0.38627,283.32314,118.43827,0,293.7367,-5.52035
EL,1431958.334,-792,6,27,20.00972,101.30156,0.55257,86.87212,118.2178,0,127.09345,-11.43595
MF,1431990.672,-792,7,30,4.12637,105.37831,0.59778,118.00266,242.22982,0,236.80714,-11.43292
AR,1432155.238,-791,1,10,17.70413,110.56271,1.01646,283.54024,242.57802,0,66.52406,-5.90144
CS,1432169.778,-791,1,25,6.68222,109.39896,1.04029,298.16741,117.66211,0,290.92655,-5.72212
EL,1432337.333,-791,7,11,20.00214,114.58943,1.05965,100.06378,116.65551,0,126.23908,-11.0175
MF,1432368.68,-791,8,12,4.30906,118.49211,1.09849,130.43279,244.21488,0,240.70203,-11.47145
AR,1432533.246,-790,1,23,17.89408,123.63036,1.59729,296.38313,245.0126,0,68.99038,-6.26901
CS,1432549.773,-790,2,9,6.54433,122.32695,1.61996,312.88933,115.38369,0,286.50578,-5.96882
EL,1432714.334,-790,7,23,20.00983,127.31715,1.49918,111.40088,113.76623,0,124.89564,-11.54724
MF,1432746.687,-790,8,25,4.48968,131.29068,1.53159,142.95545,247.48667,0,245.51222,-11.59892
AR,1432911.253,-789,2,5,18.06858,136.30998,2.08201,309.14012,248.62356,0,72.5165,-6.37389
CS,1432928.766,-789,2,23,6.37609,134.94928,2.10037,326.49486,111.89067,0,281.61289,-5.68924
EL,1433092.328,-789,8,5,19.86945,139.85743,1.85648,123.76544,109.7925,0,121.43294,-11.33958
MF,1433123.696,-789,9,6,4.70415,143.66271,1.87947,154.58023,251.67218,0,251.04807,-11.0588
AR,1433289.259,-788,2,18,18.21157,148.62406,2.45548,321.80686,253.06908,0,76.84083,-6.18905
CS,1433307.755,-788,3,8,6.12323,147.20926,2.46774,339.98448,107.53606,0,275.83183,-5.71503
EL,1433470.319,-788,8,17,19.65633,152.10958,2.12013,136.21964,105.07586,0,116.78221,-11.0241
MF,1433501.701,-788,9,18,4.83194,155.87351,2.13538,167.28607,256.55247,0,256.67448,-11.60739
AR,1433667.263,-787,3,2,18.31841,160.60974,2.71001,334.36852,258.05168,0,81.71002,-5.73841
CS,1433686.742,-787,3,22,5.80543,159.14288,2.7146,353.35888,102.61751,0,269.45604,-6.06105
EL,1433847.31,-787,8,29,19.44992,163.98866,2.28576,147.78979,99.94411,0,112.03294,-11.09893
MF,1433878.708,-787,9,30,4.98538,167.71609,2.29222,179.08636,261.77397,0,262.42344,-11.57808
AR,1434044.269,-786,3,14,18.46373,172.38573,2.84293,345.86356,263.36767,0,87.06073,-6.08265
CS,1434063.732,-786,4,3,5.57948,170.93605,2.84164,4.71778,97.31178,0,264.37329,-5.56585
EL,1434224.3,-786,9,10,19.20849,175.64934,2.3528,159.43315,94.5702,0,106.71215,-11.0803
MF,1434255.713,-786,10,12,5.11428,179.34779,2.35114,190.95054,267.17653,0,267.98499,-11.80811
AR,1434421.274,-785,3,26,18.58391,183.92614,2.85816,357.28745,268.79139,0,92.49257,-6.20964
CS,1434441.719,-785,4,16,5.25621,182.42042,2.84978,16.97768,91.90822,0,258.32788,-6.00942
EL,1434600.292,-785,9,21,19.00877,187.01946,2.32505,170.15455,89.18672,0,101.84633,-11.47004
MF,1434631.72,-785,10,23,5.28377,190.6949,2.31442,201.85759,272.5369,0,273.28066,-11.37314
AR,1434798.279,-784,4,6,18.68897,195.28643,2.7613,8.63675,274.16778,0,97.86679,-6.17894
CS,1434817.711,-784,4,26,5.05812,193.86411,2.74876,27.2654,86.4688,0,253.96146,-5.57439
EL,1434977.281,-784,10,2,18.74467,198.37382,2.20552,181.95328,83.8342,0,96.01644,-11.30909
MF,1435007.727,-784,11,2,5.44652,201.92058,2.18831,212.81208,277.76539,0,278.13889,-11.10035
AR,1435175.283,-783,4,18,18.78873,206.52218,2.55998,19.92838,279.36008,0,103.04864,-6.03719
CS,1435194.7,-783,5,8,4.79366,205.10959,2.54241,38.46986,81.22761,0,248.99278,-5.97464
EL,1435354.27,-783,10,14,18.49079,209.6429,2.00206,193.81764,78.70983,0,90.23475,-11.09913
MF,1435384.731,-783,11,14,5.55399,213.18527,1.97957,224.80957,282.77181,0,282.30872,-11.7804
AR,1435552.287,-782,4,30,18.89165,217.69015,2.26338,31.17894,284.2354,0,107.90504,-5.83755
CS,1435570.692,-782,5,19,4.61495,216.35368,2.2432,48.71182,76.26052,0,245.18838,-5.96059
EL,1435730.263,-782,10,25,18.32089,220.76062,1.72457,204.72187,74.00092,0,85.47477,-11.41221
MF,1435760.739,-782,11,25,5.72523,224.30543,1.69627,235.80168,287.31607,0,285.92914,-11.5371
AR,1435929.292,-781,5,12,19.00373,228.85022,1.88195,42.389,288.65295,0,112.30576,-5.65458
CS,1435946.686,-781,5,30,4.46772,227.58586,1.86009,58.94327,71.74093,0,241.9323,-6.04599
EL,1436107.255,-781,11,6,18.129,232.00413,1.37969,216.68281,69.76776,0,80.37553,-11.20345
MF,1436136.746,-781,12,6,5.90613,235.4454,1.34824,246.79518,291.29492,0,288.803,-11.15708
AR,1436306.297,-780,5,23,19.12694,240.06189,1.42759,53.58108,292.45348,0,116.11091,-5.54031
CS,1436322.682,-780,6,9,4.36664,238.86695,1.40493,69.17602,67.82961,0,239.4226,-6.15009
EL,1436484.25,-780,11,17,17.98914,243.31057,0.97989,228.67166,66.23207,0,75.95816,-11.037
MF,1436513.752,-780,12,17,6.03804,246.77137,0.94557,258.78665,294.56294,0,290.49707,-11.3549
AR,1436683.302,-779,6,4,19.25822,251.38762,0.91367,64.778,295.45802,0,119.17666,-5.54374
CS,1436698.68,-779,6,20,4.32599,250.26011,0.89097,79.42959,64.70832,0,237.8622,-6.17892
EL,1436860.249,-779,11,28,17.97188,254.61753,0.53901,239.65821,63.59917,0,73.09177,-11.62749
MF,1436890.757,-779,12,29,6.16958,258.2215,0.50115,270.74582,296.89263,0,291.16399,-11.16715
AR,1437060.308,-778,6,16,19.38883,262.89277,0.35562,75.98367,297.47414,0,121.3715,-5.72037
CS,1437074.682,-778,7,1,4.35805,261.83031,0.33356,89.71214,62.57428,0,237.452,-6.00769
EL,1437238.246,-778,12,11,17.91217,266.32376,0.06721,252.67782,62.00512,0,70.08935,-11.0305
MF,1437268.76,-777,1,11,6.23065,269.9635,0.02839,283.66543,298.1049,0,290.26974,-11.27606
