Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428964.5,1428964.574,1428964.698,-800,4,17,4.74739,353.74847,-2.32117,18.48595,275.56021,0,253.2916,-11.29637
AR,1429122.5,1429123.149,1429123.272,-800,9,22,18.53112,357.56352,-2.89027,171.74493,274.34279,0,97.68875,-5.56963
CS,1429132.5,1429133.604,1429133.727,-800,10,3,5.45844,356.71293,-2.89022,182.24605,85.24631,0,267.16951,-5.93779
EL,1429299.5,1429300.166,1429300.29,-799,3,18,18.94836,2.13773,-2.31897,349.88803,88.49185,0,92.83988,-11.69223
MF,1429344.5,1429344.56,1429344.683,-799,5,2,4.39033,7.84927,-2.32856,32.57365,268.7746,0,246.56663,-11.39139
AR,1429501.5,1429502.137,1429502.26,-799,10,6,18.23981,11.74524,-2.83125,185.56396,267.47442,0,91.10045,-5.75231
CS,1429511.5,1429512.613,1429512.736,-799,10,17,5.66902,10.88461,-2.82682,196.15623,92.12316,0,273.9892,-5.68222
EL,1429679.5,1429680.172,1429680.296,-798,4,2,19.10161,16.40487,-2.20127,4.17851,95.40463,0,99.84813,-11.60956
MF,1429723.5,1429723.548,1429723.671,-798,5,16,4.10621,22.02234,-2.1928,45.67415,262.01011,0,241.01968,-11.36611
AR,1429880.5,1429881.125,1429881.249,-798,10,20,17.9667,26.1319,-2.59578,199.4706,260.62915,0,84.63305,-5.92507
CS,1429891.5,1429892.619,1429892.743,-798,11,1,5.82744,25.18135,-2.58578,211.15647,98.96341,0,280.24,-6.38288
EL,1430059.5,1430060.18,1430060.303,-797,4,17,19.27322,30.80129,-1.94592,18.36688,102.11581,0,106.91185,-11.64721
MF,1430101.5,1430101.54,1430101.663,-797,5,29,3.91523,36.18018,-1.91993,57.80441,255.63195,0,236.89521,-11.15946
AR,1430259.5,1430260.115,1430260.239,-797,11,3,17.73296,40.61237,-2.19507,213.45138,254.21167,0,78.60044,-6.07321
CS,1430270.5,1430271.63,1430271.753,-797,11,15,6.07813,39.65677,-2.18105,225.19987,105.43842,0,286.02985,-5.92617
EL,1430439.5,1430440.187,1430440.311,-796,5,1,19.46218,45.23417,-1.56789,32.47749,108.22054,0,113.62024,-11.67899
MF,1430479.5,1430479.534,1430479.657,-796,6,10,3.77783,50.35295,-1.52835,69.93834,249.97745,0,233.70637,-11.15598
AR,1430638.5,1430639.108,1430639.232,-796,11,16,17.55934,55.06671,-1.65627,227.47724,248.65585,0,73.35062,-6.19453
CS,1430650.5,1430651.638,1430651.761,-796,11,29,6.26954,54.02791,-1.63703,240.27785,111.05503,0,290.35744,-6.42233
EL,1430819.5,1430820.196,1430820.319,-795,5,16,19.65698,59.60696,-1.09343,46.54336,113.29433,0,119.49682,-11.57093
MF,1430857.5,1430857.531,1430857.655,-795,6,23,3.71214,64.44736,-1.04554,82.10345,245.44948,0,231.75319,-11.29842
AR,1431017.5,1431018.104,1431018.228,-795,11,30,17.46244,69.3769,-1.0193,241.52492,244.38752,0,69.22884,-6.27227
CS,1431029.5,1431030.648,1431030.772,-795,12,13,6.5253,68.34169,-0.99761,254.32618,115.43923,0,293.61277,-5.78629
EL,1431199.5,1431200.203,1431200.326,-794,5,31,19.83263,73.82931,-0.5567,60.59138,116.9371,0,124.01244,-11.23075
MF,1431235.5,1431235.532,1431235.655,-794,7,6,3.7289,78.37812,-0.50582,94.30972,242.40687,0,231.30324,-11.50831
AR,1431396.5,1431397.104,1431397.227,-794,12,14,17.44886,83.44252,-0.33089,255.56499,241.75219,0,66.5416,-6.27036
CS,1431409.5,1431410.654,1431410.778,-794,12,28,6.66916,82.33323,-0.30606,269.35016,118.20349,0,294.58412,-6.0232
EL,1431578.5,1431579.21,1431579.334,-793,6,14,20.01055,87.70134,0.00335,73.70036,118.846,0,127.15947,-11.3055
MF,1431612.5,1431612.538,1431612.662,-793,7,18,3.88202,91.95201,0.05259,105.61701,241.08527,0,232.98256,-11.04069
AR,1431775.5,1431776.106,1431776.23,-793,12,28,17.50954,97.18841,0.36175,269.56364,240.92874,0,65.48621,-6.12992
CS,1431789.5,1431790.657,1431790.781,-792,1,12,6.73731,96.00989,0.3879,284.29277,119.17884,0,293.57652,-6.12283
EL,1431957.5,1431958.214,1431958.338,-792,6,27,20.10258,101.29704,0.55253,86.83726,118.9455,0,128.31436,-11.0773
MF,1431990.5,1431990.545,1431990.668,-792,7,30,4.03976,105.37283,0.59771,117.96006,241.51552,0,235.63446,-11.16432
AR,1432154.5,1432155.111,1432155.234,-791,1,10,17.61954,110.5662,1.01638,283.49595,241.87575,0,66.08683,-5.77435
CS,1432169.5,1432170.656,1432170.779,-791,1,26,6.70301,109.32331,1.04157,299.12943,118.38777,0,290.67857,-6.16704
EL,1432335.5,1432336.216,1432336.339,-791,7,10,20.14716,114.46272,1.05877,99.0695,117.36307,0,128.04324,-11.19995
MF,1432368.5,1432368.553,1432368.676,-791,8,12,4.22982,118.48673,1.09842,130.39016,243.55925,0,239.58848,-11.28354
AR,1432532.5,1432533.119,1432533.242,-790,1,23,17.81845,123.63377,1.59721,296.3395,244.3826,0,68.63088,-6.14533
CS,1432548.5,1432549.653,1432549.776,-790,2,9,6.62712,122.3298,1.61992,312.85269,116.02543,0,286.94308,-5.57654
EL,1432713.5,1432714.214,1432714.337,-790,7,23,20.08643,127.31267,1.49917,111.36498,114.36379,0,125.97259,-11.11089
MF,1432746.5,1432746.561,1432746.684,-790,8,25,4.42206,131.28542,1.53152,142.91296,246.92395,0,244.49341,-11.47539
AR,1432910.5,1432911.127,1432911.25,-789,2,5,18.00556,136.3133,2.08194,309.09735,248.09524,0,72.25216,-6.25861
CS,1432928.5,1432929.642,1432929.766,-789,2,24,6.37715,134.87671,2.1007,327.4404,112.46157,0,281.15005,-5.8898
EL,1433090.5,1433091.21,1433091.333,-789,8,4,19.99206,139.73445,1.85643,122.75821,110.32759,0,123.13696,-11.38552
MF,1433124.5,1433124.568,1433124.691,-789,9,7,4.59481,143.7779,1.88084,155.52795,251.26993,0,249.99404,-11.82991
AR,1433288.5,1433289.133,1433289.257,-788,2,18,18.16324,148.62729,2.45542,321.76503,252.65893,0,76.67771,-6.08284
CS,1433307.5,1433308.631,1433308.755,-788,3,9,6.11013,147.13822,2.46756,340.92189,107.99344,0,275.24641,-5.83416
EL,1433468.5,1433469.2,1433469.324,-788,8,16,19.7642,151.98789,2.12044,135.20465,105.49417,0,118.37135,-11.05864
MF,1433501.5,1433501.576,1433501.7,-788,9,18,4.79395,155.86851,2.13533,167.24421,256.22708,0,255.91025,-11.5675
AR,1433666.5,1433667.138,1433667.262,-787,3,2,18.2857,160.61289,2.70997,334.32764,257.76723,0,81.64813,-5.63969
CS,1433685.5,1433686.62,1433686.744,-787,3,22,5.84586,159.14569,2.71463,353.3214,102.91877,0,269.57645,-5.54156
EL,1433845.5,1433846.191,1433846.314,-787,8,28,19.5423,163.86822,2.28642,146.76672,100.23847,0,113.51129,-11.11708
MF,1433878.5,1433878.583,1433878.707,-787,9,30,4.96333,167.71122,2.29218,179.04489,261.57639,0,261.79455,-11.55813
AR,1434043.5,1434044.145,1434044.269,-786,3,14,18.44706,172.38879,2.84289,345.8236,263.21211,0,87.13616,-5.98383
CS,1434063.5,1434064.607,1434064.731,-786,4,4,5.53511,170.86735,2.84065,5.64082,97.51702,0,263.54588,-5.6197
EL,1434222.5,1434223.18,1434223.304,-786,9,9,19.285,175.5298,2.35376,158.40162,94.73693,0,108.06964,-11.10069
MF,1434255.5,1434255.589,1434255.713,-786,10,12,5.10825,179.34305,2.35111,190.9095,267.10765,0,267.47955,-11.79402
AR,1434420.5,1434421.151,1434421.274,-785,3,26,18.58324,183.92911,2.85814,357.2484,268.76435,0,92.69949,-6.11042
CS,1434441.5,1434442.593,1434442.716,-785,4,17,5.19592,182.35288,2.84842,17.8949,91.9843,0,257.3627,-6.03924
EL,1434599.5,1434600.169,1434600.292,-785,9,21,19.00883,187.01484,2.32509,170.11419,89.16981,0,102.26984,-11.01806
MF,1434631.5,1434631.597,1434631.721,-785,10,23,5.2935,190.69025,2.3144,201.81704,272.59456,0,272.91893,-11.3574
AR,1434797.5,1434798.156,1434798.279,-784,4,6,18.7041,195.28934,2.76129,8.59857,274.26757,0,98.20045,-6.0784
CS,1434817.5,1434818.584,1434818.708,-784,4,27,4.98179,193.79657,2.74727,28.17919,86.4155,0,252.8907,-5.65007
EL,1434975.5,1434976.159,1434976.283,-784,10,1,18.7895,198.25556,2.20693,180.90804,83.74432,0,97.1333,-11.34683
MF,1435007.5,1435007.605,1435007.728,-784,11,2,5.47173,201.91602,2.1883,212.77208,277.94757,0,277.9098,-11.07175
AR,1435174.5,1435175.161,1435175.284,-783,4,18,18.81932,206.52502,2.55998,19.89098,279.58403,0,103.50477,-5.93443
