Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1428967.5,1428967.565,1428967.688,-800,4,20,4.52156,354.11063,-2.32662,21.35106,275.01764,-0.5667,250.50665,-13.11185
AR,1429116.5,1429117.164,1429117.287,-800,9,16,18.89936,358.04176,-2.88478,165.75929,273.7323,-0.5667,102.5796,-8.45063
CS,1429135.5,1429136.597,1429136.72,-800,10,6,5.28816,356.47173,-2.88794,185.2634,85.50604,-0.5667,266.87789,-8.58204
EL,1429301.5,1429302.163,1429302.287,-799,3,20,18.88263,2.3952,-2.31711,351.82669,88.9908,-0.5667,93.05354,-10.60138
MF,1429347.5,1429347.55,1429347.674,-799,5,5,4.16479,8.21445,-2.33298,35.42685,268.23202,-0.5667,243.79173,-13.19255
AR,1429496.5,1429497.149,1429497.272,-799,10,1,18.5398,12.14829,-2.82904,180.53657,266.90828,-0.5667,95.12723,-8.12809
CS,1429514.5,1429515.606,1429515.729,-799,10,20,5.49852,10.641,-2.82329,199.19045,92.38465,-0.5667,273.66697,-8.34236
EL,1429681.5,1429682.17,1429682.293,-798,4,4,19.03624,16.66381,-2.19877,6.10334,95.90257,-0.5667,100.04931,-10.53228
MF,1429726.5,1429726.538,1429726.662,-798,5,19,3.88095,22.39146,-2.19568,48.52053,261.46968,-0.5667,238.28039,-13.19773
AR,1429875.5,1429876.138,1429876.261,-798,10,15,18.26727,26.53683,-2.59585,194.41274,260.0731,-0.5667,88.62567,-8.43225
CS,1429894.5,1429895.612,1429895.736,-798,11,4,5.65734,24.93675,-2.58093,214.20431,99.23851,-0.5667,279.80172,-9.03413
EL,1430061.5,1430062.177,1430062.3,-797,4,19,19.20892,31.06069,-1.94289,20.28064,102.61133,-0.5667,107.05056,-10.59019
MF,1430104.5,1430104.53,1430104.654,-797,6,1,3.69029,36.55352,-1.92096,60.64883,255.09725,-0.5667,234.22163,-13.06682
AR,1430255.5,1430256.125,1430256.249,-797,10,30,17.96458,40.93744,-2.19718,209.38695,253.70186,-0.5667,81.63967,-8.126
CS,1430273.5,1430274.623,1430274.746,-797,11,18,5.90895,39.4109,-2.17549,228.25553,105.73755,-0.5667,285.40034,-8.53328
EL,1430441.5,1430442.185,1430442.308,-796,5,3,19.39942,45.49299,-1.56453,34.38328,108.71087,-0.5667,113.64985,-10.65365
MF,1430482.5,1430482.525,1430482.648,-796,6,13,3.55334,50.72903,-1.52756,72.78696,249.45515,-0.5667,231.12529,-13.17765
AR,1430634.5,1430635.118,1430635.241,-796,11,12,17.79129,55.39082,-1.66019,223.40428,248.1626,-0.5667,76.25365,-8.4541
CS,1430653.5,1430654.631,1430654.754,-796,12,2,6.10195,53.78265,-1.6309,243.33489,111.38842,-0.5667,289.47214,-8.93259
EL,1430821.5,1430822.193,1430822.316,-795,5,18,19.59573,59.8643,-1.08998,48.44484,113.77452,-0.5667,119.37742,-10.5948
MF,1430860.5,1430860.522,1430860.645,-795,6,26,3.48842,64.82459,-1.04315,84.96183,244.94876,-0.5667,229.30312,-13.4706
AR,1431014.5,1431015.111,1431015.234,-795,11,27,17.62435,69.61937,-1.02353,238.46902,243.93164,-0.5667,71.1541,-8.00762
CS,1431032.5,1431033.642,1431033.765,-795,12,16,6.35973,68.09708,-0.99151,257.3777,115.81283,-0.5667,292.44564,-8.1418
EL,1431201.5,1431202.2,1431202.324,-794,6,2,19.77224,74.08444,-0.5534,62.4921,117.39982,-0.5667,123.71628,-10.32604
MF,1431237.5,1431237.525,1431237.648,-794,7,8,3.56358,78.62948,-0.50338,96.22273,241.95357,-0.5667,229.62501,-13.2402
AR,1431393.5,1431394.11,1431394.234,-794,12,11,17.61122,83.6833,-0.33605,252.5135,241.31829,-0.5667,68.26143,-8.20702
CS,1431412.5,1431413.648,1431413.771,-794,12,31,6.50588,82.09139,-0.30028,272.38864,118.618,-0.5667,293.13619,-8.16616
EL,1431580.5,1431581.208,1431581.331,-793,6,16,19.94977,87.9533,0.0063,75.60376,119.28295,-0.5667,126.6794,-10.48896
MF,1431615.5,1431615.529,1431615.653,-793,7,21,3.66118,92.32739,0.05708,108.50139,240.65913,-0.5667,230.95894,-13.58036
AR,1431772.5,1431773.113,1431773.236,-793,12,25,17.6728,97.42721,0.35601,266.52226,240.52388,-0.5667,66.95546,-8.26205
CS,1431792.5,1431793.651,1431793.774,-792,1,15,6.57606,95.77189,0.39287,287.31169,119.62805,-0.5667,291.88717,-8.02193
EL,1431959.5,1431960.212,1431960.335,-792,6,29,20.04012,101.54573,0.55493,88.74765,119.34962,-0.5667,127.65543,-10.35979
MF,1431992.5,1431992.538,1431992.662,-792,8,1,3.87661,105.62103,0.60096,119.89391,241.12156,-0.5667,234.30105,-13.15267
AR,1432151.5,1432152.118,1432152.241,-791,1,7,17.78404,110.80275,1.01045,280.47073,241.50402,-0.5667,67.27924,-8.07125
