Modern Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elong(west),Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,,,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west,,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,,,,,
-799,2,1,9.17633,-799,9,15,16.94585,-799,11,4,3.38276,-799,11,24,15.22467,-799,12,14,22.32863,-798,2,1,22.36916,1429254.79925,1429481.12298,1429530.55785,1429551.05126,1429571.34726,1429620.34895,303.31809,303.3181,305.21667,303.3181,211.4791,166.39326,164.47494,166.39326,243.05376,215.11856,214.40118,215.11856,235.31781,235.31782,235.31578,235.31782,227.73255,255.32249,256.03244,255.32249,259.03812,303.62083,305.52613,303.62083,,45.08583999999999,-44.58271000000002,,1429254.79925,1429481.12298,1429530.55785,1429551.05126,1429571.34726,1429620.34895,303.31809,303.3181,305.21667,303.3181,211.4791,166.39326,164.47494,166.39326,243.05376,215.11856,214.40118,215.11856,235.31781,235.31782,235.31578,235.31782,227.73255,255.32249,256.03244,255.32249,259.03812,303.62083,305.52613,303.62083,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6916505932811363e-05,-2.6916738763455017e-05,-2.566667103767739e-05,-2.2750001564625366e-05,-2.4416603311899765e-05,-2.566667103767739e-05
-798,9,14,12.51617,-797,4,15,23.0505,-797,6,7,10.43486,-797,6,28,3.81976,-797,7,20,11.54156,-797,9,7,14.22327,1429844.93841,1430058.37734,1430110.85168,1430131.57605,1430153.8978,1430203.00953,164.98661,164.98661,163.0496,164.98661,61.76205,15.36192,16.63864,15.36192,95.15652,67.08307,66.66475,67.08307,87.50997,87.50997,86.4354,87.50997,78.85301,109.51132,107.87469,109.51132,109.55535,157.91812,155.91558,157.91812,,46.400130000000004,-48.36276999999998,,1429844.93841,1430058.37734,1430110.85168,1430131.57605,1430153.8978,1430203.00953,164.98661,164.98661,163.0496,164.98661,61.76205,15.36192,16.63864,15.36192,95.15652,67.08307,66.66475,67.08307,87.50997,87.50997,86.4354,87.50997,78.85301,109.51132,107.87469,109.51132,109.55535,157.91812,155.91558,157.91812,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6916505932811363e-05,-2.649997191131459e-05,-1.8166730344298943e-05,-1.7333429470661743e-05,-2.566667103767739e-05,-1.7749963492158516e-05
-796,4,16,4.79004,-796,12,1,1.17441,-795,1,15,18.76554,-795,2,7,0.99573,-795,2,26,17.82148,-795,4,20,20.25286,1430424.61648,1430653.46583,1430699.1988,1430721.45839,1430741.15946,1430794.26077,16.34421,16.34421,17.59187,16.34421,289.32855,241.90874,242.14514,241.90874,317.91414,286.98527,288.5968,286.98527,308.92534,308.92535,310.88308,308.92535,301.66061,328.34364,330.36618,328.34364,335.95255,20.68275,21.80489,20.68275,,47.41981000000001,-44.730200000000025,,1430424.61648,1430653.46583,1430699.1988,1430721.45839,1430741.15946,1430794.26077,16.34421,16.34421,17.59187,16.34421,289.32855,241.90874,242.14514,241.90874,317.91414,286.98527,288.5968,286.98527,308.92534,308.92535,310.88308,308.92535,301.66061,328.34364,330.36618,328.34364,335.95255,20.68275,21.80489,20.68275,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9000031217936142e-05,-2.0249866113070114e-05,-2.649997191131459e-05,-2.5250137016180618e-05,-2.233323471248494e-05,-2.483337016404019e-05
-795,11,21,20.11249,-794,6,26,6.75729,-794,8,18,16.76492,-794,9,7,8.70685,-794,9,29,12.40531,-794,11,14,9.51052,1431009.25492,1431225.69845,1431279.11544,1431298.77968,1431320.93379,1431366.81317,232.59096,232.59096,232.48871,232.59096,130.60816,85.92774,84.89515,85.92774,164.95911,138.578,136.5502,138.578,157.95999,157.95999,155.95279,157.95999,149.30177,179.7961,178.08462,179.7961,177.84715,225.01695,224.63943,225.01695,,44.68042,-47.16980000000001,,1431009.25492,1431225.69845,1431279.11544,1431298.77968,1431320.93379,1431366.81317,232.59096,232.59096,232.48871,232.59096,130.60816,85.92774,84.89515,85.92774,164.95911,138.578,136.5502,138.578,157.95999,157.95999,155.95279,157.95999,149.30177,179.7961,178.08462,179.7961,177.84715,225.01695,224.63943,225.01695,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3583302438262566e-05,-2.0250098943713768e-05,-2.566667103767739e-05,-1.8583264365795715e-05,-2.6083205059174164e-05,-2.233323471248494e-05
-793,7,2,6.72656,-792,2,6,20.86387,-792,3,26,11.78741,-792,4,17,15.6059,-792,5,8,12.01397,-792,6,30,21.80053,1431596.69717,1431816.28623,1431864.90804,1431887.06714,1431907.91748,1431961.32525,91.60128,91.60128,90.4038,91.60128,356.09292,308.03844,309.98884,308.03844,26.57895,355.96235,357.68677,355.96235,17.80338,17.80339,19.00977,17.80339,9.93692,38.35445,38.92103,38.35445,44.16724,90.99563,89.81331,90.99563,,48.05448000000001,-46.828390000000006,,1431596.69717,1431816.28623,1431864.90804,1431887.06714,1431907.91748,1431961.32525,91.60128,91.60128,90.4038,91.60128,356.09292,308.03844,309.98884,308.03844,26.57895,355.96235,357.68677,355.96235,17.80338,17.80339,19.00977,17.80339,9.93692,38.35445,38.92103,38.35445,44.16724,90.99563,89.81331,90.99563,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.066663296521054e-05,-2.6083205059174164e-05,-2.1916467860344513e-05,-1.816649751365529e-05,-2.1916700690988167e-05,-1.8583264365795715e-05
-791,1,30,0.92047,-791,9,13,2.02221,-791,11,1,15.65977,-791,11,22,1.73895,-791,12,12,10.65594,-790,1,30,3.8877,1432174.45525,1432400.50116,1432450.06939,1432470.48935,1432490.8609,1432539.57889,301.06643,301.06643,302.93002,301.06643,208.88079,163.86776,161.90948,163.86776,240.53003,212.72451,211.90922,212.72451,232.85136,232.85137,232.74341,232.85137,225.23449,252.93051,253.54551,252.93051,256.30598,300.94922,302.81117,300.94922,,45.013029999999986,-44.64324000000005,,1432174.45525,1432400.50116,1432450.06939,1432470.48935,1432490.8609,1432539.57889,301.06643,301.06643,302.93002,301.06643,208.88079,163.86776,161.90948,163.86776,240.53003,212.72451,211.90922,212.72451,232.85136,232.85137,232.74341,232.85137,225.23449,252.93051,253.54551,252.93051,256.30598,300.94922,302.81117,300.94922,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083399817350967e-05,-2.5249904185536964e-05,-2.3583302438262566e-05,-1.7749963492158516e-05,-2.649997191131459e-05,-2.649997191131459e-05
-790,9,12,5.77643,-789,4,13,15.94913,-789,6,5,1.6098,-789,6,25,20.85425,-789,7,18,3.28129,-789,9,5,10.38692,1432764.65758,1432978.08145,1433030.48397,1433051.28583,1433073.55362,1433122.84969,162.79722,162.79722,160.82645,162.79722,59.62676,13.15768,14.49436,13.15768,92.99208,64.80804,64.47009,64.80804,85.3113,85.31131,84.30466,85.31131,76.6701,107.25948,105.66872,107.25948,107.49016,155.84797,153.82336,155.84797,,46.46908,-48.35781,,1432764.65758,1432978.08145,1433030.48397,1433051.28583,1433073.55362,1433122.84969,162.79722,162.79722,160.82645,162.79722,59.62676,13.15768,14.49436,13.15768,92.99208,64.80804,64.47009,64.80804,85.3113,85.31131,84.30466,85.31131,76.6701,107.25948,105.66872,107.25948,107.49016,155.84797,153.82336,155.84797,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.941679807007657e-05,-2.6916505932811363e-05,-1.9000031217936142e-05,-2.6916505932811363e-05,-2.3583302438262566e-05,-2.566667103767739e-05
-788,4,13,16.14679,-788,11,28,16.40693,-787,1,13,9.91227,-787,2,4,15.54163,-787,2,24,7.44978,-787,4,18,7.73087,1433344.08968,1433573.10052,1433618.82991,1433641.06447,1433660.72731,1433713.73902,13.91236,13.91237,15.22974,13.91237,286.98009,239.63607,239.77968,239.63607,315.58888,284.70907,286.26235,284.70907,306.62448,306.62448,308.55418,306.62448,299.36088,326.00509,328.02677,326.00509,333.57142,18.25589,19.44934,18.25589,,47.34402000000003,-44.68447000000003,,1433344.08968,1433573.10052,1433618.82991,1433641.06447,1433660.72731,1433713.73902,13.91236,13.91237,15.22974,13.91237,286.98009,239.63607,239.77968,239.63607,315.58888,284.70907,286.26235,284.70907,306.62448,306.62448,308.55418,306.62448,299.36088,326.00509,328.02677,326.00509,333.57142,18.25589,19.44934,18.25589,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083399817350967e-05,-2.1916700690988167e-05,-2.2750001564625366e-05,-2.6083437889817818e-05,-2.649997191131459e-05,-2.4416603311899765e-05
-787,11,19,14.06744,-786,6,23,20.25581,-786,8,16,6.26053,-786,9,4,21.94098,-786,9,27,3.28914,-786,11,11,23.89677,1433929.00304,1434145.26089,1434198.67775,1434218.33111,1434240.55395,1434286.4126,230.4301,230.4301,230.24117,230.4301,128.30828,83.58386,82.63468,83.58386,162.61507,136.234,134.22814,136.234,155.60525,155.60525,153.58711,155.60525,146.9275,177.50912,175.7557,177.50912,175.45702,222.70953,222.246,222.70953,,44.724419999999995,-47.25251,,1433929.00304,1434145.26089,1434198.67775,1434218.33111,1434240.55395,1434286.4126,230.4301,230.4301,230.24117,230.4301,128.30828,83.58386,82.63468,83.58386,162.61507,136.234,134.22814,136.234,155.60525,155.60525,153.58711,155.60525,146.9275,177.50912,175.7557,177.50912,175.45702,222.70953,222.246,222.70953,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0666865795854195e-05,-2.1916700690988167e-05,-1.8583264365795715e-05,-2.649997191131459e-05,-2.6500204741958244e-05,-2.5249904185536964e-05
