Almagest Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west
-799,11,18,22.8401,-799,9,10,20.40506,-799,10,29,16.03064,-799,11,18,22.84003,-799,12,8,19.40075,-798,1,27,16.23558,1429545.45167,1429476.35021,1429525.16794,1429545.45167,1429565.30836,1429615.17648,232.46082,232.46081,231.89895,232.46081,208.7098,164.35197,161.97917,164.35197,239.58062,212.46845,211.11987,212.46845,232.46082,232.46081,231.89895,232.46081,225.59479,252.03227,252.3151,252.03227,257.29201,301.18405,303.20218,301.18405,,44.35783000000001,-43.89204000000001
-798,9,11,0.15985,-797,4,8,12.28642,-797,6,1,11.22783,-797,6,21,21.61761,-797,7,14,10.60842,-797,9,1,12.03761,1429841.50666,1430051.01193,1430104.96783,1430125.40073,1430147.94202,1430197.00157,164.26306,164.26305,161.88983,164.26305,56.96182,10.75884,12.662,10.75884,91.50608,63.93967,64.00252,63.93967,84.07907,84.07907,83.3478,84.07907,75.28861,106.29655,104.78513,106.29655,106.0045,154.65137,152.26719,154.65137,,46.202980000000004,-48.64686999999999
-796,4,9,5.90479,-796,11,26,12.06419,-795,1,11,23.63467,-795,2,3,12.45227,-795,2,22,13.92384,-795,4,18,8.93353,1430417.74603,1430649.00267,1430695.48478,1430718.01884,1430737.08016,1430791.87223,12.22491,12.22491,14.09149,12.22491,287.92726,240.15961,239.92732,240.15961,316.8085,285.97401,287.57359,285.97401,308.18438,308.18438,310.34562,308.18438,301.70704,326.97189,329.34609,326.97189,337.10823,20.97689,22.60247,20.97689,,47.76765,-43.868660000000034
-795,11,16,17.17822,-794,6,18,13.14845,-794,8,12,0.06031,-794,8,30,23.59552,-794,9,22,7.62998,-794,11,7,16.82693,1431004.21576,1431218.04785,1431272.50251,1431291.48315,1431313.81792,1431360.20112,230.27016,230.27016,229.61633,230.27016,124.64964,81.03061,80.41653,81.03061,159.82336,134.70305,132.50506,134.70305,153.41104,153.41103,151.03032,153.41103,144.94139,175.42497,173.14928,175.42497,173.77785,221.14189,220.11809,221.14189,,43.61903000000001,-47.36403999999999
-793,6,27,20.05756,-792,2,1,14.95301,-792,3,22,6.9741,-792,4,13,15.9668,-792,5,4,9.46485,-792,6,26,20.9848,1431592.33573,1431811.12304,1431860.79059,1431883.16528,1431903.89437,1431957.37437,89.94195,89.94195,88.99074,89.94195,354.11742,305.58644,307.69846,305.58644,25.29064,354.54053,356.76602,354.54053,16.59382,16.59382,18.34479,16.59382,8.96593,37.02514,38.1234,37.02514,43.11924,89.73691,88.79325,89.73691,,48.53098,-46.61767
-791,1,22,22.07062,-791,9,8,4.03344,-791,10,27,4.24317,-791,11,16,9.02289,-791,12,6,7.42901,-790,1,24,23.33516,1432167.41961,1432395.66806,1432444.6768,1432464.87595,1432484.80954,1432534.4723,296.76491,296.76491,298.67599,296.76491,205.99506,161.73464,159.35199,161.73464,237.01713,210.03938,208.60565,210.03938,229.94839,229.94838,229.28112,229.94838,223.03713,249.59563,249.77304,249.59563,254.57363,298.54499,300.5007,298.54499,,44.26041999999998,-43.971359999999976
-790,9,8,18.51086,-789,4,6,9.08609,-789,5,30,5.47191,-789,6,19,17.54974,-789,7,12,5.70135,-789,8,30,10.49632,1432761.27129,1432970.87859,1433024.728,1433045.23124,1433067.73756,1433116.93735,162.08607,162.08607,159.70445,162.08607,54.98383,8.68242,10.63541,8.68242,89.44101,61.7583,61.90832,61.7583,81.96703,81.96702,81.31676,81.96702,73.19591,104.15004,102.70666,104.15004,104.01749,152.64309,150.26508,152.64309,,46.30141,-48.625600000000006
-788,4,6,17.1817,-788,11,24,5.00263,-787,1,9,15.83355,-787,2,1,3.63831,-787,2,20,4.55135,-787,4,15,22.02779,1433337.2159,1433568.70844,1433615.15973,1433637.6516,1433656.68964,1433711.41782,9.75741,9.75741,11.68489,9.75741,285.60313,237.92462,237.59586,237.92462,314.46824,283.70865,285.23453,283.70865,305.87743,305.87742,307.99518,305.87742,299.4185,324.64199,327.00372,324.64199,334.77956,18.58402,20.27918,18.58402,,47.67851000000002,-43.804460000000006
-787,11,14,14.02606,-786,6,16,0.96207,-786,8,9,14.19664,-786,8,28,14.04456,-786,9,19,23.33336,-786,11,5,8.80344,1433924.08442,1434137.54009,1434192.09153,1434211.08519,1434233.47222,1434279.86681,228.19572,228.19572,227.45578,228.19572,122.25705,78.58516,78.0662,78.58516,157.4982,132.35298,130.19443,132.35298,151.07381,151.0738,148.70264,151.0738,142.56497,173.13925,170.8362,173.13925,171.40309,218.8674,217.75555,218.8674,,43.671890000000005,-47.46431000000001
-785,6,25,7.89038,-784,1,30,13.66562,-784,3,20,2.18532,-784,4,11,12.21405,-784,5,2,4.06066,-784,6,24,18.37612,1434511.82877,1434731.0694,1434780.59105,1434803.00892,1434823.66919,1434877.26567,87.49728,87.49728,86.63682,87.49728,352.15264,303.58859,305.65961,303.58859,23.21613,352.39888,354.65476,352.39888,14.49472,14.49471,16.30244,14.49471,6.91414,34.85821,36.03307,34.85821,41.16334,87.68479,86.81732,87.68479,,48.56405000000001,-46.52145000000001
-783,1,20,15.83954,-783,9,5,11.58098,-783,10,24,16.41493,-783,11,13,19.18451,-783,12,3,19.50081,-782,1,22,6.45667,1435087.15998,1435314.98254,1435364.18396,1435384.29935,1435404.31253,1435453.76903,294.56403,294.56402,296.41718,294.56402,203.28092,159.11398,156.7265,159.11398,234.45396,207.60863,206.09254,207.60863,227.43507,227.43507,226.66383,227.43507,220.47705,247.16077,247.23248,247.16077,251.8516,295.90683,297.79569,295.90683,,44.16694000000001,-44.05523000000002
-782,9,6,12.68884,-781,4,4,6.07795,-781,5,27,23.83446,-781,6,17,13.58551,-781,7,10,0.83392,-781,8,28,9.04222,1435681.0287,1435890.75325,1435944.4931,1435965.06606,1435987.53475,1436036.87676,159.90199,159.90199,157.51543,159.90199,53.01318,6.6139,8.61414,6.6139,87.38036,59.58179,59.81859,59.58179,79.85924,79.85923,79.29059,79.85923,71.10912,102.00516,100.6316,102.00516,102.03776,150.63839,148.26943,150.63839,,46.39928,-48.60062999999998
-780,4,4,4.62012,-780,11,21,21.70439,-779,1,7,7.86845,-779,1,29,18.59875,-779,2,17,18.99985,-779,4,13,10.64206,1436256.6925,1436488.40435,1436534.82785,1436557.27495,1436576.29166,1436630.94342,7.29654,7.29654,9.28145,7.29654,283.2657,235.67991,235.25484,235.67991,312.11685,281.43655,282.88587,281.43655,303.56121,303.5612,305.63164,303.5612,297.1188,322.30474,324.64996,322.30474,332.42787,16.17144,17.93401,16.17144,,47.585789999999974,-43.743570000000034
-779,11,12,10.88104,-778,6,13,13.28488,-778,8,7,4.43734,-778,8,26,4.72028,-778,9,17,15.15738,-778,11,3,1.179,1436843.95338,1437057.05354,1437111.68489,1437130.69668,1437153.13156,1437199.54912,226.12157,226.12157,225.29664,226.12157,119.88903,76.16061,75.73679,76.16061,155.18435,130.0072,127.89144,130.0072,148.74589,148.74589,146.3881,148.74589,140.19961,170.85849,168.53191,170.85849,169.04797,216.60929,215.41196,216.60929,,43.72842,-47.561319999999995
-777,6,22,19.54376,-776,1,28,12.31172,-776,3,17,21.36868,-776,4,9,8.37158,-776,4,29,22.55231,-776,6,22,15.59203,1437431.31432,1437651.01299,1437700.39036,1437722.84882,1437743.43968,1437797.14967,85.04524,85.04524,84.2772,85.04524,350.18159,301.588,303.61528,301.588,21.13636,350.25608,352.53935,350.25608,12.39193,12.39192,14.25427,12.39192,4.85862,32.68701,33.93711,32.68701,39.20104,85.62546,84.83544,85.62546,,48.593590000000006,-46.424420000000005
-775,1,18,9.79266,-775,9,2,18.80922,-775,10,22,4.52268,-775,11,11,5.33752,-775,12,1,7.59714,-774,1,19,13.68266,1438006.90803,1438234.28372,1438283.68845,1438303.7224,1438323.81655,1438373.07011,292.37071,292.3707,294.16319,292.3707,200.5578,156.48021,154.09292,156.48021,231.89175,205.17525,203.57974,205.17525,224.92143,224.92142,224.04785,224.92142,217.91519,244.72692,244.69283,244.72692,249.12948,293.27297,295.09076,293.27297,,44.07758999999999,-44.143489999999986
