Venus,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1429279.252,-799,2,25,18.03946,338.20799,-0.87413,332.46932,79.28786,-0.5667,81.07397,-6.09091
EL,1429541.239,-799,11,14,17.73158,234.79605,0.15306,227.57319,67.81553,-0.5667,73.04132,-5.56466
MF,1429549.76,-799,11,23,6.24711,230.09161,1.76984,236.32649,288.87964,-0.5667,288.76276,-7.0459
ML,1429811.698,-798,8,12,4.74816,127.03252,1.00815,132.68158,246.27793,-0.5667,245.4175,-6.24013
EF,1429866.265,-798,10,5,18.35762,195.48671,0.3758,186.62125,83.49615,-0.5667,90.51603,-6.01258
EL,1430120.316,-797,6,16,19.57594,87.05808,-2.73939,78.52927,115.25574,-0.5667,122.18688,-6.25516
MF,1430132.684,-797,6,29,4.41772,79.74104,-4.6265,90.25836,247.4435,-0.5667,237.33444,-6.04424
ML,1430383.743,-796,3,6,5.83208,330.52596,-1.08829,341.08703,284.29872,-0.5667,275.17384,-6.02408
EF,1430446.298,-796,5,7,19.15065,47.00655,0.42601,41.34409,111.09172,-0.5667,112.28238,-6.11941
EL,1430714.238,-795,1,30,17.70215,310.40801,6.25141,306.54663,76.37739,-0.5667,71.45318,-6.02399
MF,1430717.76,-795,2,3,6.23125,308.33584,6.34954,310.0855,284.14758,-0.5667,287.23015,-6.38963
ML,1430979.747,-795,10,23,5.91928,199.19197,0.80996,204.58855,277.72065,-0.5667,277.6961,-6.02349
EF,1431032.23,-795,12,14,17.52145,265.81041,-0.74152,258.41519,61.34826,-0.5667,66.33939,-6.08285
EL,1431282.293,-794,8,21,19.02974,157.97169,-6.05272,142.03062,93.99209,-0.5667,110.37678,-5.2783
MF,1431297.712,-794,9,6,5.09552,149.82532,-5.6793,157.1637,262.14253,-0.5667,255.17021,-6.69518
ML,1431556.694,-793,5,23,4.65371,46.48245,-0.11627,55.23788,249.70926,-0.5667,242.90567,-6.09615
EF,1431613.313,-793,7,18,19.5111,115.70155,1.1127,108.97538,116.9257,-0.5667,120.94853,-6.07646
EL,1431879.278,-792,4,9,18.66293,18.98142,3.68678,14.6149,103.19566,-0.5667,100.2412,-5.45885
MF,1431885.716,-792,4,16,5.18627,15.04168,2.59829,20.78814,259.79963,-0.5667,256.56767,-5.98395
ML,1432145.771,-791,1,1,6.49412,269.55509,-0.46524,276.66191,298.3985,-0.5667,294.00636,-6.18041
EF,1432199.251,-791,2,23,18.01839,336.36213,-0.89588,330.51777,78.44363,-0.5667,80.30117,-6.18103
EL,1432460.241,-791,11,11,17.78047,232.50316,-0.23106,224.52482,68.06584,-0.5667,74.17842,-5.71265
MF,1432468.762,-791,11,20,6.28371,227.79976,1.40008,233.27234,288.54958,-0.5667,288.37897,-6.21244
ML,1432731.697,-790,8,10,4.72725,125.17703,0.99699,130.76791,245.72499,-0.5667,244.80001,-6.16999
EF,1432786.266,-790,10,3,18.394,193.58883,0.40275,184.63623,84.39882,-0.5667,91.48861,-6.0669
EL,1433040.315,-789,6,14,19.55892,84.86112,-2.56322,76.65975,115.38731,-0.5667,121.90301,-6.1805
MF,1433052.683,-789,6,27,4.40131,77.53691,-4.48464,88.38415,247.49571,-0.5667,237.20245,-6.2273
ML,1433303.744,-788,3,4,5.86298,328.68257,-1.08802,339.1498,285.07563,-0.5667,276.05214,-6.011
EF,1433366.297,-788,5,5,19.12712,45.19362,0.39206,39.4689,110.41724,-0.5667,111.59467,-6.18322
EL,1433634.235,-787,1,28,17.64464,307.88367,6.21885,304.55787,75.56817,-0.5667,70.60154,-5.57776
MF,1433637.759,-787,2,1,6.22747,305.81466,6.32964,308.1036,284.90828,-0.5667,287.66187,-6.70981
ML,1433898.744,-787,10,20,5.86139,196.0176,0.85436,201.56246,276.23137,-0.5667,276.27071,-6.17666
EF,1433952.231,-787,12,12,17.53389,263.91202,-0.7164,256.38806,61.47025,-0.5667,66.59735,-6.12939
EL,1434201.297,-786,8,18,19.12429,155.85817,-5.99494,139.13498,94.97208,-0.5667,111.928,-5.87673
MF,1434216.714,-786,9,3,5.12722,147.81259,-5.85371,154.23398,261.51581,-0.5667,254.5057,-5.70433
ML,1434475.695,-785,5,20,4.68956,43.45715,-0.17917,52.42355,250.85597,-0.5667,243.78515,-6.10207
EF,1434533.314,-785,7,16,19.53249,113.86238,1.11421,107.08922,117.33709,-0.5667,121.33266,-6.15369
EL,1434798.28,-784,4,6,18.71609,17.38277,3.98478,11.75922,102.78347,-0.5667,99.70736,-6.7341
MF,1434805.716,-784,4,14,5.19319,12.85235,2.77246,18.89848,260.63033,-0.5667,257.23766,-6.28984
ML,1435065.771,-784,12,30,6.49969,267.66189,-0.42917,274.64445,298.33011,-0.5667,294.1215,-6.16154
EF,1435118.248,-783,2,20,17.96368,333.27652,-0.93169,327.57106,77.05344,-0.5667,78.98203,-6.01767
EL,1435379.243,-783,11,8,17.82896,230.20463,-0.61326,221.47894,68.3578,-0.5667,75.35122,-5.83837
MF,1435388.758,-783,11,18,6.20292,224.98087,1.20951,231.24168,287.79811,-0.5667,287.3296,-6.92567
ML,1435651.696,-782,8,8,4.70717,123.32324,0.98531,128.85666,245.19631,-0.5667,244.20622,-6.09936
EF,1435706.268,-782,10,1,18.43057,191.69193,0.42944,182.65377,85.30636,-0.5667,92.46363,-6.12186
EL,1435960.314,-781,6,12,19.54001,82.66945,-2.38399,74.79063,115.47886,-0.5667,121.58277,-6.10032
MF,1435972.683,-781,6,25,4.38679,75.34064,-4.33867,86.51097,247.58445,-0.5667,237.10771,-6.40637
ML,1436223.746,-780,3,2,5.89344,326.83757,-1.08638,337.20983,285.8394,-0.5667,276.92042,-6.00034
EF,1436286.296,-780,5,3,19.10319,43.38056,0.3575,37.59261,109.72448,-0.5667,110.89027,-6.24778
