Venus,Alexandria,,,,,,,,,,,
Almagest,ut,year,month,day,hour,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1429277.247,-799,2,23,17.92555,335.73219,-0.90815,330.48756,77.80166,0,79.59022,-5.01376
EL,1429540.24,-799,11,13,17.77005,235.31983,-0.03874,226.54864,67.06892,0,73.58219,-5.88747
MF,1429549.762,-799,11,23,6.29363,230.0906,1.77019,236.32848,289.24135,0,289.10186,-6.48174
ML,1429813.703,-798,8,14,4.86656,129.5215,1.02356,134.62751,247.42773,0,246.8671,-5.17714
EF,1429863.264,-798,10,2,18.33031,191.69151,0.45799,183.60103,84.99275,0,91.35079,-5.03426
EL,1430120.314,-797,6,16,19.5274,87.05917,-2.739,78.52735,114.87574,0,121.77479,-5.72717
MF,1430132.686,-797,6,29,4.4653,79.73996,-4.62669,90.26024,247.81642,0,237.73753,-5.52934
ML,1430385.745,-796,3,8,5.87372,332.99142,-1.08012,343.05066,283.58485,0,274.83675,-5.1006
EF,1430444.293,-796,5,5,19.03127,44.56853,0.36008,39.43977,109.79103,0,110.79784,-5.04207
EL,1430714.236,-795,1,30,17.65686,310.40911,6.25131,306.54473,76.02463,0,71.11948,-5.47411
MF,1430717.762,-795,2,3,6.27666,308.33473,6.34956,310.0874,284.50168,0,287.56408,-5.83355
ML,1430980.75,-795,10,24,5.9991,200.46442,0.78495,205.60987,278.66623,0,278.62993,-5.2047
EF,1431030.227,-795,12,12,17.44214,263.27572,-0.69213,256.35673,61.14794,0,65.93332,-5.05061
EL,1431281.295,-794,8,20,19.06943,158.32586,-5.98852,141.05642,93.56236,0,110.96625,-5.57396
MF,1431297.714,-794,9,6,5.1399,149.82431,-5.6791,157.16552,262.48886,0,255.53207,-6.14473
ML,1431560.696,-793,5,27,4.69718,51.34756,0.01035,59.02607,248.31407,0,242.54988,-5.08144
EF,1431610.31,-793,7,15,19.4357,112.00385,1.0977,106.10427,117.31472,0,120.61576,-5.01365
EL,1431878.28,-792,4,8,18.7251,19.57458,3.82923,13.65675,103.26824,0,100.41886,-6.44568
MF,1431885.718,-792,4,16,5.23098,15.04057,2.59795,20.78992,260.14982,0,256.92796,-5.42516
ML,1432147.774,-791,1,3,6.58273,272.08101,-0.52414,278.70903,298.84031,0,294.54605,-5.08054
EF,1432197.246,-791,2,21,17.90465,333.8846,-0.92773,328.5332,76.97019,0,78.83013,-5.10347
EL,1432460.239,-791,11,11,17.73295,232.5042,-0.23144,224.52279,67.69545,0,73.82543,-5.12639
MF,1432468.764,-791,11,20,6.33014,227.79873,1.40044,233.27433,288.91056,0,288.72067,-5.64814
ML,1432733.702,-790,8,12,4.84506,127.66415,1.01398,132.71136,246.84425,0,246.22863,-5.11096
EF,1432783.265,-790,9,30,18.36717,189.7955,0.48372,181.61993,85.90404,0,92.32639,-5.09261
EL,1433040.313,-789,6,14,19.51032,84.86223,-2.56283,76.65783,115.00692,0,121.49117,-5.65033
MF,1433052.685,-789,6,27,4.44887,77.53584,-4.48484,88.38603,247.86851,0,237.60657,-5.71331
ML,1433305.746,-788,3,6,5.90555,331.14992,-1.08224,341.11621,284.37995,0,275.72677,-5.07993
EF,1433364.292,-788,5,3,19.00764,42.75549,0.3255,37.56347,109.09413,0,110.09659,-5.10494
EL,1433634.233,-787,1,28,17.5992,307.88478,6.21875,304.55596,75.21417,0,70.26596,-5.02876
MF,1433636.766,-787,1,31,6.37439,306.39574,6.31325,307.1045,285.11526,0,288.96691,-5.05576
ML,1433900.749,-787,10,22,5.97658,198.55916,0.80649,203.60067,277.7849,0,277.81308,-5.10537
EF,1433950.227,-787,12,10,17.4564,261.3764,-0.66569,254.32908,61.31684,0,66.23114,-5.10089
EL,1434201.295,-786,8,18,19.08011,155.85882,-5.9948,139.13319,94.62703,0,111.56436,-5.35005
MF,1434216.715,-786,9,3,5.17166,147.81155,-5.85353,154.2358,261.86273,0,254.86618,-5.15476
ML,1434479.697,-785,5,24,4.72902,48.32111,-0.0524,56.21285,249.37581,0,243.34214,-5.09641
EF,1434530.311,-785,7,13,19.4541,110.16711,1.09644,104.22049,117.66541,0,120.94182,-5.08463
EL,1434798.278,-784,4,6,18.67104,17.38388,3.98503,11.75741,102.43167,0,99.34553,-6.16434
MF,1434805.718,-784,4,14,5.23779,12.85125,2.77212,18.90026,260.97961,0,257.59708,-5.7309
ML,1435067.775,-783,1,1,6.58985,270.18938,-0.48931,276.69324,298.8182,0,294.69918,-5.06128
EF,1435117.245,-783,2,19,17.88415,332.03542,-0.94607,326.57607,76.14938,0,78.08342,-5.19293
EL,1435379.241,-783,11,8,17.78153,230.20565,-0.61363,221.47692,67.98816,0,74.99816,-5.24996
MF,1435388.76,-783,11,18,6.24915,224.97986,1.20987,231.24366,288.15756,0,287.66868,-6.36043
ML,1435653.701,-782,8,10,4.8243,125.80849,1.00387,130.79766,246.28397,0,245.61264,-5.04455
EF,1435702.267,-782,9,27,18.41026,186.63811,0.53481,178.63931,87.43895,0,93.69814,-5.01875
EL,1435960.312,-781,6,12,19.49138,82.67057,-2.3836,74.78871,115.0982,0,121.17138,-5.56796
MF,1435972.685,-781,6,25,4.43433,75.33959,-4.33888,86.51285,247.95704,0,237.5127,-5.89321
ML,1436225.747,-780,3,4,5.93698,329.30684,-1.08301,339.17905,285.16307,0,276.60782,-5.06164
EF,1436284.291,-780,5,1,18.98364,40.94225,0.29036,35.68601,108.38004,0,109.37963,-5.16872
EL,1436553.236,-779,1,25,17.65377,305.92534,6.11914,301.56058,74.5272,0,70.05983,-6.04477
MF,1436556.765,-779,1,29,6.37006,303.85817,6.28337,305.11869,285.86168,0,289.36371,-5.36982
ML,1436820.748,-779,10,20,5.95368,196.65459,0.82704,201.59347,276.89721,0,276.9851,-5.00671
EF,1436870.228,-779,12,8,17.47182,259.47621,-0.63871,252.30101,61.51971,0,66.56327,-5.1498
EL,1437121.295,-778,8,16,19.09097,153.3993,-5.99424,137.21251,95.67703,0,112.14917,-5.13626
MF,1437136.712,-778,9,1,5.09949,145.26184,-5.91724,152.29103,260.92104,0,253.6802,-5.65581
ML,1437398.698,-777,5,21,4.76296,45.29527,-0.11541,53.39883,250.49019,0,244.19109,-5.10955
EF,1437450.311,-777,7,11,19.47118,108.33175,1.09431,102.33822,117.98636,0,121.23591,-5.15601
EL,1437718.276,-776,4,4,18.61667,15.18656,4.13704,9.85599,101.57884,0,98.26621,-5.87755
MF,1437724.722,-776,4,11,5.31896,11.25018,3.1237,16.05235,261.34977,0,259.18723,-5.30398
ML,1437987.775,-776,12,30,6.59585,268.29646,-0.45393,274.67582,298.76168,0,294.81785,-5.03862
EF,1438036.243,-775,2,16,17.83021,328.94443,-0.97543,323.62096,74.80324,0,76.80588,-5.02869
EL,1438298.243,-775,11,5,17.8299,227.90193,-0.99228,218.43389,68.32307,0,76.20504,-5.35493
MF,1438307.762,-775,11,15,6.28095,222.68582,0.83116,228.19199,287.76306,0,287.18108,-5.53796
ML,1438572.699,-774,8,7,4.77044,122.7138,0.98355,127.91775,245.40487,0,244.52958,-5.2232
EF,1438622.269,-774,9,25,18.44746,184.74497,0.55945,176.66482,88.35675,0,94.67416,-5.07886
EL,1438880.311,-773,6,10,19.47058,80.4839,-2.20153,72.91991,115.14969,0,120.81576,-5.47961
MF,1438891.688,-773,6,22,4.51866,73.69055,-4.07359,83.69625,247.86621,0,238.30798,-5.04141
ML,1439145.749,-772,3,2,5.968,327.46215,-1.08243,337.23914,285.93339,0,277.47905,-5.04568
EF,1439204.29,-772,4,29,18.95932,39.12877,0.25472,33.8073,107.64955,0,108.64782,-5.23345
EL,1439473.233,-771,1,23,17.59627,303.37282,6.07069,299.56559,73.76219,0,69.26008,-5.57576
MF,1439476.765,-771,1,27,6.36383,301.3075,6.24714,303.13028,286.57585,0,289.72822,-5.69486
ML,1439739.746,-771,10,17,5.89479,193.48183,0.86925,198.57205,275.3948,0,275.53679,-5.16177
EF,1439790.229,-771,12,6,17.48836,257.57521,-0.61123,250.27262,61.75615,0,66.92915,-5.1974
EL,1440040.3,-770,8,13,19.18904,151.30897,-5.89963,134.32656,96.65643,0,113.6745,-5.79316
MF,1440056.71,-770,8,30,5.02887,142.72791,-5.97414,150.34906,260.00643,0,252.51453,-6.13578
ML,1440318.7,-769,5,19,4.79621,43.48521,-0.14679,51.53102,251.17333,0,244.86405,-5.00508
EF,1440369.311,-769,7,8,19.47397,105.26902,1.08192,99.50398,118.44641,0,121.44721,-5.04191
EL,1440638.273,-768,4,2,18.56203,12.98225,4.28509,7.95244,100.71079,0,97.18162,-5.58554
MF,1440644.722,-768,4,9,5.32596,9.04693,3.28939,14.15798,262.20642,0,259.87532,-5.61227
ML,1440907.775,-768,12,28,6.60073,266.40229,-0.41805,272.65686,298.67084,0,294.90183,-5.01243
EF,1440956.242,-767,2,14,17.81081,327.09115,-0.99005,321.65694,74.0154,0,76.0969,-5.11731
EL,1441217.245,-767,11,2,17.87822,225.59352,-1.36577,215.39403,68.70043,0,77.4446,-5.44474
MF,1441227.758,-767,11,13,6.19694,219.86605,0.63811,226.16332,286.93038,0,286.05701,-6.26908
ML,1441492.698,-766,8,5,4.75184,120.86245,0.9716,126.01001,244.91072,0,243.97436,-5.15408
EF,1441541.27,-766,9,22,18.49102,181.5923,0.60798,173.6943,89.89729,0,96.04202,-5.00842
EL,1441800.31,-765,6,8,19.44794,78.30191,-2.01684,71.05135,115.16155,0,120.42473,-5.3849
MF,1441811.688,-765,6,20,4.50654,71.50441,-3.91601,81.82522,248.01227,0,238.28964,-5.23664
ML,1442065.75,-764,2,29,5.99858,325.61586,-1.08048,335.29648,286.69005,0,278.33963,-5.03198
EF,1442123.287,-764,4,26,18.89822,36.09646,0.18458,30.97308,106.38332,0,107.32413,-5.03986
EL,1442393.231,-763,1,21,17.53872,300.80548,6.01604,297.56819,73.02986,0,68.48093,-5.09864
MF,1442396.765,-763,1,25,6.35558,298.74397,6.2046,301.13929,287.25539,0,290.05906,-6.03164
ML,1442659.745,-763,10,15,5.87103,191.57926,0.88705,196.57018,274.4942,0,274.68495,-5.06536
EF,1442709.229,-763,12,3,17.496,254.40534,-0.55554,247.21514,62.23429,0,67.40115,-5.03771
EL,1442960.3,-762,8,11,19.20147,148.87899,-5.88063,132.41217,97.67591,0,114.23266,-5.61581
MF,1442975.711,-762,8,27,5.06593,140.75985,-6.10379,147.43397,259.41198,0,251.95269,-5.11256
ML,1443237.701,-761,5,16,4.83291,40.45985,-0.2098,48.71503,252.36416,0,245.79774,-5.01839
EF,1443289.312,-761,7,6,19.48725,103.43706,1.07708,97.62516,118.68504,0,121.65646,-5.11159
EL,1443558.271,-760,3,31,18.50711,10.77061,4.42904,6.0467,99.82856,0,96.09247,-5.28852
MF,1443563.725,-760,4,6,5.40773,7.43642,3.62263,11.30271,262.60795,0,261.48978,-5.17733
ML,1443826.774,-760,12,25,6.58253,263.24244,-0.35031,269.61105,298.43511,0,294.79165,-5.23867
EF,1443876.241,-759,2,12,17.7919,325.23625,-1.00333,319.69017,73.24136,0,75.40462,-5.20536
EL,1444136.247,-759,10,30,17.92668,223.28088,-1.73253,212.35767,69.12034,0,78.71539,-5.5229
MF,1444146.759,-759,11,10,6.22458,217.57326,0.25356,223.11516,286.4775,0,285.47394,-5.45643
ML,1444412.697,-758,8,3,4.73418,119.01277,0.95913,124.10456,244.44251,0,243.44493,-5.08442
EF,1444461.272,-758,9,20,18.52846,179.70231,0.63147,171.72659,90.81611,0,97.01299,-5.07023
EL,1444720.309,-757,6,6,19.42349,76.1243,-1.82975,69.18296,115.13402,0,119.99882,-5.28344
MF,1444731.687,-757,6,18,4.49613,69.32491,-3.75495,79.95495,248.19339,0,238.30652,-5.42939
ML,1444985.751,-756,2,27,6.02871,323.76793,-1.07715,333.35105,287.43218,0,279.18872,-5.02047
EF,1445043.286,-756,4,24,18.87332,34.28213,0.14792,29.09095,105.61311,0,106.5595,-5.10655
EL,1445312.233,-755,1,18,17.59385,298.80027,5.87392,294.56017,72.37422,0,68.38847,-6.04906
MF,1445315.769,-755,1,22,6.45192,296.74175,6.11361,298.13934,287.82071,0,291.31382,-5.21094
ML,1445578.742,-755,10,12,5.81102,188.40989,0.92425,193.55712,272.97536,0,273.20467,-5.22432
EF,1445629.23,-755,12,1,17.51552,252.50253,-0.52673,245.18643,62.55808,0,67.85092,-5.08534
EL,1445880.301,-754,8,9,19.21386,146.45696,-5.8548,130.50019,98.67695,0,114.77403,-5.44747
MF,1445895.708,-754,8,25,4.99842,138.25277,-6.1432,145.4989,258.54269,0,250.8426,-5.56227
ML,1446156.703,-753,5,13,4.8711,37.43454,-0.27249,45.8975,253.59791,0,246.77899,-5.03165
EF,1446209.312,-753,7,4,19.49909,101.60637,1.07131,95.74761,118.89219,0,121.83226,-5.18153
EL,1446477.273,-752,3,28,18.55791,9.14177,4.68402,3.17636,99.33558,0,95.5034,-6.5441
MF,1446483.726,-752,4,4,5.41496,5.2178,3.77853,9.40326,263.48918,0,262.19323,-5.48594
ML,1446746.774,-752,12,23,6.58442,261.3452,-0.31315,267.58862,298.25338,0,294.78676,-5.20515
EF,1446795.239,-751,2,9,17.74035,322.13623,-1.02306,316.7206,71.98178,0,74.21533,-5.03952
EL,1447055.249,-751,10,27,17.97548,220.96449,-2.09097,209.32512,69.58271,0,80.01596,-5.59293
MF,1447066.756,-751,11,8,6.1382,214.75574,0.05963,221.08915,285.57431,0,284.28718,-6.20205
ML,1447332.697,-750,8,1,4.71752,117.16475,0.94614,122.20136,244.00095,0,242.94215,-5.01419
EF,1447380.274,-750,9,17,18.57225,176.55475,0.67723,168.76637,92.35313,0,98.36826,-5.00249
EL,1447640.308,-749,6,4,19.39726,73.95075,-1.64049,67.31465,115.06741,0,119.5386,-5.17492
MF,1447651.687,-749,6,16,4.48737,67.15166,-3.59061,78.08535,248.40889,0,238.35804,-5.62018
ML,1447905.752,-748,2,25,6.05837,321.91835,-1.07243,331.40284,288.15891,0,280.02545,-5.01107
EF,1447963.285,-748,4,22,18.84823,32.46736,0.11093,27.20733,104.8294,0,105.78295,-5.1743
EL,1448232.231,-747,1,16,17.53656,296.20482,5.80384,292.55701,71.69999,0,67.66959,-5.54547
MF,1448235.768,-747,1,20,6.4403,294.14891,6.0551,296.1422,288.44016,0,291.56613,-5.55712
ML,1448498.741,-747,10,10,5.78651,186.50966,0.93927,191.56099,272.06751,0,272.3348,-5.13075
EF,1448549.231,-747,11,29,17.53605,250.59908,-0.49759,243.15779,62.91346,0,68.33199,-5.13197
EL,1448800.301,-746,8,7,19.22613,144.0431,-5.82212,128.59057,99.65818,0,115.29754,-5.28772
MF,1448815.706,-746,8,23,4.93257,135.76123,-6.17565,143.56655,257.70354,0,249.75624,-5.99136
