Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EF,1429285.265,-799,3,3,18.35361,341.02349,-1.26423,335.26568,80.15558,-0.5667,82.29272,-6.06185
EL,1429546.23,-799,11,19,17.52806,238.23795,-0.69811,230.30638,65.91545,-0.5667,72.16985,-5.50743
MF,1429554.757,-799,11,28,6.17444,233.14456,1.48712,239.01755,290.09334,-0.5667,289.68544,-6.61072
ML,1429816.701,-798,8,17,4.83306,129.52746,1.32873,135.05937,246.76244,-0.5667,246.33229,-6.23924
EF,1429871.257,-798,10,10,18.17944,197.9408,0.54676,189.39086,82.58307,-0.5667,89.21788,-6.0032
EL,1430126.312,-797,6,22,19.4825,90.67586,-3.64977,81.32703,114.1156,-0.5667,122.38686,-6.26666
MF,1430139.682,-797,7,6,4.36722,82.77523,-6.08742,94.11708,249.03321,-0.5667,237.4269,-6.14091
ML,1430386.753,-796,3,9,6.06861,329.65919,-1.43931,340.90504,285.0153,-0.5667,275.14208,-6.1747
EF,1430450.293,-796,5,11,19.03556,47.76906,0.10102,42.03126,110.92443,-0.5667,112.47526,-6.09277
EL,1430718.251,-795,2,3,18.02889,311.00842,8.32812,307.60792,78.9772,-0.5667,71.89598,-6.12605
MF,1431304.716,-794,9,13,5.18028,154.45753,-8.16494,161.77441,266.82745,-0.5667,257.52212,-6.3669
ML,1431559.688,-793,5,26,4.51556,45.98143,-0.45529,55.03766,250.32537,-0.5667,243.0778,-6.03553
EF,1431616.313,-793,7,21,19.52111,115.77964,1.35249,109.1783,117.12122,-0.5667,120.89296,-6.15536
EL,1431883.282,-792,4,13,18.76056,20.22473,5.20451,15.30003,105.394,-0.5667,101.06114,-6.27473
MF,1431888.715,-792,4,19,5.16667,16.82418,4.17963,20.5092,257.28233,-0.5667,256.64562,-6.10032
ML,1432151.777,-791,1,7,6.65056,272.65423,-0.74117,280.0423,298.62038,-0.5667,293.70078,-6.13711
EF,1432205.264,-791,3,1,18.33944,339.21632,-1.28435,333.36,79.3197,-0.5667,81.5201,-6.14513
EL,1432465.232,-791,11,16,17.55833,236.01429,-1.22771,227.28992,65.92206,-0.5667,73.19009,-5.5638
MF,1432474.754,-791,11,26,6.08861,230.35233,1.20792,237.01496,289.54707,-0.5667,288.74467,-7.29002
ML,1432736.701,-790,8,15,4.81361,127.70398,1.31239,133.15003,246.19491,-0.5667,245.70685,-6.14697
EF,1432791.259,-790,10,8,18.22444,196.09775,0.58694,187.42062,83.46342,-0.5667,90.19487,-6.0903
EL,1433046.311,-789,6,20,19.45333,88.31869,-3.42562,79.47472,114.37759,-0.5667,122.08827,-6.10303
MF,1433059.68,-789,7,4,4.32861,80.424,-5.89417,92.25499,248.97249,-0.5667,237.12615,-6.44317
ML,1433306.754,-788,3,7,6.1075,327.85598,-1.43279,339.00588,285.76397,-0.5667,275.99774,-6.16799
EF,1433370.292,-788,5,9,19.01944,45.98685,0.05788,40.18819,110.2641,-0.5667,111.81106,-6.15641
EL,1433638.248,-787,2,1,17.96278,308.45757,8.27413,305.6639,78.13606,-0.5667,71.01562,-5.63549
MF,1434224.713,-786,9,11,5.11056,151.85156,-8.23194,159.84367,265.81073,-0.5667,256.26363,-6.93352
ML,1434478.69,-785,5,23,4.55528,42.9846,-0.5341,52.24939,251.47929,-0.5667,243.95844,-6.02437
EF,1434535.313,-785,7,18,19.52389,112.74563,1.32467,106.3531,117.75398,-0.5667,121.29641,-6.05438
EL,1434803.279,-784,4,11,18.70556,17.88902,5.40743,13.44194,104.54229,-0.5667,99.89507,-5.80533
MF,1434807.719,-784,4,16,5.25361,15.09916,4.5997,17.70126,257.62592,-0.5667,258.10972,-5.82792
