Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1429284.262,-799,3,2,18.2775,339.7826,-1.28152,334.28214,79.22789,0,81.36758,-5.2275
EL,1429545.232,-799,11,18,17.56194,238.79077,-0.94817,229.28669,65.09722,0,72.68469,-5.8178
MF,1429554.759,-799,11,28,6.22139,233.14342,1.4876,239.01955,290.45758,0,290.02747,-6.04564
ML,1429818.706,-798,8,19,4.95056,132.03024,1.35304,137.02571,247.94302,0,247.80748,-5.17325
EF,1429868.257,-798,10,7,18.16639,194.17186,0.65428,186.36114,84.07327,0,90.06802,-5.05859
EL,1430126.31,-797,6,22,19.43444,90.67696,-3.6493,81.32512,113.73914,0,121.97827,-5.7446
MF,1430139.684,-797,7,6,4.41444,82.77421,-6.08765,94.11897,249.40199,0,237.82613,-5.63113
ML,1430389.754,-796,3,12,6.09528,333.35757,-1.44431,343.83363,283.79254,0,274.48989,-5.04936
EF,1430448.288,-796,5,9,18.92167,45.30834,0.02143,40.12214,109.61545,0,110.98715,-5.00204
EL,1430718.249,-795,2,3,17.98417,311.00959,8.32797,307.60606,78.62781,0,71.56554,-5.5803
MF,1430719.776,-795,2,5,6.62,310.04488,8.42964,309.12637,281.55543,0,287.99671,-5.52586
ML,1430987.745,-795,10,31,5.88667,205.38535,0.78899,210.45789,280.80394,0,280.69679,-5.13225
EF,1431038.227,-795,12,20,17.44111,268.88846,-1.04959,261.96287,60.58798,0,65.45727,-5.04096
EL,1431286.295,-794,8,25,19.07583,163.95873,-8.04332,143.52303,88.81595,0,110.00082,-5.67686
MF,1431304.718,-794,9,13,5.22444,154.45648,-8.1647,161.77624,267.17085,0,257.87799,-5.8153
ML,1431563.69,-793,5,30,4.55639,50.88489,-0.29952,58.84593,248.87796,0,242.69977,-5.03943
EF,1431613.31,-793,7,18,19.43361,112.05546,1.30936,106.2804,117.48288,0,120.54912,-5.0678
EL,1431883.28,-792,4,13,18.715,20.22589,5.20481,15.29821,105.03814,0,100.69463,-5.701
MF,1431888.717,-792,4,19,5.21194,16.82301,4.17924,20.51101,257.6358,0,257.00927,-5.53642
ML,1432153.781,-791,1,9,6.7525,275.16102,-0.80714,282.06885,298.99897,0,294.1872,-5.02719
EF,1432203.26,-791,2,27,18.23111,336.73587,-1.31571,331.39232,77.82951,0,80.02588,-5.04659
EL,1432464.233,-791,11,15,17.59139,236.55569,-1.47162,226.2706,65.10597,0,73.70692,-5.84863
MF,1432473.761,-791,11,25,6.2525,230.92866,0.95871,236.00021,290.38038,0,289.771,-5.12513
ML,1432738.705,-790,8,17,4.93111,130.20526,1.33905,135.1134,247.34607,0,247.16244,-5.08379
EF,1432787.259,-790,10,4,18.22333,191.07463,0.72692,183.38718,85.58226,0,91.45143,-5.02629
EL,1433046.309,-789,6,20,19.405,88.31981,-3.42515,79.4728,114.00037,0,121.68008,-5.57824
MF,1433059.682,-789,7,4,4.37556,80.42299,-5.8944,92.25687,249.34144,0,237.52757,-5.93483
ML,1433309.756,-788,3,10,6.13639,331.55685,-1.44146,341.93907,284.56754,0,275.36192,-5.03195
EF,1433368.288,-788,5,7,18.90639,43.5259,-0.02173,38.27783,108.93305,0,110.30924,-5.06495
EL,1433638.247,-787,2,1,17.91778,308.45875,8.27398,305.66203,77.78563,0,70.68343,-5.09093
MF,1433639.776,-787,2,3,6.61222,307.49243,8.38167,307.18699,282.3758,0,288.41061,-5.83542
ML,1433907.745,-787,10,29,5.86972,203.53962,0.82446,208.47617,279.96156,0,279.94503,-5.00473
EF,1433958.227,-787,12,18,17.43639,267.05165,-1.01997,259.97977,60.65433,0,65.65639,-5.10806
EL,1434206.295,-786,8,23,19.09083,161.48645,-8.04097,141.62185,89.92256,0,110.6153,-5.45536
MF,1434224.715,-786,9,11,5.15444,151.85053,-8.23171,159.84549,266.15457,0,256.62251,-6.38405
ML,1434482.691,-785,5,27,4.59,47.88578,-0.38065,56.05667,249.95147,0,243.49649,-5.03467
EF,1434533.31,-785,7,16,19.44583,110.26341,1.29262,104.42312,117.81087,0,120.87706,-5.13788
EL,1434803.278,-784,4,11,18.66028,17.89018,5.40773,13.44013,104.18787,0,99.53202,-5.23173
MF,1434807.721,-784,4,16,5.29861,15.09799,4.59932,17.70306,257.97889,0,258.47084,-5.26158
ML,1435073.781,-783,1,7,6.7475,273.33682,-0.77088,280.10852,299.02963,0,294.39845,-5.00541
EF,1435123.259,-783,2,25,18.21694,334.93926,-1.33245,329.48947,77.01867,0,79.28124,-5.13468
EL,1435384.231,-783,11,13,17.54444,233.82353,-1.74988,224.29891,65.59071,0,73.88602,-5.01158
MF,1435393.757,-783,11,23,6.16833,228.1732,0.67748,234.02397,289.80474,0,288.79032,-5.80201
ML,1435657.703,-782,8,14,4.87889,127.14989,1.3099,132.24126,246.40166,0,246.02807,-5.24349
EF,1435707.261,-782,10,2,18.27083,189.25193,0.76417,181.44416,86.47072,0,92.42587,-5.11587
EL,1435966.307,-781,6,18,19.37278,85.95885,-3.19774,77.62928,114.20957,0,121.327,-5.38765
MF,1435978.685,-781,7,1,4.43194,78.59662,-5.57016,89.45385,249.12602,0,238.08475,-5.1922
ML,1436229.757,-780,3,8,6.17694,329.76954,-1.43724,340.05639,285.32141,0,276.21651,-5.01754
EF,1436288.287,-780,5,5,18.89167,41.75148,-0.06488,36.43661,108.2319,0,109.61512,-5.13262
EL,1436557.248,-779,1,29,17.96278,306.54388,8.11798,302.73613,77.0546,0,70.47048,-6.09233
MF,1436559.775,-779,2,1,6.60306,304.9543,8.32467,305.26085,283.15409,0,288.78835,-6.14577
ML,1436826.743,-779,10,26,5.82028,200.43712,0.89111,205.48144,278.51243,0,278.59191,-5.12161
EF,1436878.226,-779,12,16,17.43417,265.21838,-0.98944,258.00061,60.76497,0,65.90021,-5.17409
EL,1437126.296,-778,8,21,19.10472,158.99796,-8.03112,139.71597,91.02453,0,111.21165,-5.24063
MF,1437143.716,-778,9,8,5.19417,149.79718,-8.40563,156.92155,265.50951,0,255.92221,-5.42266
ML,1437401.693,-777,5,24,4.62778,44.88622,-0.46056,53.26825,251.08232,0,244.35435,-5.03189
EF,1437452.31,-777,7,13,19.43917,107.22558,1.256,101.59586,118.28173,0,121.12986,-5.01749
EL,1437722.28,-776,4,8,18.72167,16.17144,5.75629,10.62113,103.76906,0,98.91333,-6.35262
MF,1437727.721,-776,4,14,5.30639,12.75581,4.80873,15.8454,258.84498,0,259.04604,-5.71023
ML,1437992.78,-775,1,4,6.71278,270.24703,-0.70001,277.12091,298.98939,0,294.47907,-5.23942
EF,1438043.258,-775,2,23,18.20167,333.12899,-1.34801,327.57356,76.21511,0,78.54684,-5.22038
EL,1438303.232,-775,11,10,17.57806,231.57685,-2.26159,221.28406,65.70553,0,74.98084,-5.01899
MF,1438313.753,-775,11,21,6.08028,225.38097,0.39618,232.02298,289.16505,0,287.76185,-6.50477
ML,1438577.702,-774,8,12,4.86,125.3305,1.29229,130.34142,245.87032,0,245.44075,-5.15665
EF,1438626.264,-774,9,29,18.32889,186.15408,0.83283,178.47709,87.99411,0,93.81348,-5.08423
EL,1438886.306,-773,6,16,19.33861,83.60078,-2.96682,75.77317,114.37389,0,120.94213,-5.19571
MF,1438898.683,-773,6,29,4.39639,76.25586,-5.36522,87.59432,249.14063,0,237.86979,-5.50728
ML,1439149.759,-772,3,6,6.21556,327.96016,-1.43177,338.14806,286.07365,0,277.07428,-5.00394
EF,1439208.286,-772,5,3,18.87583,39.9604,-0.108,34.57877,107.51199,0,108.90218,-5.2006
