Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1429283.5,1429284.137,1429284.26,-799,3,2,18.24389,339.73098,-1.28222,334.24122,78.94621,0,81.28045,-5.13249
EL,1429544.5,1429545.105,1429545.229,-799,11,18,17.48694,238.81433,-0.95895,229.24232,64.44903,0,72.32442,-5.54132
MF,1429554.5,1429554.639,1429554.762,-799,11,28,6.28889,233.1652,1.47832,238.98122,290.98,0,290.32258,-5.96434
ML,1429818.5,1429818.58,1429818.703,-798,8,19,4.88056,131.97624,1.35256,136.98327,247.37635,0,247.0281,-5.17438
EF,1429869.5,1429870.132,1429870.255,-798,10,9,18.12444,196.63119,0.58464,188.33757,82.70373,0,89.30956,-5.05966
EL,1430125.5,1430126.19,1430126.313,-797,6,22,19.51306,90.69719,-3.64074,81.28975,114.34495,0,122.83484,-5.45673
MF,1430139.5,1430139.558,1430139.681,-797,7,6,4.355,82.79652,-6.08277,94.07792,248.8861,0,237.14458,-5.12799
ML,1430387.5,1430387.633,1430387.756,-796,3,10,6.15333,330.84635,-1.44197,341.8456,285.2289,0,275.33565,-5.04124
EF,1430448.5,1430449.169,1430449.292,-796,5,10,19.01528,46.49111,0.05968,41.03986,110.56598,0,112.21659,-5.1964
EL,1430717.5,1430718.125,1430718.248,-795,2,3,17.955,311.03564,8.3247,307.56467,78.36056,0,71.53583,-5.90351
MF,1430719.5,1430719.654,1430719.777,-795,2,5,6.65833,310.06947,8.42751,309.08782,281.82647,0,288.10132,-5.72162
ML,1430987.5,1430987.623,1430987.747,-795,10,31,5.9175,205.33615,0.7903,210.41815,281.03847,0,280.73831,-5.13418
EF,1431038.5,1431039.1,1431039.224,-795,12,21,17.36917,270.08777,-1.07606,262.93632,59.7844,0,64.97769,-5.0393
EL,1431284.5,1431285.175,1431285.298,-794,8,24,19.16139,164.22968,-7.90859,142.50239,88.81206,0,111.18283,-5.72933
MF,1431304.5,1431304.594,1431304.718,-794,9,13,5.22056,154.47958,-8.16994,161.73591,267.11991,0,257.62926,-5.40741
ML,1431561.5,1431561.564,1431561.687,-793,5,28,4.49611,48.38117,-0.37947,56.90175,249.28885,0,242.37729,-5.00954
EF,1431613.5,1431614.19,1431614.314,-793,7,19,19.53361,113.25026,1.32418,107.20978,117.95427,0,121.44953,-5.1039
EL,1431882.5,1431883.158,1431883.282,-792,4,13,18.765,20.24928,5.21103,15.26151,105.41922,0,101.30327,-5.92313
MF,1431888.5,1431888.592,1431888.716,-792,4,19,5.17806,16.84889,4.18803,20.47103,257.31757,0,256.54212,-5.48057
ML,1432152.5,1432152.661,1432152.784,-791,1,8,6.82,273.86346,-0.7733,281.02001,299.76472,0,294.66184,-5.08332
EF,1432203.5,1432204.136,1432204.259,-791,2,28,18.22694,337.92332,-1.30119,332.33445,78.0953,0,80.49695,-5.2126
EL,1432463.5,1432464.106,1432464.23,-791,11,15,17.51639,236.5787,-1.48211,226.22625,64.45818,0,73.3468,-5.5303
