Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1429285.5,1429286.141,1429286.265,-799,3,4,18.35611,342.21045,-1.24678,336.20619,80.51368,-0.5667,82.86848,-6.23052
EL,1429545.5,1429546.104,1429546.227,-799,11,19,17.45611,238.26236,-0.70905,230.26214,65.3136,-0.5667,71.82114,-5.28787
MF,1429554.5,1429554.637,1429554.76,-799,11,28,6.24056,233.16637,1.47782,238.97916,290.58334,-0.56671,289.94832,-6.53024
ML,1429816.5,1429816.575,1429816.698,-798,8,17,4.75889,129.47329,1.32815,135.01681,246.14058,-0.5667,245.47499,-6.2278
EF,1429873.5,1429874.132,1429874.255,-798,10,13,18.12306,201.65543,0.43658,192.38157,80.6005,-0.5667,88.06608,-6.10668
EL,1430125.5,1430126.192,1430126.315,-797,6,22,19.5625,90.69607,-3.64121,81.29171,114.75542,-0.5667,123.27652,-5.97624
MF,1430140.5,1430140.552,1430140.676,-797,7,7,4.21306,82.29099,-6.19037,95.03158,248.65054,-0.5667,235.86317,-6.67435
ML,1430384.5,1430384.632,1430384.755,-796,3,7,6.12722,327.14695,-1.4304,338.91311,286.41963,-0.5667,275.95083,-6.16405
EF,1430449.5,1430450.172,1430450.296,-796,5,11,19.09889,47.72281,0.09952,41.99538,111.44659,-0.5667,113.21194,-6.01734
EL,1430717.5,1430718.127,1430718.25,-795,2,3,18.00083,311.03444,8.32485,307.56657,78.74008,-0.5667,71.89521,-6.44967
MF,1431304.5,1431304.592,1431304.716,-794,9,13,5.17556,154.48065,-8.17018,161.73404,266.74723,-0.5667,257.24485,-5.95845
ML,1431556.5,1431556.563,1431556.686,-793,5,23,4.47111,42.25675,-0.57093,52.14308,251.32252,-0.5667,243.06079,-6.05181
EF,1431616.5,1431617.194,1431617.317,-793,7,22,19.6175,116.97501,1.36439,110.10911,117.5642,-0.5667,121.79334,-6.15089
EL,1431882.5,1431883.16,1431883.284,-792,4,13,18.81167,20.2481,5.21072,15.26338,105.8061,-0.5667,101.7018,-6.49665
MF,1431888.5,1431888.59,1431888.714,-792,4,19,5.13194,16.85008,4.18844,20.46919,256.93357,-0.5667,256.1477,-6.04416
ML,1432150.5,1432150.656,1432150.78,-791,1,6,6.715,271.35612,-0.70605,278.99247,299.31705,-0.5667,294.09668,-6.19467
EF,1432204.5,1432205.139,1432205.263,-791,3,1,18.30639,339.16473,-1.28504,333.31909,79.06192,-0.5667,81.47028,-6.04764
EL,1432464.5,1432465.105,1432465.229,-791,11,16,17.48639,236.03825,-1.23841,227.24569,65.32044,-0.5667,72.84264,-5.30252
MF,1432474.5,1432474.633,1432474.756,-791,11,26,6.15278,230.37388,1.19855,236.97649,290.02288,-0.5667,288.96633,-7.19351
ML,1432736.5,1432736.574,1432736.697,-790,8,15,4.7375,127.64974,1.31176,133.10746,245.5576,-0.5667,244.83669,-6.13309
EF,1432792.5,1432793.134,1432793.258,-790,10,10,18.18167,198.55626,0.51536,189.39776,82.10847,-0.5667,89.46353,-6.06833
EL,1433045.5,1433046.19,1433046.314,-789,6,20,19.53417,88.33914,-3.41705,79.43945,115.02542,-0.5667,122.97977,-5.83522
MF,1433059.5,1433059.554,1433059.678,-789,7,4,4.2675,80.44603,-5.88912,92.21392,248.42153,-0.5667,236.40113,-5.92928
ML,1433304.5,1433304.634,1433304.757,-788,3,5,6.16722,325.34226,-1.42141,337.01114,287.1679,-0.5667,276.81176,-6.16692
EF,1433369.5,1433370.172,1433370.295,-788,5,9,19.08056,45.94048,0.05638,40.1522,110.7678,-0.5667,112.53099,-6.08135
EL,1433637.5,1433638.124,1433638.247,-787,2,1,17.93194,308.48371,8.27069,305.62238,77.87775,-0.5667,70.97699,-5.96152
MF,1434224.5,1434224.589,1434224.713,-786,9,11,5.1025,151.87441,-8.23706,159.80321,265.70596,-0.5667,255.94176,-6.51582
ML,1434475.5,1434475.565,1434475.688,-785,5,20,4.51861,39.26184,-0.64736,49.35567,252.56013,-0.5667,244.0309,-6.03013
EF,1434535.5,1434536.194,1434536.318,-785,7,19,19.62444,113.9403,1.33868,107.28244,118.24871,-0.5667,122.24311,-6.06412
EL,1434802.5,1434803.158,1434803.281,-784,4,11,18.75389,17.91266,5.41354,13.40516,104.93283,-0.5667,100.49499,-6.03931
MF,1434807.5,1434807.594,1434807.717,-784,4,16,5.21972,15.1253,4.60812,17.66124,257.28596,-0.5667,257.63045,-5.81395
ML,1435070.5,1435070.656,1435070.779,-783,1,4,6.70722,269.53057,-0.66781,277.03008,299.27903,-0.5667,294.25271,-6.18187
EF,1435124.5,1435125.139,1435125.262,-783,2,27,18.29028,337.36885,-1.30398,331.41816,78.21897,-0.5667,80.69752,-6.13334
EL,1435383.5,1435384.107,1435384.23,-783,11,13,17.52083,233.84585,-1.75977,224.25675,65.36683,-0.5667,73.89926,-5.30475
MF,1435393.5,1435393.634,1435393.758,-783,11,23,6.18556,228.19624,0.66741,233.98352,289.91569,-0.5667,288.70312,-6.26517
